MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019abca_qm1,blue,frc3216,frc5597,frc2122,49,14,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,0,3,0,0,6,0,5,5,5,10,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,40,2,0,0,0,49
2019abca_qm1,red,frc6700,frc4010,frc5078,14,49,0,9,2,5,2,2,0,0,2,2,3,0,0,0,0,0,6,0,0,0,0,5,5,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,5,0,0,0,0,14
2019abca_qm10,blue,frc3250,frc4627,frc5725,52,26,0,9,5,5,5,5,5,0,5,5,21,0,0,0,3,6,3,0,0,12,0,5,5,3,10,2,0,2,0,2,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,43,0,0,0,0,52
2019abca_qm10,red,frc4191,frc6700,frc3216,26,52,0,6,5,2,5,0,0,5,5,5,15,0,0,0,0,3,3,0,0,3,0,5,0,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,20,0,0,0,0,26
2019abca_qm11,blue,frc7799,frc4334,frc6823,42,35,0,12,2,5,5,5,0,5,5,2,15,0,0,0,0,3,6,1,0,9,0,0,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,12,0,30,0,0,0,0,42
2019abca_qm11,red,frc5118,frc6701,frc3729,35,42,0,6,5,5,5,0,0,2,2,2,15,0,0,0,0,3,3,0,3,3,0,5,0,5,8,5,0,5,0,2,0,2,0,2,2,2,2,2,2,3,6,3,0,6,0,26,0,0,0,0,35
2019abca_qm12,blue,frc359,frc4733,frc4604,66,38,0,15,2,5,5,5,5,5,5,5,30,0,0,0,3,3,3,0,0,9,0,5,5,5,12,5,0,5,0,2,0,5,0,2,2,2,2,2,2,6,3,6,2,15,0,51,0,0,0,0,66
2019abca_qm12,red,frc6041,frc7843,frc6351,38,66,0,9,2,5,0,2,5,5,5,5,15,0,0,0,0,3,3,0,0,6,0,5,5,5,8,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,29,0,0,0,0,38
2019abca_qm13,blue,frc1482,frc7706,frc5597,24,45,0,6,2,0,2,2,5,2,2,2,3,0,0,0,3,0,0,0,0,3,0,5,0,0,12,2,2,2,2,0,0,0,0,2,2,2,2,2,2,6,6,0,0,6,0,18,0,0,0,0,24
2019abca_qm13,red,frc5725,frc7277,frc1622,45,24,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,0,3,0,0,6,0,5,5,5,6,0,2,0,2,0,2,0,0,2,2,2,2,2,2,3,6,6,2,15,0,30,0,0,0,0,45
