Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3216,14.56,7.71,0.00,2.35,1.39,1.23,1.37,0.75,0.81,1.17,2.09,1.63,6.26,-0.54,-0.16,-0.55,1.08,1.16,2.01,0.05,0.00,4.28,2.50,2.01,1.44,1.36,1.66,0.73,-0.08,0.48,-0.35,-0.06,0.20,-0.10,0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.19,1.15,-0.04,0.63,2.35,-0.09,12.20,0.09,0.08,0.13,-0.07,14.56,
frc5597,7.42,22.66,0.00,1.56,0.85,0.77,1.94,0.44,1.60,0.69,1.48,1.45,3.53,-1.86,-0.22,-1.40,-0.50,1.20,-0.99,0.18,1.41,-0.39,-2.34,1.27,0.66,0.19,1.31,-0.19,-0.10,-0.35,-0.26,-0.07,-0.20,-0.25,-0.40,0.67,0.67,0.67,0.67,0.67,0.67,2.46,1.00,-0.41,-0.39,1.56,0.19,4.45,0.27,0.16,0.09,-0.05,7.42,
frc2122,33.09,9.61,0.00,4.17,2.14,1.57,1.94,2.22,0.11,2.38,1.72,1.73,14.99,8.81,3.10,6.04,1.72,2.80,2.58,-0.23,0.77,7.10,14.98,1.40,1.94,2.11,6.06,-0.02,1.85,0.27,1.92,0.43,1.59,0.60,1.45,0.67,0.67,0.67,0.67,0.67,0.67,0.55,0.82,2.02,1.99,4.17,0.09,28.15,0.70,1.39,0.46,1.13,33.09,
frc6700,4.63,11.95,0.00,1.91,1.28,1.40,1.58,-0.29,0.89,1.36,0.67,1.34,1.90,-0.04,0.09,-0.05,-1.03,-0.66,2.97,-0.16,-0.35,0.55,-0.06,1.61,0.91,0.95,0.62,-0.03,-0.04,0.04,-0.55,-0.09,-0.24,-0.21,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,0.94,1.14,1.33,0.01,1.91,0.10,3.07,0.23,-0.08,0.00,-0.01,4.63,
frc4010,17.81,18.18,0.00,5.53,1.26,1.75,1.48,0.66,0.20,1.09,0.93,0.58,4.87,2.56,0.03,2.75,1.89,2.23,0.10,0.50,1.93,3.68,4.79,1.81,1.91,1.21,1.80,-0.08,0.69,-0.14,0.61,-0.14,0.50,-0.23,0.45,0.67,0.67,0.67,0.67,0.67,0.67,1.06,2.43,2.44,0.49,5.53,-0.10,10.35,-0.07,0.43,-0.07,0.48,17.81,
frc5078,10.85,16.25,0.00,4.15,0.77,1.23,0.25,0.80,0.82,0.16,1.11,0.54,0.49,-0.38,-0.10,-0.29,-0.55,0.17,3.77,0.78,3.30,2.91,5.20,2.06,1.97,1.25,-0.01,-0.13,0.27,-0.67,-0.16,-0.20,-0.22,-0.39,-0.27,0.67,0.67,0.67,0.67,0.67,0.67,0.80,1.33,1.65,0.55,4.15,-0.12,3.39,-0.02,-0.20,-0.00,-0.10,10.85,
frc3250,19.14,14.81,0.00,3.24,1.14,0.73,1.50,2.27,0.70,0.78,1.20,0.82,5.03,-1.14,0.02,-1.24,2.31,5.45,-0.56,0.28,-1.11,7.47,9.35,1.81,1.93,1.90,4.51,0.77,0.61,1.12,0.58,0.21,0.18,0.09,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.08,0.95,0.86,0.56,3.24,-0.05,17.01,-0.09,-0.28,-0.05,-0.27,19.14,
frc4627,37.50,8.37,0.00,5.50,1.94,2.02,1.03,2.97,2.68,1.16,1.94,1.94,13.90,7.73,-0.87,5.73,1.34,3.48,3.22,0.29,3.03,8.40,10.36,1.97,2.04,1.41,6.67,0.73,1.28,0.86,1.06,0.46,0.97,0.38,0.77,0.67,0.67,0.67,0.67,0.67,0.67,2.73,1.09,1.23,1.78,5.50,0.12,28.97,0.15,0.91,0.19,0.90,37.50,
frc5725,7.78,14.98,0.00,3.81,1.47,1.58,1.57,-0.64,1.03,1.31,1.89,2.05,5.19,-0.94,-0.28,-0.81,0.04,-0.23,0.44,0.42,-1.29,0.38,-9.34,1.99,1.97,1.05,-0.31,-0.39,-0.03,-0.46,0.04,0.20,-0.12,-0.36,0.20,0.67,0.67,0.67,0.67,0.67,0.67,0.65,1.70,1.16,-0.11,3.81,-0.12,5.26,-0.09,-0.20,-0.11,0.05,7.78,
frc4191,12.28,16.35,0.00,2.37,0.93,0.87,1.44,-0.23,0.24,2.24,2.45,2.02,5.34,-1.84,-0.63,-0.62,0.98,-0.12,1.94,-0.07,1.84,2.25,3.06,1.71,0.91,1.41,0.48,-0.31,0.40,0.35,0.63,-0.07,-0.12,-0.00,-0.14,0.67,0.67,0.67,0.67,0.67,0.67,1.66,1.28,0.68,0.22,2.37,0.06,8.07,-0.19,-0.08,-0.13,-0.11,12.28,
frc7799,11.37,18.23,0.00,2.19,-0.20,1.33,2.26,-0.14,0.16,1.39,1.80,0.71,2.53,-1.93,-0.33,-1.30,0.53,2.25,4.82,0.23,-1.13,7.18,10.85,0.45,1.58,1.87,0.60,0.15,-0.20,-0.57,0.16,-0.25,-0.11,0.07,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.08,1.38,1.27,0.35,2.19,0.27,10.30,-0.10,0.37,-0.09,0.22,11.37,
frc4334,28.52,8.03,0.00,6.56,1.85,2.26,1.80,2.42,1.55,1.84,1.90,2.21,11.44,-0.25,-0.10,-0.13,1.28,0.16,1.39,0.12,2.10,2.99,0.20,1.45,1.72,1.93,5.42,1.32,0.47,1.72,0.83,0.10,-0.04,0.50,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,2.71,2.35,1.38,0.95,6.56,0.03,19.85,0.02,-0.04,0.01,-0.07,28.52,
frc6823,18.28,13.29,0.00,3.90,1.80,1.49,1.94,2.48,0.65,1.35,1.69,1.10,7.76,0.16,0.03,-0.00,2.08,2.60,2.07,0.37,0.03,6.31,1.81,1.40,0.91,1.50,0.27,-0.19,-0.24,-0.01,0.15,0.08,-0.22,0.06,-0.37,0.67,0.67,0.67,0.67,0.67,0.67,1.49,2.29,1.40,0.51,3.90,-0.08,14.34,-0.11,-0.14,-0.11,-0.09,18.28,
frc5118,12.69,17.00,0.00,4.73,2.28,1.87,2.19,-0.57,0.38,1.21,1.99,1.91,5.92,-1.10,-0.35,-0.45,0.05,1.17,2.72,-0.21,-0.72,3.77,0.27,1.50,1.53,1.41,-1.01,0.01,-0.49,-0.17,0.01,-0.08,-0.30,-0.22,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.37,2.09,1.67,-0.07,4.73,0.06,8.68,-0.19,-0.18,-0.16,-0.08,12.69,
frc6701,3.26,28.47,0.00,3.10,0.90,1.54,1.89,-0.31,-0.22,0.84,0.67,0.97,1.76,-1.28,-0.23,-1.07,1.33,1.14,-1.91,0.71,-0.58,-0.10,-3.94,1.20,0.61,1.79,-0.93,-0.02,-0.39,0.36,-0.28,0.02,-0.32,0.15,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.85,2.06,1.72,-0.90,3.10,0.27,0.73,-0.18,-0.34,-0.13,-0.28,3.26,
frc3729,19.03,13.35,0.00,2.87,0.94,0.57,1.13,1.12,1.05,2.34,0.86,0.52,6.92,-0.47,-0.35,-0.13,0.53,0.56,0.90,-0.30,1.39,2.00,2.70,1.87,1.39,1.88,5.85,1.06,1.33,1.09,1.87,0.79,0.48,0.96,0.47,0.67,0.67,0.67,0.67,0.67,0.67,0.92,1.21,1.14,0.52,2.87,-0.07,14.77,0.14,0.71,-0.06,0.18,19.03,
frc359,35.01,10.58,0.00,4.14,1.21,1.13,2.20,1.86,1.13,2.29,2.53,1.84,14.77,2.48,0.51,2.43,1.65,1.36,3.60,-0.39,3.90,6.56,13.42,1.56,1.59,2.12,5.64,1.59,1.70,1.28,1.31,0.76,0.88,1.32,0.68,0.67,0.67,0.67,0.67,0.67,0.67,1.15,1.83,1.72,1.98,4.14,0.00,26.97,0.07,0.36,0.27,0.41,35.01,
frc4733,14.52,25.13,0.00,3.30,1.63,1.64,2.23,0.94,0.91,1.74,1.28,1.15,8.91,-1.51,0.21,-1.47,1.00,0.33,-0.27,0.45,-1.03,1.23,-2.72,1.80,1.50,2.09,2.11,0.43,0.16,0.53,0.39,0.17,0.63,0.79,0.61,0.67,0.67,0.67,0.67,0.67,0.67,1.38,0.73,1.10,-0.09,3.30,0.08,12.25,0.03,-0.05,0.01,-0.25,14.52,
frc4604,14.60,15.71,0.00,5.90,0.50,1.61,1.54,-0.05,0.41,2.03,1.04,1.50,4.18,1.38,-0.68,2.31,0.41,-1.03,3.97,-0.10,1.00,3.47,4.19,1.24,1.82,2.00,0.05,-0.14,-0.07,0.01,0.02,0.07,0.06,0.06,0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.32,2.19,1.96,0.32,5.90,-0.06,7.70,-0.21,0.30,-0.20,0.32,14.60,
frc6041,7.71,18.79,0.00,3.42,0.50,1.31,0.69,0.04,-0.00,1.46,1.50,1.52,4.28,1.97,3.02,-0.68,-0.82,-0.54,0.31,0.03,-0.29,-1.05,-8.01,1.80,1.80,1.63,1.35,0.40,-0.14,0.25,-0.37,0.14,-0.04,0.02,0.27,0.67,0.67,0.67,0.67,0.67,0.67,0.65,1.34,1.82,-0.15,3.42,-0.00,4.58,0.64,-0.26,0.66,0.04,7.71,
