MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019alhu_qm1,blue,frc1319,frc3959,frc342,43,40,0,12,5,5,5,5,5,5,5,5,24,0,0,0,0,0,3,1,0,3,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,31,0,0,0,0,43
2019alhu_qm1,red,frc4451,frc442,frc1466,40,43,0,6,5,5,5,5,5,2,2,5,18,0,0,0,3,3,3,0,3,9,0,3,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,6,0,31,0,0,0,0,40
2019alhu_qm10,blue,frc3792,frc5410,frc4764,39,77,0,15,5,5,5,0,0,5,2,2,12,0,0,0,3,3,3,5,3,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,21,0,0,0,0,39
2019alhu_qm10,red,frc27,frc342,frc442,77,39,0,9,2,2,2,0,5,2,2,2,21,30,0,30,12,3,3,1,15,18,30,5,5,3,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,6,4,9,0,53,0,5,0,5,77
2019alhu_qm11,blue,frc4924,frc2183,frc16,57,30,0,9,2,2,2,0,5,5,5,2,21,0,0,0,3,0,12,0,0,15,30,5,5,5,12,0,0,0,2,0,5,0,5,2,2,2,2,2,2,3,3,3,3,9,0,48,0,5,0,5,57
2019alhu_qm11,red,frc7525,frc1319,frc7428,30,57,0,6,2,2,2,0,5,5,5,5,12,0,0,0,0,3,3,0,0,6,0,0,3,5,6,0,2,0,0,0,2,0,0,2,2,2,2,2,2,0,3,6,0,6,0,24,0,0,0,0,30
2019alhu_qm12,blue,frc7111,frc6404,frc4451,60,48,0,9,5,5,5,5,5,5,5,5,24,0,0,0,6,3,12,0,0,21,30,5,5,5,6,0,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,3,3,9,1,51,0,0,0,0,60
2019alhu_qm12,red,frc1421,frc7484,frc5058,48,60,0,12,2,2,2,0,0,2,2,2,6,0,0,0,3,3,0,0,10,6,0,5,5,5,14,2,0,2,2,0,2,0,2,2,2,2,2,2,2,6,3,3,0,12,0,26,0,5,0,5,48
2019alhu_qm13,blue,frc538,frc5045,frc3139,41,46,0,12,5,5,5,0,0,5,5,5,18,0,0,0,6,3,0,0,0,9,0,5,5,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,1,29,0,0,0,0,41
2019alhu_qm13,red,frc4965,frc7512,frc3319,46,41,0,9,5,5,5,5,2,0,0,0,12,0,0,0,3,3,3,0,10,9,0,5,3,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,9,0,27,0,0,0,0,46
