Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc1319,10.56,6.44,0.00,2.52,1.30,1.49,1.79,-0.08,0.14,1.01,1.33,1.54,2.48,-1.69,-0.45,-1.29,1.38,-0.53,1.34,-0.04,1.52,2.38,1.31,1.43,1.69,1.53,1.66,0.16,-0.47,-0.29,-0.45,0.07,-0.06,0.58,0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.41,1.13,0.76,0.63,2.52,-0.05,6.52,-0.10,-0.24,0.06,-0.02,10.56,
frc3959,17.82,15.31,0.00,4.74,2.09,2.15,2.16,3.04,3.72,2.21,2.58,3.05,12.81,-2.86,0.17,-1.85,-0.46,0.10,-0.20,0.23,-0.94,-0.24,-5.42,1.56,1.32,1.95,1.44,0.37,-0.62,0.87,-0.56,0.18,-0.68,0.03,-0.55,0.67,0.67,0.67,0.67,0.67,0.67,1.36,1.32,2.60,0.17,4.74,-0.08,14.01,0.07,-0.53,-0.02,-0.57,17.82,
frc342,27.63,6.06,0.00,5.29,1.58,1.19,0.12,1.22,1.01,1.95,1.25,1.31,12.25,12.36,3.19,8.80,2.41,-0.17,1.43,0.25,0.94,3.52,1.92,1.77,1.73,1.55,5.64,0.63,1.64,0.67,2.11,0.61,1.34,1.00,1.10,0.67,0.67,0.67,0.67,0.67,0.67,1.06,1.77,2.46,1.32,5.29,0.00,21.41,0.24,1.30,0.26,1.13,27.63,
frc4451,30.35,12.81,0.00,1.76,2.19,2.16,2.92,1.99,1.63,1.42,1.88,2.14,12.19,4.73,3.35,-1.18,1.27,3.54,4.60,0.27,3.41,9.51,17.35,1.54,1.85,1.44,3.49,0.65,0.14,0.76,-0.05,0.63,0.02,0.62,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,0.59,0.49,1.30,1.78,1.76,0.02,25.18,0.50,0.12,0.47,0.04,30.35,
frc442,11.59,18.05,0.00,2.93,0.90,0.94,0.38,-0.97,1.95,0.40,0.60,1.19,2.19,0.14,-1.04,1.52,4.05,-0.20,-1.13,1.23,2.64,3.00,3.47,1.48,0.93,1.60,0.82,-0.09,0.51,0.17,0.67,-0.26,-0.06,0.05,0.46,0.67,0.67,0.67,0.67,0.67,0.67,2.83,1.03,1.76,0.11,2.93,-0.12,6.02,-0.17,0.09,-0.05,0.03,11.59,
frc1466,16.19,22.37,0.00,5.26,1.41,1.47,0.99,1.64,2.74,0.95,1.10,0.91,4.69,-2.25,-0.91,-0.97,1.07,1.24,0.23,-0.21,0.76,2.66,-1.90,1.43,1.49,1.92,2.82,0.22,-0.17,-0.07,0.15,0.26,-0.45,0.16,-0.51,0.67,0.67,0.67,0.67,0.67,0.67,1.41,2.67,1.43,0.05,5.26,-0.05,10.17,0.26,-0.51,0.27,-0.49,16.19,
frc3792,20.37,20.42,0.00,5.12,1.62,1.39,1.72,0.28,0.12,2.02,1.56,1.15,7.81,1.03,0.15,1.13,1.62,1.13,0.50,0.78,2.62,3.29,0.68,1.69,1.89,1.46,1.52,0.44,0.79,0.94,0.96,0.14,-0.02,0.11,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,2.11,2.72,0.89,0.18,5.12,-0.06,12.63,-0.03,0.09,0.20,0.08,20.37,
frc5410,13.86,14.81,0.00,5.14,1.62,1.42,1.17,-0.06,1.67,0.94,0.98,1.18,2.88,0.61,-0.52,-1.39,1.56,-0.05,3.44,0.75,-0.04,5.12,3.74,1.88,1.94,1.69,0.76,-0.52,0.25,-0.47,-0.08,-0.34,0.01,-0.35,0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.70,1.48,1.20,0.67,5.14,0.06,8.76,-0.34,0.15,-0.21,-0.02,13.86,
frc4764,4.61,21.09,0.00,3.10,0.44,0.40,0.68,0.78,0.18,0.96,0.22,0.60,-1.69,-0.03,0.12,0.17,0.50,0.34,0.89,0.75,0.74,1.85,-4.30,1.78,1.36,1.59,0.62,-0.37,-0.06,-0.26,-0.33,-0.15,0.11,-0.28,0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.53,0.82,1.34,-0.63,3.10,0.27,0.77,-0.09,-0.01,-0.01,0.03,4.61,
frc27,28.04,14.52,0.00,2.42,1.19,1.48,1.46,1.89,-0.20,1.27,1.31,1.03,9.78,1.34,-0.53,2.06,2.30,4.42,2.93,-0.28,2.27,9.62,19.33,1.46,1.86,1.29,3.95,0.69,0.84,1.07,0.68,-0.03,1.27,0.92,1.06,0.67,0.67,0.67,0.67,0.67,0.67,0.84,1.81,0.95,1.65,2.42,0.21,23.35,0.03,0.90,0.03,0.92,28.04,
