MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019arc_qm1,blue,frc6032,frc188,frc7650,80,40,0,12,5,2,2,5,5,5,5,5,36,30,0,30,3,0,6,0,3,9,0,5,5,5,20,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,3,3,12,0,65,0,5,0,5,80
2019arc_qm1,red,frc5860,frc4956,frc3184,40,80,0,15,2,2,2,5,5,5,5,5,15,0,0,0,3,0,3,1,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,25,0,0,0,0,40
2019arc_qm10,blue,frc1025,frc564,frc2077,80,59,0,9,5,5,0,0,5,5,2,5,33,0,0,0,12,3,0,0,3,15,30,5,5,3,20,2,0,2,2,5,5,5,5,2,2,2,2,2,2,6,3,6,3,9,0,68,5,0,5,0,80
2019arc_qm10,red,frc2526,frc5687,frc2826,59,80,0,12,5,5,5,0,0,2,5,2,27,0,0,0,3,0,3,1,0,6,0,5,5,5,14,5,5,5,5,5,0,2,2,2,2,2,2,2,2,6,3,3,0,12,0,47,0,0,0,0,59
2019arc_qm11,blue,frc910,frc4776,frc1640,98,73,0,12,5,5,0,5,0,5,5,2,42,30,30,0,3,3,12,0,0,18,30,5,5,5,26,5,5,5,5,5,2,5,5,2,2,2,2,2,2,3,6,3,4,12,0,86,5,2,5,2,98
2019arc_qm11,red,frc384,frc7858,frc5404,73,98,0,15,5,5,5,5,5,5,5,5,30,0,0,0,12,3,3,0,0,18,30,5,5,5,10,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,58,0,0,0,0,73
2019arc_qm12,blue,frc4678,frc2539,frc4027,82,81,0,12,2,2,2,5,5,5,5,5,33,30,0,30,0,12,3,0,0,15,30,5,5,5,22,0,5,2,5,0,5,2,5,2,2,2,2,2,2,6,3,3,4,12,0,70,0,5,0,5,82
2019arc_qm12,red,frc4150,frc1188,frc1310,81,82,0,15,5,5,2,5,5,5,5,5,33,0,0,0,3,0,12,0,0,15,30,5,5,5,18,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,6,1,15,0,66,0,2,0,2,81
2019arc_qm13,blue,frc7650,frc4004,frc3770,62,62,0,12,5,5,5,5,5,5,5,5,24,0,0,0,6,3,3,0,0,12,0,5,5,5,14,2,2,2,2,0,0,0,2,2,2,2,2,2,2,3,3,6,1,12,0,50,0,0,0,0,62
2019arc_qm13,red,frc7605,frc4391,frc7589,62,62,0,12,2,2,5,5,0,5,5,5,15,0,0,0,6,12,3,0,0,21,30,5,5,5,14,0,2,2,2,0,2,2,0,2,2,2,2,2,2,6,3,3,2,12,0,50,0,2,0,0,62
