Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc6032,24.47,24.83,0.00,2.92,0.83,1.63,1.04,1.63,1.60,1.84,2.28,1.89,10.79,-0.60,-4.21,4.70,2.89,-0.78,1.86,-0.04,0.01,3.97,5.06,1.74,1.69,1.55,6.77,0.05,1.25,0.08,0.92,-0.22,1.22,-0.31,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,1.41,0.74,0.71,0.75,2.92,-0.03,21.54,-0.39,1.72,-0.29,1.44,24.47,
frc188,26.25,15.48,0.00,4.60,1.59,1.15,0.98,0.88,-0.11,1.67,1.06,0.32,8.35,8.17,3.58,3.30,-1.25,1.28,3.81,0.30,3.14,3.84,4.21,1.77,1.70,1.80,6.33,1.59,1.40,1.41,2.09,1.13,0.84,0.82,0.79,0.67,0.67,0.67,0.67,0.67,0.67,1.05,1.50,1.56,1.08,4.60,-0.00,18.52,0.13,0.63,0.28,0.06,26.25,
frc7650,17.79,23.25,0.00,3.35,1.85,1.46,0.50,2.02,2.90,1.84,1.17,1.63,5.63,1.16,-0.50,3.28,3.42,0.21,2.43,0.09,-0.53,6.06,4.05,1.56,1.74,1.68,3.27,0.23,-0.27,0.30,-0.08,-0.60,-0.20,-0.16,0.66,0.67,0.67,0.67,0.67,0.67,0.67,1.85,0.60,1.15,0.20,3.35,-0.01,14.96,-0.34,-0.00,-0.25,0.04,17.79,
frc5860,16.17,25.49,0.00,5.56,1.18,1.86,1.21,0.25,0.89,1.71,1.76,1.84,4.75,-1.02,-1.50,1.77,3.42,0.51,1.87,0.87,-0.55,5.80,7.30,1.70,1.77,1.74,0.61,-1.00,0.75,-0.92,0.41,-0.90,0.79,-0.57,0.52,0.67,0.67,0.67,0.67,0.67,0.67,1.34,1.48,2.65,0.10,5.56,-0.01,11.16,-0.19,0.59,-0.56,0.04,16.17,
frc4956,26.40,30.99,0.00,4.66,1.73,1.91,1.88,2.25,2.23,2.08,1.23,1.93,11.42,-2.28,-0.71,-0.94,1.94,2.05,1.18,0.06,-0.10,5.17,7.55,1.81,1.63,1.78,5.26,0.66,0.64,1.09,1.08,0.24,0.10,0.39,0.66,0.67,0.67,0.67,0.67,0.67,0.67,0.63,1.44,2.09,0.42,4.66,0.11,21.85,-0.21,-0.36,0.09,-0.07,26.40,
frc3184,25.79,18.32,0.00,5.39,0.86,0.74,1.05,0.66,-0.11,1.82,2.14,1.24,9.94,5.57,-1.07,2.19,0.95,3.94,-0.22,-0.08,0.89,4.67,6.41,1.56,1.91,1.69,4.90,1.95,2.22,0.50,2.28,1.19,0.52,0.74,0.56,0.67,0.67,0.67,0.67,0.67,0.67,2.33,2.13,0.83,1.01,5.39,-0.03,19.51,-0.10,0.05,0.24,0.13,25.79,
frc1025,29.78,17.65,0.00,5.44,1.34,1.65,1.23,1.05,1.16,1.35,1.26,1.38,12.08,3.73,2.27,-0.30,2.27,2.95,1.11,-0.15,-0.48,6.32,11.75,1.71,1.64,1.53,6.42,1.36,1.27,1.64,2.29,0.79,1.07,0.86,1.23,0.67,0.67,0.67,0.67,0.67,0.67,2.45,1.35,1.97,1.21,5.44,-0.01,24.83,0.52,-0.31,0.67,0.17,29.78,
frc564,26.30,34.96,0.00,3.50,1.67,0.99,1.13,1.04,2.78,0.89,1.22,1.89,9.33,0.01,-1.99,2.54,3.07,3.10,0.94,-0.09,0.15,7.11,7.48,1.57,1.69,1.58,6.21,-0.46,1.01,-0.72,1.76,0.44,1.00,-0.15,0.85,0.67,0.67,0.67,0.67,0.67,0.67,1.26,1.24,1.57,0.42,3.50,-0.03,22.65,0.06,0.97,-0.20,1.27,26.30,
frc2077,25.09,23.56,0.00,3.90,0.49,1.61,1.89,0.77,-0.02,1.07,1.01,1.90,7.73,-1.64,-2.20,0.53,1.51,-1.07,2.79,-0.29,4.89,3.23,7.73,1.70,1.90,1.08,5.34,0.11,1.41,-0.25,1.23,0.59,0.83,1.26,0.53,0.67,0.67,0.67,0.67,0.67,0.67,2.05,2.03,0.86,0.65,3.90,-0.02,16.30,1.45,0.13,1.47,-0.27,25.09,
frc2526,17.23,14.08,0.00,5.05,2.42,2.23,1.36,0.66,0.58,0.10,1.73,0.89,6.33,-3.04,-1.72,-3.09,1.33,0.51,2.72,-0.13,-0.35,4.57,2.83,1.72,1.73,1.67,1.63,1.10,0.83,0.55,0.23,-0.34,0.37,-0.50,0.57,0.67,0.67,0.67,0.67,0.67,0.67,2.28,1.42,1.29,0.47,5.05,-0.05,12.54,-0.64,-0.62,-0.57,-0.23,17.23,
