MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019arli_qm1,blue,frc3991,frc6886,frc1723,9,58,0,9,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,2,0,0,0,0,0,9
2019arli_qm1,red,frc5809,frc5006,frc6186,58,9,0,6,2,5,2,5,0,5,5,5,15,0,0,0,0,12,3,0,20,15,30,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,6,0,32,0,0,0,0,58
2019arli_qm10,blue,frc7766,frc2080,frc6055,19,16,0,0,2,2,2,0,0,5,5,5,9,0,0,0,3,3,0,0,0,6,0,3,3,0,4,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,0,0,19,0,0,0,0,19
2019arli_qm10,red,frc1939,frc7263,frc5002,16,19,0,3,2,2,5,0,0,2,2,2,3,0,0,0,3,0,3,0,0,6,0,3,3,5,4,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,3,0,13,0,0,0,0,16
2019arli_qm11,blue,frc7878,frc6855,frc7767,20,5,0,9,0,2,5,0,0,2,0,0,3,0,0,0,0,3,3,0,0,6,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,9,0,11,0,0,0,0,20
2019arli_qm11,red,frc6186,frc6840,frc7868,5,20,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,3,3,0,0,3,0,3,3,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,0,0,5,0,0,0,0,5
2019arli_qm12,blue,frc323,frc5437,frc7908,58,9,0,9,2,2,2,2,5,2,5,2,6,0,0,0,12,3,3,0,19,18,30,5,5,3,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,9,0,30,0,0,0,0,58
2019arli_qm12,red,frc1723,frc7430,frc6404,9,58,0,6,2,0,2,0,0,2,0,2,0,0,0,0,0,0,3,3,0,3,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,1,3,0,0,0,0,9
2019arli_qm13,blue,frc2992,frc7467,frc3991,30,24,0,6,2,2,5,0,0,5,5,2,9,0,0,0,12,0,3,1,0,15,30,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,6,0,24,0,0,0,0,30
2019arli_qm13,red,frc6131,frc7910,frc7804,24,30,0,12,0,2,2,0,0,2,2,0,0,0,0,0,3,3,3,0,3,9,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,12,0,9,0,0,0,0,24
2019arli_qm14,blue,frc7255,frc6886,frc7842,26,31,0,3,2,5,5,0,0,2,2,2,6,0,0,0,3,12,0,0,0,15,30,3,5,3,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,3,0,23,0,0,0,0,26
2019arli_qm14,red,frc5454,frc7896,frc3039,31,26,0,9,2,5,5,0,0,5,2,2,12,30,0,0,0,3,3,0,0,6,0,5,3,5,4,2,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,9,0,22,0,0,0,0,31
2019arli_qm15,blue,frc6586,frc7123,frc5809,26,41,0,9,2,2,2,0,0,5,5,0,6,0,0,0,0,0,3,0,6,3,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,11,0,0,0,0,26
2019arli_qm15,red,frc7766,frc7459,frc5006,41,26,0,3,2,2,2,5,0,5,2,2,12,0,0,0,3,3,12,2,0,18,30,3,3,5,8,0,2,0,0,5,0,5,0,2,2,2,2,2,2,3,3,3,3,3,0,38,0,0,0,0,41
2019arli_qm16,blue,frc5002,frc1982,frc4603,35,59,0,12,5,2,5,0,0,5,5,2,12,0,0,0,3,3,3,0,0,9,0,5,5,5,2,2,0,0,0,0,0,0,0,Unknown,Unknown,Unknown,2,2,Unknown,3,6,3,0,12,1,23,0,0,0,0,35
2019arli_qm16,red,frc3946,frc6640,frc2164,59,35,0,15,2,5,0,0,0,0,2,5,12,0,0,0,3,3,12,0,10,18,30,5,5,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,34,0,0,0,0,59
2019arli_qm17,blue,frc7075,frc4087,frc4336,49,36,0,15,2,2,5,5,2,2,0,2,6,0,0,0,3,12,3,0,0,18,30,5,5,5,10,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,34,0,0,0,0,49
2019arli_qm17,red,frc2080,frc7702,frc2357,36,49,0,12,5,0,5,0,0,5,0,5,12,0,0,0,0,3,3,0,0,6,0,5,5,5,6,0,0,2,0,0,0,2,0,2,2,2,2,2,2,6,3,3,0,12,0,24,0,0,2,0,36
2019arli_qm18,blue,frc7655,frc7846,frc3937,38,18,0,3,0,2,2,0,0,2,2,0,12,0,0,0,3,3,3,0,0,9,0,5,3,3,14,2,2,0,2,0,5,0,5,2,2,2,2,2,2,3,3,3,2,3,0,35,0,5,0,5,38
