MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019ausc_qm1,blue,frc4613,frc7644,frc7278,46,23,0,3,2,5,2,0,0,5,5,5,12,0,0,0,3,3,3,0,22,9,0,5,3,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,3,0,21,0,0,0,0,46
2019ausc_qm1,red,frc6510,frc7641,frc5516,23,46,0,6,2,2,2,0,0,2,2,2,0,0,0,0,12,0,3,4,0,15,30,5,3,5,2,0,0,0,0,0,0,2,0,2,2,2,2,2,2,3,3,3,1,6,1,17,0,0,0,0,23
2019ausc_qm10,blue,frc6083,frc4613,frc7526,90,45,0,12,5,5,5,5,5,5,5,5,27,0,0,0,3,12,3,0,23,18,30,5,5,5,10,0,0,0,5,0,0,0,2,2,2,2,2,2,2,6,3,3,3,12,0,55,0,0,0,2,90
2019ausc_qm10,red,frc7163,frc5308,frc5451,45,90,0,12,2,2,2,2,5,5,5,2,9,0,0,0,3,3,12,1,0,18,30,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,2,33,0,0,0,0,45
2019ausc_qm11,blue,frc7433,frc6050,frc7128,35,61,0,9,2,5,2,0,0,0,5,5,9,0,0,0,12,3,0,0,0,15,30,5,5,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,26,0,0,0,0,35
2019ausc_qm11,red,frc6510,frc6434,frc7130,61,35,0,12,5,5,5,0,5,5,5,5,24,0,0,0,6,3,12,0,0,21,30,5,5,5,4,0,0,0,0,0,5,0,0,2,2,2,2,2,2,3,3,6,3,12,0,49,0,0,0,0,61
2019ausc_qm12,blue,frc7593,frc4774,frc7636,49,23,0,15,2,2,5,5,0,5,5,5,15,0,0,0,3,6,3,1,3,12,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,31,0,0,0,0,49
2019ausc_qm12,red,frc7124,frc4801,frc3881,23,49,0,9,0,5,2,2,2,0,0,0,3,30,0,0,0,0,0,1,3,0,0,5,5,5,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,11,0,0,0,0,23
2019ausc_qm13,blue,frc6986,frc4802,frc6520,52,38,0,9,5,5,5,0,0,5,5,2,15,0,0,0,12,3,3,0,10,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,33,0,0,0,0,52
2019ausc_qm13,red,frc6191,frc7023,frc5593,38,52,0,12,5,0,0,0,5,0,0,5,9,0,0,0,0,12,3,0,0,15,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,1,26,0,0,0,0,38
2019ausc_qm14,blue,frc3132,frc6996,frc6050,23,46,0,12,2,2,2,0,2,0,0,2,0,0,0,0,3,3,3,1,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,11,0,0,0,0,23
2019ausc_qm14,red,frc7526,frc7583,frc7527,46,23,0,15,2,2,5,5,0,5,5,5,15,0,0,0,3,0,0,0,3,3,0,5,5,5,10,2,2,0,0,0,2,0,0,2,2,2,2,2,2,6,6,3,2,15,0,28,0,2,0,0,46
2019ausc_qm15,blue,frc5308,frc7641,frc7128,20,38,0,9,2,2,2,0,2,0,0,2,0,0,0,0,3,3,3,0,0,9,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,11,0,0,0,0,20
2019ausc_qm15,red,frc6579,frc7124,frc7636,38,20,0,9,5,5,5,5,2,2,2,2,18,0,0,0,3,0,3,0,0,3,0,5,5,0,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,9,0,29,0,0,0,0,38
2019ausc_qm16,blue,frc4253,frc7593,frc7523,47,18,0,15,5,5,5,0,5,5,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,32,0,0,0,0,47
2019ausc_qm16,red,frc4802,frc6434,frc6191,18,47,0,9,2,2,5,0,0,2,2,2,3,0,0,0,0,3,3,0,0,6,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,9,0,0,0,0,18
2019ausc_qm17,blue,frc7023,frc6083,frc7163,50,52,0,6,2,5,5,5,5,5,5,5,24,0,0,0,3,3,3,1,3,9,0,3,3,5,8,5,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,6,0,41,0,0,0,0,50
2019ausc_qm17,red,frc7130,frc7719,frc5516,52,50,0,15,5,5,5,2,5,5,5,2,18,0,0,0,12,0,0,1,3,12,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,34,0,0,0,0,52
2019ausc_qm18,blue,frc5451,frc6520,frc5985,57,50,0,12,0,0,0,0,0,5,5,5,12,0,0,0,12,3,6,0,0,21,30,5,5,5,12,0,5,0,2,0,2,0,2,2,2,2,2,2,2,3,3,6,3,12,0,45,0,2,0,2,57
2019ausc_qm18,red,frc7632,frc6510,frc7583,50,57,0,15,2,5,5,0,0,5,5,5,15,0,0,0,3,12,3,0,0,18,30,5,5,5,2,0,0,0,0,0,0,2,0,2,2,2,2,2,2,6,3,6,1,15,0,35,0,0,0,0,50
2019ausc_qm19,blue,frc6986,frc7278,frc7433,47,27,0,9,5,5,5,0,0,0,5,5,15,0,0,0,12,3,6,1,0,21,30,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,9,0,38,0,0,0,2,47
2019ausc_qm19,red,frc4774,frc3132,frc5449,27,47,0,6,2,2,2,5,5,5,2,2,9,0,0,0,0,3,0,0,3,3,0,3,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,18,0,0,0,0,27
2019ausc_qm2,blue,frc7523,frc4801,frc7527,41,34,0,6,5,5,5,2,5,5,2,2,15,0,0,0,3,3,3,0,3,9,0,5,3,5,8,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,0,3,2,6,0,32,0,0,0,0,41
