Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4613,31.66,13.03,0.01,2.65,2.25,2.06,1.58,1.32,-0.32,2.35,1.77,2.25,10.24,-0.97,0.00,0.00,1.93,4.39,3.37,0.13,6.85,9.77,20.07,1.64,1.64,1.66,2.14,-0.21,0.38,0.58,0.96,0.40,0.05,0.22,0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.01,0.90,0.92,1.67,2.65,-0.02,22.16,0.31,-0.24,0.88,0.48,31.66,
frc7644,9.19,17.41,0.01,0.73,0.83,0.85,0.99,0.72,1.29,0.26,0.87,0.52,2.53,-0.59,0.00,0.00,0.05,0.23,0.88,0.19,2.94,0.92,-3.38,1.25,1.25,0.46,2.06,0.71,0.84,0.17,0.48,0.18,-0.20,-0.15,-0.00,0.67,0.67,0.67,0.67,0.67,0.67,1.53,1.11,1.04,-0.08,0.73,0.09,5.51,-0.06,0.01,-0.26,0.18,9.19,
frc7278,8.20,13.78,0.00,1.05,1.19,1.34,0.89,-0.72,0.03,0.74,0.80,1.01,1.96,-0.45,0.00,0.00,0.32,0.03,1.80,0.07,1.63,2.15,-0.12,1.54,0.92,1.08,1.41,0.30,-0.67,0.41,-0.52,0.23,-0.02,0.26,0.12,0.67,0.67,0.67,0.67,0.67,0.67,0.97,1.16,1.31,-0.30,1.05,0.07,5.52,0.24,0.33,0.07,0.53,8.20,
frc6510,19.96,19.76,0.01,2.75,0.63,1.10,1.38,0.65,-0.22,1.36,1.58,1.66,7.11,-0.24,0.00,0.00,3.27,2.05,2.95,0.14,-0.14,8.25,17.47,1.26,1.55,1.69,1.98,-0.43,0.59,-0.22,0.73,0.07,1.80,0.15,1.18,0.67,0.67,0.67,0.67,0.67,0.67,0.60,0.77,1.39,0.89,2.75,0.05,17.34,-0.18,0.74,-0.13,0.53,19.96,
frc7641,7.47,15.60,0.01,4.95,1.39,1.33,1.10,0.14,-0.03,1.30,0.12,1.54,2.21,-1.14,0.00,0.00,1.37,1.02,-0.20,0.27,-1.66,2.25,3.16,1.52,1.59,2.01,-0.28,-0.59,0.08,-0.19,-0.23,-0.11,-0.21,0.16,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,1.77,1.45,1.80,-0.07,4.95,0.09,4.18,0.11,0.06,0.13,0.30,7.47,
frc5516,15.56,20.31,-0.09,3.38,1.78,1.05,1.81,0.10,1.82,2.06,1.48,1.04,7.33,-0.39,0.00,0.00,3.58,-0.69,-0.56,0.28,1.80,2.41,-0.00,1.90,1.11,1.91,0.72,0.61,1.32,-0.24,0.99,-0.26,-0.14,-0.02,-0.27,0.67,0.67,0.67,0.67,0.67,0.67,1.08,0.83,0.73,0.20,3.38,0.20,10.46,-0.16,-0.25,-0.13,0.38,15.56,
frc6083,19.03,15.28,0.01,4.52,0.10,0.77,0.90,0.74,2.03,1.69,2.46,1.49,6.70,0.23,0.00,0.00,-0.60,0.71,1.82,0.33,1.35,1.95,-2.72,1.67,1.33,1.76,4.51,1.05,0.48,0.91,0.82,0.09,0.17,-0.02,0.48,0.67,0.67,0.67,0.67,0.67,0.67,2.12,0.85,2.28,-0.02,4.52,-0.07,13.16,0.10,0.13,-0.04,0.50,19.03,
frc7526,25.12,16.93,0.01,7.09,0.74,1.08,1.63,1.26,0.69,1.55,0.79,1.43,4.70,-0.52,0.00,0.00,0.58,1.51,2.39,-0.06,2.47,4.52,1.97,1.84,1.99,1.91,6.33,0.11,0.96,0.09,0.69,0.25,0.64,0.36,0.80,0.67,0.67,0.67,0.67,0.67,0.67,2.88,1.70,1.52,0.70,7.09,0.03,15.55,0.28,0.82,0.26,0.44,25.12,
frc7163,13.65,22.51,-0.00,5.32,1.02,1.08,1.27,0.74,0.56,1.16,0.90,0.28,2.17,-0.34,0.00,0.00,2.14,0.95,2.07,0.11,-0.02,5.18,6.30,1.54,1.53,1.79,1.02,0.34,0.60,-0.04,-0.08,-0.24,0.05,-0.15,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,2.12,1.67,1.90,0.06,5.32,0.14,8.37,-0.15,-0.19,-0.14,-0.23,13.65,
frc5308,9.23,9.71,-0.00,2.51,1.10,0.93,1.18,-0.19,0.13,0.42,0.99,0.13,0.59,-0.42,0.00,0.00,0.22,0.16,2.01,0.38,2.72,2.42,-0.86,0.91,1.66,1.62,0.99,-0.27,-0.09,-0.57,0.23,0.56,-0.26,-0.02,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,0.04,1.85,1.66,0.21,2.51,0.20,3.99,0.32,-0.06,0.13,-0.02,9.23,
