MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019ausp_qm1,blue,frc6035,frc6304,frc6579,59,44,0,15,2,5,5,5,0,5,5,5,21,0,0,0,3,6,3,0,3,12,0,5,5,5,8,0,0,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,41,0,2,0,2,59
2019ausp_qm1,red,frc6508,frc7129,frc7709,44,59,0,9,2,5,5,5,0,5,5,5,18,0,0,0,12,0,3,1,0,15,30,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,9,0,35,0,0,0,0,44
2019ausp_qm10,blue,frc3881,frc6476,frc4614,39,26,0,12,2,2,2,2,0,5,5,5,9,0,0,0,0,3,0,0,9,3,0,5,5,5,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,18,0,0,0,0,39
2019ausp_qm10,red,frc7561,frc7884,frc4739,26,39,0,6,0,0,0,5,0,5,5,5,12,0,0,0,3,3,0,3,0,6,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,20,0,0,0,0,26
2019ausp_qm11,blue,frc7838,frc5876,frc2437,35,67,0,12,5,5,5,0,5,2,0,0,12,0,0,0,3,0,0,4,0,3,0,5,5,3,8,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,12,0,23,0,0,0,0,35
2019ausp_qm11,red,frc5663,frc5451,frc7741,67,35,0,9,5,5,0,5,5,5,5,5,21,0,0,0,3,12,0,0,12,15,30,5,5,5,10,2,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,46,0,0,0,0,67
2019ausp_qm12,blue,frc6996,frc3132,frc7074,53,51,0,15,5,5,5,5,0,5,5,5,24,0,0,0,0,3,3,1,0,6,0,5,5,5,8,2,0,5,0,2,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,38,0,0,0,0,53
2019ausp_qm12,red,frc6083,frc7433,frc7707,51,53,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,0,3,9,0,5,5,3,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,39,0,0,0,0,51
2019ausp_qm13,blue,frc5584,frc6997,frc5988,57,33,0,12,2,5,5,0,0,5,5,5,15,0,0,0,12,3,0,1,13,15,30,5,5,0,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,0,3,12,0,32,0,0,0,0,57
2019ausp_qm13,red,frc7709,frc7113,frc7146,33,57,0,12,5,5,5,0,0,0,5,2,12,0,0,0,3,0,3,1,3,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,1,18,0,0,0,0,33
