MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019azfl_qm1,blue,frc3133,frc2478,frc1011,33,30,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,0,0,2,0,3,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,0,2,12,0,21,0,0,0,0,33
2019azfl_qm1,red,frc5429,frc1891,frc6922,30,33,0,9,2,2,0,5,2,0,2,2,3,0,0,0,0,0,0,0,6,0,0,5,5,0,12,0,2,0,2,0,2,0,0,2,2,2,2,2,2,3,6,0,0,9,0,15,0,2,0,0,30
2019azfl_qm10,blue,frc7897,frc7547,frc6413,10,33,0,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,3,0,3,0,4,0,0,0,0,10
2019azfl_qm10,red,frc6922,frc2486,frc6546,33,10,0,9,5,5,5,0,0,5,5,5,18,0,0,0,0,3,3,1,0,6,0,0,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,9,0,24,0,0,0,0,33
2019azfl_qm11,blue,frc996,frc7214,frc4565,38,30,0,9,2,2,5,5,2,2,2,2,6,0,0,0,0,3,3,0,13,6,0,0,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,16,0,0,0,0,38
2019azfl_qm11,red,frc5678,frc6127,frc5496,30,38,0,6,5,5,5,0,0,0,5,2,12,0,0,0,3,3,6,1,0,12,0,3,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,1,24,0,0,0,0,30
2019azfl_qm12,blue,frc3230,frc3187,frc1726,67,59,0,12,5,5,5,5,0,5,5,5,27,0,0,0,6,0,12,1,0,18,30,5,5,5,10,0,5,0,5,2,2,0,0,2,2,2,2,2,2,6,3,3,3,12,0,55,0,0,0,0,67
2019azfl_qm12,red,frc2240,frc5429,frc498,59,67,0,15,2,2,2,0,0,5,5,5,15,0,0,0,12,3,3,0,3,18,30,5,5,5,8,0,5,0,5,0,2,0,2,2,2,2,2,2,2,6,3,6,1,15,0,41,0,0,0,0,59
2019azfl_qm13,blue,frc1165,frc670,frc7426,36,46,0,15,2,2,5,0,0,5,5,5,12,0,0,0,3,3,3,1,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,21,0,0,0,0,36
2019azfl_qm13,red,frc6821,frc1011,frc4063,46,36,0,15,2,5,5,2,5,0,0,0,9,0,0,0,3,0,12,0,3,15,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,28,0,0,0,0,46
2019azfl_qm14,blue,frc4183,frc5133,frc842,49,37,0,9,2,2,2,0,0,2,2,2,15,0,0,0,12,3,0,0,0,15,30,5,5,5,10,0,0,0,5,0,5,0,5,2,2,2,2,2,2,3,3,3,3,9,0,40,0,5,0,5,49
