Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3133,10.18,14.94,0.00,4.48,1.56,1.15,1.76,0.51,0.45,0.16,0.86,0.57,2.00,-1.33,-0.17,-1.26,-0.46,0.46,1.39,0.98,-0.67,1.54,-0.63,0.86,1.58,1.27,2.83,0.53,-0.69,0.23,-0.09,0.81,-0.10,0.99,0.10,0.67,0.67,0.67,0.67,0.67,0.67,2.37,1.70,0.64,0.14,4.48,-0.05,6.38,0.06,-0.19,0.21,-0.19,10.18,
frc2478,27.61,9.06,0.00,4.55,1.51,1.98,2.16,1.55,1.63,2.06,2.85,2.35,13.79,2.91,0.18,2.78,4.60,3.32,-0.53,-0.44,-3.26,7.17,15.43,1.40,2.10,1.05,5.35,1.34,0.45,0.67,0.73,0.31,-0.00,0.45,0.14,0.67,0.67,0.67,0.67,0.67,0.67,1.72,1.30,1.08,1.90,4.55,-0.04,26.31,0.50,0.90,0.77,0.71,27.61,
frc1011,8.99,10.95,0.00,4.48,1.51,1.40,1.30,-0.49,-0.10,1.25,0.64,-0.15,2.93,-0.45,0.48,-0.87,-0.34,-1.59,1.20,1.16,4.44,-0.67,-3.98,1.78,1.16,1.24,-2.19,-0.57,0.41,-0.39,-0.22,-0.26,0.15,-0.26,0.15,0.67,0.67,0.67,0.67,0.67,0.67,2.00,1.69,1.41,0.14,4.48,0.09,0.07,-0.19,-0.18,-0.20,-0.17,8.99,
frc5429,13.71,18.31,0.00,4.63,1.83,1.06,1.08,0.22,-0.75,1.61,1.55,1.26,5.77,0.55,1.65,-0.96,-0.21,1.28,-0.29,0.69,-0.17,0.91,-4.64,1.93,2.00,1.09,2.57,0.27,1.25,0.28,0.73,0.37,0.35,0.57,0.34,0.67,0.67,0.67,0.67,0.67,0.67,1.28,1.48,1.05,0.11,4.63,-0.04,9.25,0.54,-0.20,0.59,-0.47,13.71,
frc1891,14.99,16.71,0.00,4.03,0.37,0.27,1.17,0.87,0.05,-0.09,1.18,0.10,1.26,3.00,1.28,-1.30,2.60,1.54,-1.49,0.28,1.86,2.82,4.15,2.34,1.69,0.48,5.01,0.39,-0.10,-0.01,0.82,1.07,-0.04,1.24,0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.16,2.17,1.43,0.34,4.03,0.07,9.10,0.69,-0.09,0.85,0.12,14.99,
frc6922,5.79,13.46,0.00,4.75,0.33,0.20,-0.23,0.31,-0.18,0.50,0.09,0.74,-0.78,0.79,-1.41,2.23,0.01,1.84,0.47,1.17,-1.68,2.23,2.24,0.82,2.09,1.22,1.27,-0.36,0.83,-0.65,0.41,-0.23,0.71,-0.22,0.35,0.67,0.67,0.67,0.67,0.67,0.67,1.10,1.90,1.93,0.01,4.75,-0.01,2.72,-0.18,0.61,-0.22,0.44,5.79,
frc7897,12.06,12.79,0.00,4.10,1.33,1.68,1.71,0.01,-0.29,1.32,0.62,0.37,2.73,-1.33,-0.03,-0.49,1.92,0.56,0.63,0.44,1.77,3.38,3.18,1.75,1.48,1.56,0.08,0.48,-0.45,0.57,-0.29,0.24,-0.25,0.18,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.31,1.15,0.75,0.63,4.10,-0.06,6.19,-0.02,0.06,-0.09,-0.11,12.06,
frc7547,5.82,15.53,0.00,2.32,0.87,-0.11,0.04,0.82,0.93,-0.07,0.74,0.38,-1.13,0.85,1.64,-0.90,1.80,1.15,-1.10,0.33,0.38,1.54,0.53,0.92,1.03,0.82,2.71,0.77,-0.41,0.42,-0.34,0.43,-0.23,0.38,-0.35,0.67,0.67,0.67,0.67,0.67,0.67,1.50,0.81,2.31,0.05,2.32,0.10,3.12,0.04,-0.13,0.18,-0.05,5.82,
frc6413,-1.89,8.15,0.00,0.94,-0.02,0.49,0.47,0.07,0.99,0.61,0.47,0.45,-2.28,0.59,0.99,-0.84,-1.83,0.13,1.08,0.17,1.15,-0.55,-1.72,0.19,1.28,0.97,-1.15,0.13,-0.27,-0.37,-0.49,-0.54,-0.16,-0.39,-0.39,0.67,0.67,0.67,0.67,0.67,0.67,0.34,0.83,0.88,-0.13,0.94,-0.03,-3.97,-0.16,-0.35,0.01,-0.27,-1.89,
frc2486,21.33,9.67,0.00,4.54,2.37,2.51,2.33,0.15,0.14,1.76,1.39,1.68,9.63,-1.62,-0.38,-0.35,0.43,0.68,1.04,-0.23,4.42,2.55,0.89,1.76,1.47,1.67,0.19,1.24,0.29,1.10,0.10,-0.03,-0.54,-0.03,0.28,0.67,0.67,0.67,0.67,0.67,0.67,2.21,1.73,1.99,0.98,4.54,0.27,12.37,-0.33,-0.28,-0.04,-0.00,21.33,
