MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019azpx_qm1,blue,frc3853,frc6656,frc2844,23,50,0,9,2,2,5,0,2,2,2,2,3,0,0,0,0,0,3,1,6,3,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,8,0,0,0,0,23
2019azpx_qm1,red,frc1662,frc6479,frc3944,50,23,0,9,5,0,5,5,0,5,0,5,15,0,0,0,12,3,3,2,3,15,30,5,5,0,8,2,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,9,0,38,0,0,0,0,50
2019azpx_qm10,blue,frc1492,frc1212,frc498,50,56,0,9,5,5,5,5,5,5,5,2,24,0,0,0,0,3,3,1,3,6,0,5,5,3,8,2,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,38,0,0,0,0,50
2019azpx_qm10,red,frc7214,frc6674,frc6479,56,50,0,12,2,2,5,5,5,5,5,5,18,0,0,0,0,3,12,1,3,15,30,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,41,0,0,0,0,56
2019azpx_qm11,blue,frc3133,frc2478,frc7620,75,45,0,9,2,5,5,5,5,5,5,5,30,0,0,0,0,12,6,1,0,18,30,0,5,5,18,2,5,0,5,0,2,0,5,2,2,2,2,2,2,3,6,3,3,9,0,66,0,2,0,2,75
2019azpx_qm11,red,frc4146,frc6413,frc2647,45,75,0,12,2,2,2,0,2,2,2,2,9,0,0,0,3,3,3,0,3,9,0,5,5,5,12,0,5,0,0,0,5,0,5,2,2,2,2,2,2,3,3,6,0,12,0,30,0,2,0,2,45
2019azpx_qm12,blue,frc4565,frc2449,frc3187,50,31,0,15,2,5,5,5,5,5,5,5,21,0,0,0,3,0,3,3,0,6,0,5,5,5,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,35,0,0,0,0,50
2019azpx_qm12,red,frc2662,frc5465,frc3853,31,50,0,6,2,5,2,0,5,2,2,2,6,0,0,0,3,0,3,0,9,6,0,5,3,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,16,0,0,0,0,31
2019azpx_qm13,blue,frc2840,frc3944,frc1165,35,44,0,6,2,5,5,2,2,5,2,2,9,0,0,0,3,3,3,0,3,9,0,3,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,0,6,0,26,0,0,0,0,35
2019azpx_qm13,red,frc6833,frc1290,frc3019,44,35,0,15,5,5,5,0,5,5,2,5,18,0,0,0,3,3,3,1,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,29,0,0,0,0,44
2019azpx_qm14,blue,frc7755,frc4111,frc6372,33,21,0,15,2,2,2,0,0,2,2,2,0,0,0,0,3,12,3,0,0,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,18,0,0,0,0,33
2019azpx_qm14,red,frc6352,frc1633,frc4496,21,33,0,9,2,2,5,0,0,2,2,2,3,0,0,0,3,3,3,0,0,9,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,12,0,0,0,0,21
2019azpx_qm15,blue,frc3577,frc4183,frc4146,44,59,0,9,5,5,5,0,5,5,2,5,24,0,0,0,0,3,0,0,0,3,0,5,5,5,8,5,0,0,0,0,0,0,5,2,2,2,2,2,2,3,3,3,0,9,1,35,0,0,0,2,44
2019azpx_qm15,red,frc2403,frc2449,frc1492,59,44,0,12,2,2,2,2,5,2,2,2,6,0,0,0,12,3,3,0,10,15,30,5,0,5,16,0,0,2,5,0,2,0,2,2,2,2,2,2,2,6,3,6,3,12,0,37,0,2,0,2,59
2019azpx_qm16,blue,frc6479,frc498,frc3133,42,41,0,9,2,2,5,5,2,5,2,5,12,0,0,0,3,3,3,0,0,9,0,5,3,5,12,2,2,2,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,9,0,33,0,0,0,0,42
2019azpx_qm16,red,frc7620,frc7214,frc5465,41,42,0,9,2,2,2,2,2,5,5,2,6,0,0,0,6,3,3,0,0,12,0,5,5,3,14,0,2,0,2,0,2,0,2,2,2,2,2,2,2,3,6,3,0,9,0,32,0,2,0,0,41
2019azpx_qm17,blue,frc4496,frc7547,frc3944,70,65,0,15,2,2,2,5,2,0,2,2,3,0,0,0,3,3,3,0,31,9,0,5,5,5,12,0,2,0,2,2,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,24,0,0,0,0,70
2019azpx_qm17,red,frc4565,frc1662,frc2647,65,70,0,15,5,5,5,0,0,5,5,5,24,0,0,0,3,12,3,7,0,18,30,5,5,5,8,5,0,5,0,2,0,2,0,2,2,2,2,2,2,6,3,6,1,15,1,50,0,0,0,0,65
2019azpx_qm18,blue,frc6372,frc6413,frc3019,26,53,0,15,2,2,5,2,0,2,2,2,3,0,0,0,3,0,3,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,11,0,0,0,0,26
2019azpx_qm18,red,frc2844,frc2478,frc3889,53,26,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,12,3,0,0,18,30,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,38,0,0,0,0,53
2019azpx_qm19,blue,frc4111,frc7703,frc6656,35,48,0,15,2,2,2,2,5,2,2,2,3,0,0,0,3,3,0,0,3,6,0,5,5,5,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,17,0,0,0,0,35
2019azpx_qm19,red,frc1212,frc1633,frc3187,48,35,0,15,5,5,5,5,5,2,5,5,21,0,0,0,0,3,3,1,0,6,0,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,33,0,0,0,0,48
2019azpx_qm2,blue,frc4496,frc6530,frc4183,40,49,0,6,5,5,5,5,0,2,2,5,15,0,0,0,0,0,12,0,3,12,0,5,5,3,4,0,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,31,0,0,0,0,40
2019azpx_qm2,red,frc2647,frc6833,frc7214,49,40,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,6,3,1,0,12,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,34,0,2,0,2,49
2019azpx_qm20,blue,frc2840,frc7755,frc6352,43,42,0,9,2,2,5,0,0,5,5,5,12,0,0,0,0,3,12,0,3,15,30,3,5,5,4,0,0,0,0,0,0,0,2,2,2,2,2,2,2,6,6,3,3,9,0,31,0,0,0,2,43
2019azpx_qm20,red,frc6674,frc1165,frc6530,42,43,0,9,5,5,5,5,5,2,2,2,18,0,0,0,0,3,0,1,0,3,0,5,5,5,12,5,0,2,0,2,0,2,0,2,2,2,2,2,2,3,3,3,0,9,0,33,0,0,0,0,42
2019azpx_qm21,blue,frc1290,frc698,frc2662,19,30,0,9,2,2,2,2,2,2,2,2,0,0,0,0,3,0,3,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,10,0,0,0,0,19
