Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3853,8.57,20.52,0.00,2.91,1.38,1.89,1.92,0.20,1.54,0.99,1.20,0.63,4.29,-0.29,0.10,-0.12,-0.81,0.12,-0.06,0.25,0.40,-0.76,-2.37,1.66,1.25,1.81,1.73,0.01,0.29,0.29,-0.01,0.16,-0.04,-0.18,-0.14,0.67,0.67,0.67,0.67,0.67,0.67,1.48,1.14,0.82,-0.18,2.91,-0.06,5.26,-0.04,-0.10,0.22,-0.11,8.57,
frc6656,15.50,14.82,0.00,5.69,0.87,1.18,1.83,0.47,1.13,1.83,1.36,1.37,4.28,-1.31,-0.64,-0.39,1.63,1.40,-0.53,-0.30,1.39,2.34,2.66,1.80,1.86,1.37,1.81,-0.09,-0.08,-0.38,0.31,0.19,0.07,-0.05,0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.32,0.95,2.96,0.42,5.69,0.06,8.42,0.00,-0.23,-0.07,-0.27,15.50,
frc2844,6.41,24.05,0.00,3.58,0.99,1.05,0.89,-0.42,-0.38,0.55,0.62,0.72,-1.32,-1.63,-0.52,-0.23,-0.50,2.03,0.43,0.93,1.83,2.01,1.03,1.73,1.54,1.62,0.30,-0.20,-0.03,0.09,-0.30,-0.15,-0.30,0.18,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.25,1.49,0.99,-0.09,3.58,0.02,1.00,-0.27,-0.01,-0.19,0.31,6.41,
frc1662,22.00,10.61,0.00,4.80,1.41,1.27,1.70,-0.51,-0.28,1.35,0.55,0.69,7.78,4.02,4.98,-0.39,1.14,4.52,0.58,0.77,-0.07,6.06,8.85,1.61,1.56,1.33,3.42,1.28,0.47,1.75,-0.14,1.47,0.69,1.28,0.56,0.67,0.67,0.67,0.67,0.67,0.67,2.31,1.75,1.22,0.78,4.80,-0.03,17.26,0.82,0.35,0.74,0.15,22.00,
frc6479,21.45,17.33,0.00,4.21,0.40,0.21,0.77,2.48,1.05,1.32,0.55,0.88,4.47,1.37,-0.53,2.39,2.30,1.52,3.77,0.76,-0.96,7.48,15.90,1.82,1.74,1.86,6.27,0.72,1.09,0.48,0.63,-0.18,0.22,-0.21,0.22,0.67,0.67,0.67,0.67,0.67,0.67,0.80,1.31,1.53,1.17,4.21,0.06,18.21,-0.22,0.41,-0.19,0.43,21.45,
frc3944,18.17,17.26,0.00,4.65,1.38,0.42,0.99,2.04,1.15,0.68,0.53,0.84,3.06,-0.69,-0.29,0.07,1.05,-0.60,1.05,-0.01,2.97,1.24,-1.86,1.73,1.36,0.97,6.24,0.66,0.96,1.10,1.12,-0.07,-0.08,-0.15,-0.40,0.67,0.67,0.67,0.67,0.67,0.67,2.12,1.24,1.30,0.16,4.65,-0.03,10.54,0.01,-0.24,0.09,-0.19,18.17,
frc1492,15.89,14.98,0.00,4.41,0.57,0.99,1.18,1.88,1.92,1.17,0.67,0.94,4.16,-1.91,-0.38,-0.87,2.28,0.89,0.35,0.52,0.35,3.30,-0.58,1.74,1.33,1.47,3.66,0.95,0.04,1.09,0.36,-0.42,0.67,-0.22,0.53,0.67,0.67,0.67,0.67,0.67,0.67,1.69,1.65,1.66,0.26,4.41,0.02,11.12,-0.35,0.53,-0.25,0.02,15.89,
frc1212,19.90,13.40,0.00,4.46,1.88,2.28,2.41,1.11,0.16,1.78,1.98,2.24,9.65,1.34,-0.45,-0.15,1.13,0.48,2.78,0.09,0.19,4.42,7.79,1.64,1.80,1.58,1.18,0.67,0.06,1.05,0.62,-0.20,-0.17,-0.07,0.06,0.67,0.67,0.67,0.67,0.67,0.67,2.38,0.94,1.81,1.31,4.46,0.10,15.25,-0.11,-0.17,-0.17,-0.04,19.90,
frc498,24.02,16.27,0.00,3.88,2.22,1.31,1.83,1.63,1.60,2.36,1.59,2.11,9.66,4.77,0.12,2.40,-0.42,1.11,0.50,0.17,2.86,1.29,-6.37,1.69,1.33,1.41,6.34,0.59,0.88,1.11,0.91,-0.07,0.23,-0.24,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,2.33,1.09,1.88,0.53,3.88,0.02,17.29,0.10,0.40,-0.03,0.41,24.02,
frc7214,12.25,14.46,0.00,4.24,1.06,0.91,1.20,0.85,0.47,2.20,2.45,1.20,5.19,-1.48,-0.40,-0.46,0.15,1.51,0.30,0.54,-0.34,2.08,0.58,1.70,1.78,1.46,1.09,0.49,-0.20,0.13,-0.04,-0.06,0.02,-0.11,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.79,1.16,2.33,0.28,4.24,-0.07,8.35,-0.09,0.08,0.22,0.04,12.25,
