MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019bcvi_qm1,blue,frc7796,frc7170,frc6485,47,62,0,9,2,2,0,5,2,2,5,2,12,0,0,0,3,3,12,0,0,18,30,3,5,5,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,9,0,38,0,5,0,5,47
2019bcvi_qm1,red,frc6408,frc359,frc6390,62,47,0,9,5,5,5,5,5,5,5,5,27,0,0,0,3,12,3,0,0,18,30,5,5,5,8,0,0,0,5,0,2,0,0,2,2,2,2,2,2,3,3,3,3,9,0,53,0,0,0,0,62
2019bcvi_qm10,blue,frc2122,frc4334,frc4627,45,61,0,15,2,5,2,5,5,5,5,5,18,0,0,0,0,3,3,2,0,6,0,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,30,0,0,0,0,45
2019bcvi_qm10,red,frc359,frc2438,frc5118,61,45,0,12,5,5,5,5,5,5,2,5,21,0,0,0,12,6,0,0,6,18,30,5,5,0,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,12,0,43,0,0,0,0,61
2019bcvi_qm11,blue,frc7287,frc6408,frc6486,33,39,0,12,2,2,2,2,2,2,2,2,0,0,0,0,0,3,3,0,3,6,0,0,5,5,12,2,2,2,2,0,0,0,0,2,2,2,2,2,2,0,6,6,0,12,0,18,0,0,0,0,33
2019bcvi_qm11,red,frc7781,frc7167,frc6364,39,33,0,3,5,5,5,5,5,5,5,5,24,0,0,0,0,3,3,1,0,6,0,3,5,3,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,3,0,36,0,0,0,0,39
2019bcvi_qm12,blue,frc7135,frc2594,frc1482,24,26,0,6,2,2,0,5,5,2,2,2,6,0,0,0,0,3,3,0,0,6,0,5,5,3,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,18,0,0,0,0,24
2019bcvi_qm12,red,frc6351,frc6458,frc2438,26,24,0,6,5,5,5,0,0,2,0,0,9,0,0,0,3,3,6,0,0,9,0,5,0,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,20,0,0,0,0,26
2019bcvi_qm13,blue,frc7190,frc2444,frc7787,27,39,0,9,2,2,5,0,0,5,2,2,6,0,0,0,3,3,3,1,3,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,15,0,0,0,0,27
2019bcvi_qm13,red,frc6408,frc846,frc4627,39,27,0,15,2,5,5,2,0,2,2,2,6,0,0,0,3,3,3,1,3,9,0,5,5,5,6,0,2,0,0,0,2,0,0,2,2,2,2,2,2,6,3,6,2,15,0,21,0,0,0,0,39
2019bcvi_qm14,blue,frc4334,frc6485,frc7173,63,30,0,15,2,5,5,5,0,5,5,5,24,0,0,0,3,12,0,0,3,15,30,5,5,5,6,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,45,0,0,0,0,63
2019bcvi_qm14,red,frc7169,frc1452,frc6719,30,63,0,6,2,2,2,2,2,2,2,0,6,0,0,0,0,3,3,1,0,6,0,5,5,3,12,0,5,2,5,0,0,2,0,2,2,2,2,2,2,3,3,6,0,6,0,24,0,0,0,0,30
2019bcvi_qm15,blue,frc7287,frc2122,frc4625,23,20,0,9,2,2,5,0,5,5,2,2,9,0,0,0,0,3,0,0,0,3,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,9,0,14,0,0,0,0,23
2019bcvi_qm15,red,frc6486,frc1482,frc5118,20,23,0,9,2,2,2,0,0,2,5,2,3,0,0,0,3,3,0,0,0,6,0,5,5,3,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,11,0,0,0,0,20
2019bcvi_qm16,blue,frc7781,frc7805,frc359,42,37,0,9,5,5,5,5,5,5,2,2,18,0,0,0,3,3,3,0,0,9,0,3,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,9,0,33,0,0,0,0,42
2019bcvi_qm16,red,frc6351,frc5597,frc7498,37,42,0,6,2,5,5,5,5,5,5,5,21,0,0,0,3,0,3,0,0,6,0,5,0,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,3,0,6,0,31,0,0,0,0,37
2019bcvi_qm17,blue,frc6390,frc6458,frc7158,46,28,0,12,2,5,5,5,5,5,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,34,0,0,0,0,46
2019bcvi_qm17,red,frc7688,frc7135,frc7170,28,46,0,9,0,0,5,2,2,0,0,0,3,0,0,0,3,0,3,0,0,6,0,5,3,5,10,0,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,19,0,0,0,0,28
2019bcvi_qm18,blue,frc6364,frc6351,frc7190,52,39,0,12,2,5,5,5,5,5,5,5,21,0,0,0,3,3,3,2,6,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,34,0,0,0,0,52
2019bcvi_qm18,red,frc7796,frc7167,frc4625,39,52,0,15,5,2,5,0,0,5,2,2,9,0,0,0,3,3,3,2,6,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,18,0,0,0,0,39
2019bcvi_qm19,blue,frc7787,frc7287,frc7158,25,39,0,6,0,0,2,2,0,5,5,5,9,0,0,0,3,0,3,0,0,6,0,5,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,19,0,0,0,0,25
2019bcvi_qm19,red,frc5597,frc2594,frc7170,39,25,0,9,2,0,5,5,5,2,2,2,9,0,0,0,3,3,3,0,0,9,0,5,5,5,12,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,30,0,0,0,0,39
2019bcvi_qm2,blue,frc7498,frc6719,frc7781,32,32,0,3,2,0,0,5,5,5,5,5,15,0,0,0,3,0,3,0,0,6,0,5,0,3,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,0,3,1,3,0,29,0,0,0,0,32
2019bcvi_qm2,red,frc6364,frc846,frc7158,32,32,0,6,5,5,2,5,0,2,2,5,12,0,0,0,3,0,3,0,0,6,0,5,5,3,8,0,2,0,0,0,2,0,2,2,2,2,2,2,2,3,3,3,1,6,0,26,0,0,0,0,32
2019bcvi_qm20,blue,frc7498,frc7688,frc2444,43,49,0,12,5,5,5,5,0,5,5,5,21,0,0,0,0,3,3,0,0,6,0,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,31,0,0,0,0,43
2019bcvi_qm20,red,frc1452,frc4627,frc7167,49,43,0,12,5,5,0,5,5,5,5,5,21,0,0,0,3,6,3,0,0,12,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,37,0,0,0,0,49
2019bcvi_qm21,blue,frc7173,frc7781,frc6458,35,50,0,15,0,0,0,0,0,5,5,2,6,0,0,0,3,3,3,4,3,9,0,5,5,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,17,0,0,0,0,35
2019bcvi_qm21,red,frc5118,frc7135,frc6485,50,35,0,9,2,2,5,0,0,2,2,2,12,0,0,0,3,3,3,1,12,9,0,3,5,5,8,2,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,6,2,9,0,29,0,0,0,0,50
2019bcvi_qm22,blue,frc2122,frc7805,frc6719,31,45,0,6,0,0,0,0,5,5,5,5,12,0,0,0,3,3,3,2,0,9,0,5,5,3,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,25,0,0,0,0,31
2019bcvi_qm22,red,frc6390,frc7796,frc7169,45,31,0,12,2,2,5,5,0,2,5,2,15,0,0,0,0,3,3,0,6,6,0,5,5,5,6,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,27,0,0,0,0,45
2019bcvi_qm23,blue,frc1482,frc6364,frc6408,52,75,0,15,5,5,5,5,5,5,5,5,24,0,0,0,0,3,3,0,3,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,34,0,0,0,0,52
2019bcvi_qm23,red,frc846,frc359,frc4334,75,52,0,12,5,5,5,0,5,5,5,5,33,0,0,0,3,12,3,1,0,18,30,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,6,3,12,0,63,0,2,0,0,75
2019bcvi_qm24,blue,frc6486,frc6719,frc2444,17,30,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,8,0,0,0,0,17
2019bcvi_qm24,red,frc2438,frc7135,frc7787,30,17,0,12,2,2,2,0,0,5,5,2,6,0,0,0,6,3,3,0,0,12,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,18,0,0,0,0,30
2019bcvi_qm25,blue,frc2594,frc6364,frc7173,45,25,0,9,5,5,5,0,5,5,2,2,15,0,0,0,3,3,3,0,0,9,0,5,5,5,12,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,3,3,2,9,0,36,2,0,0,0,45
2019bcvi_qm25,red,frc6408,frc7805,frc7688,25,45,0,9,0,0,0,2,2,2,0,0,0,0,0,0,3,0,3,0,0,6,0,3,5,5,10,0,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,16,0,0,0,0,25
2019bcvi_qm26,blue,frc7796,frc2438,frc7287,17,79,0,9,2,2,2,0,2,5,2,2,3,0,0,0,3,0,0,3,0,3,0,5,5,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,8,0,0,0,0,17
2019bcvi_qm26,red,frc7158,frc359,frc1452,79,17,0,9,5,5,5,5,5,5,5,5,30,0,0,0,3,12,6,0,9,21,30,5,5,5,10,0,5,2,5,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,61,0,0,0,0,79
2019bcvi_qm27,blue,frc4627,frc7498,frc7169,61,46,0,15,5,5,5,5,0,5,5,2,24,0,0,0,6,3,3,1,0,12,0,5,5,5,10,2,0,0,0,2,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,46,5,0,5,0,61
2019bcvi_qm27,red,frc1482,frc7781,frc6390,46,61,0,15,2,5,5,5,0,5,5,5,18,0,0,0,3,3,0,0,3,6,0,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,28,0,0,0,0,46
2019bcvi_qm28,blue,frc6458,frc6485,frc846,53,23,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,12,3,0,0,18,30,5,5,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,38,0,0,0,0,53
2019bcvi_qm28,red,frc6486,frc7167,frc5597,23,53,0,12,2,2,2,0,0,5,2,2,3,0,0,0,3,0,3,0,0,6,0,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,11,0,0,0,0,23
2019bcvi_qm29,blue,frc5118,frc6351,frc2122,42,57,0,6,5,5,5,5,5,5,5,5,24,0,0,0,0,3,3,1,0,6,0,3,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,0,6,0,36,0,0,0,0,42
2019bcvi_qm29,red,frc4334,frc7190,frc7170,57,42,0,12,5,5,5,5,5,5,5,5,27,0,0,0,3,3,3,0,3,9,0,5,5,3,6,0,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,12,0,42,0,0,0,0,57
2019bcvi_qm3,blue,frc7805,frc6458,frc1452,20,25,0,6,0,0,5,0,0,2,2,2,3,0,0,0,3,0,6,0,0,9,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,14,0,0,0,0,20
2019bcvi_qm3,red,frc2122,frc6486,frc7787,25,20,0,6,2,2,2,5,0,5,5,2,9,0,0,0,0,3,3,0,0,6,0,5,5,3,4,0,0,0,0,0,2,0,0,2,2,2,2,2,2,3,3,6,2,6,0,19,0,0,0,0,25
2019bcvi_qm30,blue,frc7135,frc6408,frc7169,40,41,0,9,5,5,5,0,5,5,5,5,21,0,0,0,0,3,3,6,0,6,0,3,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,31,0,0,0,0,40
2019bcvi_qm30,red,frc4625,frc7688,frc5597,41,40,0,12,2,2,5,0,0,2,2,2,3,0,0,0,3,3,0,0,18,6,0,5,5,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,11,0,0,0,0,41
2019bcvi_qm31,blue,frc7167,frc1482,frc4334,59,59,0,15,5,5,5,5,2,5,5,5,21,0,0,0,3,3,3,0,6,9,0,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,38,0,0,0,0,59
2019bcvi_qm31,red,frc6485,frc7158,frc7805,59,59,0,12,5,5,5,5,5,5,2,2,21,0,0,0,12,3,3,2,0,18,30,5,5,5,8,0,5,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,47,0,0,0,0,59
2019bcvi_qm32,blue,frc6390,frc5118,frc4627,44,53,0,3,5,5,5,0,5,5,2,5,18,0,0,0,3,3,3,1,12,9,0,5,3,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,3,0,29,0,0,0,0,44
2019bcvi_qm32,red,frc6364,frc1452,frc7287,53,44,0,6,5,5,5,5,5,5,5,5,27,0,0,0,3,3,3,4,3,9,0,5,5,3,8,5,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,6,0,44,0,0,0,0,53
2019bcvi_qm33,blue,frc6458,frc4625,frc7787,30,48,0,15,2,2,2,0,0,5,5,2,6,0,0,0,3,3,3,1,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,15,0,0,0,0,30
2019bcvi_qm33,red,frc7781,frc7796,frc7190,48,30,0,15,2,5,5,5,2,5,5,5,18,0,0,0,3,0,3,0,3,6,0,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,30,0,0,0,0,48
2019bcvi_qm34,blue,frc359,frc7170,frc6719,55,57,0,9,5,5,5,5,5,5,5,5,24,0,0,0,12,3,3,2,0,18,30,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,9,0,46,0,0,0,0,55
2019bcvi_qm34,red,frc2438,frc2594,frc7498,57,55,0,15,2,5,5,5,0,5,5,5,18,0,0,0,6,3,3,0,6,12,0,5,5,5,6,0,0,0,0,0,2,0,2,2,2,2,2,2,2,6,3,6,2,15,0,36,0,0,0,0,57
2019bcvi_qm35,blue,frc6351,frc6486,frc7173,41,40,0,12,2,2,2,2,5,5,5,2,9,0,0,0,0,3,3,0,6,6,0,5,5,5,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,23,0,0,0,0,41
2019bcvi_qm35,red,frc2444,frc2122,frc846,40,41,0,6,5,5,5,0,2,5,5,2,15,0,0,0,3,3,3,2,0,9,0,3,5,5,10,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,3,3,0,6,0,34,0,0,0,0,40
