MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019caav_qm1,blue,frc5124,frc5857,frc2637,41,43,0,15,2,5,5,0,0,5,5,5,18,0,0,0,0,3,3,0,0,6,0,5,5,5,2,0,0,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,26,0,0,0,0,41
2019caav_qm1,red,frc5102,frc2339,frc4123,43,41,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,0,3,0,0,6,0,5,5,5,4,0,0,2,0,0,2,0,0,2,2,2,2,2,2,6,3,6,2,15,0,28,0,0,0,0,43
2019caav_qm10,blue,frc702,frc3759,frc2584,79,51,0,12,5,5,5,5,5,5,5,5,30,0,0,0,0,0,12,1,13,12,0,5,5,5,12,5,0,5,0,2,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,54,2,0,0,0,79
2019caav_qm10,red,frc6957,frc2429,frc3476,51,79,0,12,2,2,5,0,0,2,2,2,18,0,0,0,6,0,0,1,3,6,0,5,5,5,12,2,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,3,0,12,1,36,5,0,5,0,51
2019caav_qm11,blue,frc6668,frc4014,frc980,35,69,0,15,2,2,5,0,0,5,5,2,9,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,2,0,2,2,2,2,2,2,6,3,6,0,15,0,20,0,0,0,0,35
2019caav_qm11,red,frc2659,frc2658,frc7778,69,35,0,6,5,5,5,5,5,5,5,5,36,0,0,0,3,12,0,0,0,15,30,5,5,3,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,3,3,6,0,63,0,0,0,0,69
2019caav_qm12,blue,frc585,frc1538,frc4913,53,58,0,15,0,2,2,5,2,2,2,2,12,0,0,0,3,0,3,0,0,6,0,5,5,5,20,0,5,0,5,0,2,0,5,2,2,2,2,2,2,6,3,6,0,15,0,38,0,2,0,2,53
2019caav_qm12,red,frc2073,frc5869,frc4123,58,53,0,12,2,5,2,0,0,5,5,5,18,0,0,0,12,3,3,0,0,18,30,5,5,5,10,2,5,2,5,0,0,0,2,2,2,2,2,2,2,3,3,6,3,12,0,46,0,0,0,0,58
2019caav_qm13,blue,frc1678,frc968,frc589,72,49,0,12,2,5,5,0,0,5,5,2,30,30,30,0,12,3,3,0,0,18,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,3,4,12,0,60,5,0,5,0,72
2019caav_qm13,red,frc2637,frc6436,frc5102,49,72,0,12,5,5,5,0,5,5,5,5,24,0,0,0,3,3,3,0,0,9,0,3,5,5,4,0,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,0,37,0,0,0,0,49
2019caav_qm14,blue,frc399,frc6417,frc3759,49,42,0,6,5,5,5,5,5,5,5,2,24,0,0,0,3,3,3,0,0,9,0,5,3,5,10,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,43,0,2,0,5,49
2019caav_qm14,red,frc2493,frc2339,frc7607,42,49,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,27,0,0,0,0,42
2019caav_qm15,blue,frc585,frc702,frc5124,55,62,0,15,5,5,5,5,5,5,5,5,24,0,0,0,0,3,3,0,6,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,34,0,0,0,0,55
2019caav_qm15,red,frc980,frc1538,frc4160,62,55,0,15,5,5,5,5,2,2,2,2,18,0,0,0,0,12,3,2,0,15,30,5,5,5,14,5,0,5,0,2,0,2,0,2,2,2,2,2,2,6,3,6,3,15,0,47,2,0,0,0,62
2019caav_qm16,blue,frc7778,frc6072,frc5012,47,39,0,9,2,5,5,0,0,5,2,5,21,0,0,0,0,0,6,0,3,6,0,0,5,5,8,5,2,5,5,0,0,0,0,2,2,2,2,2,2,3,3,6,2,9,0,35,0,0,0,0,47
2019caav_qm16,red,frc5857,frc968,frc6957,39,47,0,12,5,2,2,0,0,5,5,5,12,0,0,0,3,0,0,1,0,3,0,3,5,5,12,0,2,0,2,0,2,0,2,2,2,2,2,2,2,3,6,6,0,12,0,27,0,2,0,2,39
2019caav_qm17,blue,frc691,frc5869,frc6436,38,67,0,12,2,2,2,5,0,2,2,2,9,0,0,0,3,0,6,0,0,9,0,5,0,5,8,5,0,5,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,12,0,26,0,0,0,0,38
2019caav_qm17,red,frc2429,frc3953,frc2584,67,38,0,9,5,5,5,5,5,5,5,5,30,0,0,0,3,12,3,0,0,18,30,5,5,5,10,5,0,5,0,0,0,2,0,2,2,2,2,2,2,3,3,3,3,9,0,58,0,0,0,0,67
2019caav_qm18,blue,frc2658,frc6060,frc4014,76,75,0,9,5,5,5,2,5,5,5,5,27,0,0,0,12,3,3,1,6,18,30,5,5,5,16,0,5,2,5,0,2,2,2,2,2,2,2,2,2,3,3,3,3,9,0,61,0,0,0,0,76
2019caav_qm18,red,frc3476,frc4913,frc2073,75,76,0,9,2,0,2,5,2,0,0,2,24,30,30,0,3,6,6,2,3,15,30,5,5,5,24,5,0,5,0,5,2,5,5,2,2,2,2,2,2,3,3,3,2,9,0,63,5,0,5,2,75
2019caav_qm19,blue,frc2659,frc6668,frc2339,54,79,0,15,2,2,5,5,0,5,2,5,12,0,0,0,12,3,3,2,3,18,30,5,5,5,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,36,0,0,0,0,54
2019caav_qm19,red,frc585,frc4123,frc1678,79,54,0,15,5,5,5,5,5,5,5,5,24,30,0,0,3,3,12,1,6,18,30,5,5,5,16,2,2,2,0,2,0,2,0,2,2,2,2,2,2,6,6,3,4,15,0,58,0,0,2,0,79
2019caav_qm2,blue,frc691,frc6072,frc3476,43,55,0,12,2,2,2,0,5,5,5,2,15,0,0,0,0,0,0,0,0,0,0,5,5,5,16,0,0,0,0,2,5,2,5,2,2,2,2,2,2,6,3,3,0,12,0,31,2,2,0,2,43
2019caav_qm2,red,frc6436,frc702,frc1538,55,43,0,15,2,5,2,0,5,2,2,2,18,0,0,0,3,3,0,0,0,6,0,5,5,5,16,5,5,5,5,2,0,2,0,2,2,2,2,2,2,6,6,3,2,15,0,40,2,0,0,0,55
2019caav_qm20,blue,frc5857,frc980,frc702,42,61,0,9,5,5,5,2,0,5,5,5,18,0,0,0,0,3,0,1,0,3,0,5,5,0,12,2,0,2,0,2,0,2,2,2,2,2,2,2,2,3,6,6,0,9,0,33,0,0,0,0,42
2019caav_qm20,red,frc5869,frc5124,frc2493,61,42,0,15,5,5,5,2,5,5,5,5,21,0,0,0,3,3,6,0,3,12,0,5,5,5,10,0,0,2,0,0,2,0,0,2,2,2,2,2,2,3,6,6,2,15,0,43,0,2,0,0,61
2019caav_qm21,blue,frc6436,frc3759,frc7607,47,80,0,9,5,5,5,0,5,2,5,5,18,0,0,0,3,3,0,2,0,6,0,5,5,0,14,2,0,2,0,2,0,2,0,2,2,2,2,2,2,6,3,3,0,9,0,38,2,0,2,0,47
2019caav_qm21,red,frc5012,frc4913,frc968,80,47,0,12,5,0,2,2,5,5,5,5,33,30,0,30,3,3,3,0,6,9,0,5,5,3,20,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,6,3,3,12,0,62,0,5,0,5,80
2019caav_qm22,blue,frc3953,frc6957,frc4123,52,59,0,9,2,5,5,2,5,5,5,5,18,0,0,0,12,6,3,0,0,21,30,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,9,0,43,0,0,0,0,52
2019caav_qm22,red,frc2584,frc589,frc2658,59,52,0,6,5,5,5,5,0,5,5,2,24,0,0,0,3,6,12,0,0,21,30,5,3,5,8,5,2,5,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,6,0,53,0,0,0,0,59
2019caav_qm23,blue,frc7778,frc399,frc6060,29,29,0,12,2,5,2,0,0,5,5,5,12,0,0,0,0,3,0,1,0,3,0,3,5,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,12,0,17,0,0,0,0,29
2019caav_qm23,red,frc2429,frc6072,frc6668,29,29,0,6,2,2,5,0,0,5,5,5,12,0,0,0,3,3,0,0,3,6,0,5,5,0,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,0,1,6,0,20,0,0,0,0,29
2019caav_qm24,blue,frc1538,frc5102,frc3476,69,53,0,9,5,5,5,0,0,2,2,2,24,0,0,0,12,6,0,0,0,18,30,5,5,5,18,0,5,0,5,5,5,2,5,2,2,2,2,2,2,3,3,3,3,9,0,60,0,2,2,2,69
2019caav_qm24,red,frc2659,frc4014,frc6417,53,69,0,9,5,5,5,5,0,5,5,5,24,0,0,0,3,0,3,0,0,6,0,5,5,5,14,2,2,5,2,0,2,0,0,2,2,2,2,2,2,3,3,3,0,9,0,44,0,2,0,0,53
2019caav_qm25,blue,frc2637,frc2073,frc6957,58,80,0,15,2,2,2,0,5,5,5,5,18,0,0,0,3,6,3,1,3,12,0,5,5,5,10,0,5,0,5,0,0,0,2,2,2,2,2,2,2,6,3,6,0,15,0,40,0,2,0,0,58
2019caav_qm25,red,frc4160,frc691,frc1678,80,58,0,15,5,5,5,0,5,2,2,2,30,30,30,0,3,3,12,1,3,18,30,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,6,3,4,15,0,62,5,0,5,0,80
2019caav_qm26,blue,frc589,frc4123,frc5012,83,51,0,15,5,5,5,5,0,5,5,5,36,0,0,0,12,6,0,1,0,18,30,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,6,3,15,0,68,0,2,0,5,83
2019caav_qm26,red,frc6060,frc3953,frc6072,51,83,0,9,5,5,5,2,2,2,2,2,9,0,0,0,3,12,3,0,3,18,30,5,5,5,12,2,2,2,0,0,0,2,0,2,2,2,2,2,2,3,3,3,1,9,0,39,0,0,0,0,51
2019caav_qm27,blue,frc968,frc5102,frc980,39,64,0,15,2,2,5,0,0,5,5,5,12,0,0,0,3,6,3,1,0,12,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,24,0,0,0,0,39
