Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5124,24.56,16.83,0.00,6.08,1.74,2.20,1.52,1.12,1.34,2.12,1.88,2.10,11.72,-1.61,0.68,0.96,2.03,0.76,0.93,0.53,0.79,3.73,1.62,1.71,1.71,1.80,2.24,0.72,0.35,0.04,0.89,-0.21,0.63,-0.26,0.25,0.67,0.67,0.67,1.96,2.12,1.56,0.56,6.08,0.17,17.69,0.07,0.80,-0.03,0.54,24.56,
frc5857,12.97,23.18,0.00,4.78,0.48,0.61,0.69,0.00,-0.42,1.10,0.69,1.29,2.78,3.00,2.62,0.69,1.54,0.17,0.41,0.09,-1.42,2.13,3.39,1.62,1.69,1.31,4.70,0.13,0.97,0.39,1.98,-0.02,0.41,0.49,0.82,0.67,0.67,0.67,1.01,2.26,2.46,-0.26,4.78,-0.04,9.61,0.24,0.34,0.57,0.73,12.97,
frc2637,16.10,23.09,0.00,5.03,1.51,1.67,1.04,-0.49,1.27,1.50,1.72,1.46,7.28,1.71,1.49,0.18,-1.25,2.40,1.89,0.25,0.47,3.04,0.60,1.36,1.93,1.62,0.29,0.08,0.06,0.23,0.42,0.32,0.17,0.07,-0.02,0.67,0.67,0.67,1.93,1.83,1.66,-0.01,5.03,-0.02,10.61,0.04,-0.08,0.04,-0.34,16.10,
frc5102,19.54,17.19,0.00,4.90,1.95,1.58,2.20,-0.60,0.61,2.04,2.15,1.78,8.62,0.58,-1.13,1.59,2.30,2.31,1.16,-0.07,-0.67,5.77,-0.93,1.99,1.37,1.91,0.92,-0.10,0.86,0.43,0.84,-0.01,0.64,-0.54,0.60,0.67,0.67,0.67,2.59,0.88,1.87,0.56,4.90,-0.02,15.31,-0.58,0.20,-0.46,0.24,19.54,
frc2339,7.36,21.71,0.00,2.96,0.57,1.17,1.53,0.53,0.12,0.95,0.29,0.72,1.36,-3.26,-1.08,-1.42,2.30,1.18,-0.28,0.59,0.52,3.20,7.08,0.80,1.47,1.15,-0.69,-0.29,-0.65,-0.73,0.04,-0.16,0.15,-0.11,0.24,0.67,0.67,0.67,1.49,2.40,1.08,-0.36,2.96,-0.01,3.87,0.17,-0.36,0.15,-0.09,7.36,
frc4123,25.92,16.39,0.00,6.07,1.94,2.11,1.60,2.27,1.80,2.17,2.35,2.70,8.75,-2.90,-2.76,-2.49,2.16,-0.47,2.13,0.02,3.26,3.82,0.28,1.99,1.88,1.55,4.02,0.72,1.00,0.45,0.42,-0.76,0.13,-0.81,-0.12,0.67,0.67,0.67,2.00,2.52,1.45,0.75,6.07,-0.03,16.59,-0.48,-0.34,-0.49,0.05,25.92,
frc702,24.59,16.15,0.00,5.74,2.43,1.94,1.89,1.85,2.32,2.09,2.33,2.46,11.84,-0.32,1.75,-2.06,0.05,0.83,1.32,-0.12,2.46,2.20,-4.13,2.06,1.73,1.40,2.35,0.49,0.59,0.74,0.03,0.26,-0.42,0.23,-0.41,0.67,0.67,0.67,2.57,1.68,1.43,0.31,5.74,0.04,16.39,0.29,-0.59,0.03,-0.34,24.59,
frc3759,24.76,21.46,0.00,2.77,2.53,2.12,2.20,0.53,1.89,1.04,1.66,1.64,11.56,-1.35,-1.96,1.15,-0.77,1.61,1.91,0.44,3.73,2.75,-1.61,1.78,1.69,1.42,3.95,1.20,0.50,1.41,0.49,0.92,0.00,0.26,-0.27,0.67,0.67,0.67,1.01,0.69,1.10,0.73,2.77,-0.02,18.26,0.34,0.36,0.29,0.46,24.76,
frc2584,24.93,19.68,0.00,2.71,2.85,2.41,2.42,1.27,1.43,1.98,2.08,1.76,13.10,1.49,0.62,1.10,1.34,1.67,2.61,0.45,0.38,5.62,8.86,1.92,1.08,1.88,3.12,1.19,0.56,1.42,-0.17,-0.11,0.01,0.06,-0.09,0.67,0.67,0.67,1.42,0.47,1.04,1.21,2.71,-0.03,21.83,0.66,0.18,0.58,0.08,24.93,
frc6957,7.35,29.61,0.00,2.56,0.33,0.77,1.30,-0.00,0.72,1.55,1.20,1.39,3.29,-1.12,-1.53,0.95,1.57,-0.62,0.50,0.50,-0.54,1.44,-0.45,0.59,0.74,1.63,0.60,-0.83,0.06,-0.20,-0.14,0.37,-0.38,0.44,-0.06,0.67,0.67,0.67,1.05,1.50,1.41,-0.46,2.56,0.16,5.33,0.49,0.25,0.48,0.09,7.35,
frc2429,8.35,14.95,0.00,2.71,0.23,0.85,1.09,0.11,0.34,1.06,0.61,0.83,1.93,-3.24,-1.67,-0.98,1.89,0.63,-0.81,0.02,0.60,1.70,0.41,0.94,1.99,1.28,1.41,0.16,0.11,0.88,0.05,0.23,-0.27,0.38,-0.15,0.67,0.67,0.67,1.33,0.85,0.76,0.27,2.71,0.04,5.04,0.34,-0.03,0.28,0.11,8.35,
frc3476,28.76,17.13,0.00,2.78,0.84,0.68,0.46,1.03,0.30,1.10,1.05,1.01,11.58,7.33,3.96,3.81,-0.50,2.32,2.13,-0.16,2.48,3.95,7.87,1.96,1.98,1.39,7.97,0.11,0.92,0.53,0.45,2.13,1.83,2.00,2.07,0.67,0.67,0.67,1.55,0.71,-0.18,0.77,2.78,0.08,23.50,1.88,1.27,2.02,0.82,28.76,
frc6668,12.68,24.50,0.00,5.09,0.81,0.79,1.34,0.18,-0.47,2.01,1.68,2.00,3.68,-0.94,0.21,-0.63,2.49,0.43,0.74,0.12,1.19,3.65,2.43,1.88,1.39,1.38,-0.93,0.01,0.08,-0.30,-0.20,-0.22,-0.37,0.07,-0.28,0.67,0.67,0.67,1.27,1.12,2.05,-0.14,5.09,-0.04,6.40,-0.21,-0.09,-0.01,-0.16,12.68,
frc4014,18.74,22.75,0.00,3.36,1.65,0.79,1.64,1.16,0.61,1.63,1.60,1.69,7.92,3.08,3.26,0.10,0.76,0.06,-0.17,0.03,1.91,0.65,-3.42,1.42,1.52,1.94,4.89,1.11,1.00,1.28,0.70,0.28,0.09,0.65,-0.12,0.67,0.67,0.67,0.80,1.33,1.51,0.48,3.36,0.00,13.46,0.41,0.06,0.49,-0.10,18.74,
frc980,11.32,19.55,0.00,5.47,1.08,1.34,1.80,0.26,-0.10,1.00,1.27,0.45,2.57,-3.14,-1.56,-0.92,-0.45,1.93,1.67,0.85,-1.27,3.15,2.39,1.68,1.81,1.34,1.40,0.32,-0.07,0.35,-0.71,1.13,-0.27,0.80,-0.09,0.67,0.67,0.67,1.80,1.37,2.40,0.12,5.47,-0.02,7.12,0.00,-0.33,0.00,-0.39,11.32,
frc2659,32.92,17.60,0.00,3.82,2.07,1.97,2.13,2.25,1.31,1.97,1.60,2.12,15.16,3.62,0.45,3.39,1.92,2.01,2.87,0.08,-0.24,6.80,14.08,1.85,1.95,1.64,7.37,0.80,1.98,1.79,1.38,0.81,1.81,0.52,0.70,0.67,0.67,0.67,1.24,0.81,1.33,1.32,3.82,0.06,29.33,0.05,0.66,0.21,0.43,32.92,
frc2658,26.92,16.03,0.00,2.56,1.41,2.03,1.38,2.13,2.24,1.95,2.23,1.53,10.73,0.27,-1.66,1.74,2.12,3.86,3.26,-0.26,0.30,9.23,15.25,1.51,1.56,1.65,4.10,1.01,0.78,0.79,0.85,-0.09,0.35,0.07,0.65,0.67,0.67,0.67,1.20,1.02,0.88,1.21,2.56,-0.01,24.06,-0.18,0.04,-0.23,-0.03,26.92,
frc7778,9.05,16.92,0.00,3.81,0.62,1.08,0.83,0.00,0.11,1.05,0.68,1.09,3.48,-3.37,-2.96,0.48,-0.00,1.28,1.12,0.18,-0.88,2.39,3.38,0.76,1.70,1.29,0.25,-0.33,0.74,-0.52,1.15,-0.18,0.39,-0.37,0.50,0.67,0.67,0.67,0.84,2.30,1.56,-0.08,3.81,-0.02,6.12,-0.20,0.14,-0.24,0.00,9.05,
frc585,10.65,19.81,0.00,4.77,0.75,0.63,1.32,1.71,1.00,0.98,0.61,0.70,-0.33,-1.19,-2.28,-1.67,-1.62,1.11,2.79,0.06,1.86,2.29,2.44,1.34,1.77,1.86,2.06,-0.07,0.06,-0.12,-0.10,-0.11,-0.24,0.07,-0.27,0.67,0.67,0.67,1.95,2.12,1.27,-0.28,4.77,0.00,4.02,-0.45,-0.11,-0.14,-0.39,10.65,
frc1538,26.91,22.88,0.00,3.31,0.08,1.32,0.67,0.46,0.32,0.48,0.55,0.48,9.50,6.98,3.87,3.90,3.15,1.90,-0.41,0.14,1.64,4.64,8.36,0.95,1.92,1.82,7.82,1.65,2.17,1.80,1.87,1.62,1.42,1.35,1.32,0.67,0.67,0.67,1.31,0.91,0.77,1.21,3.31,0.07,21.96,1.09,0.93,1.04,0.73,26.91,
frc4913,22.09,14.60,0.00,5.33,0.66,0.19,0.95,2.85,2.67,1.15,0.57,1.09,3.26,-0.56,-0.70,0.28,0.81,2.48,0.57,-0.19,0.67,3.87,3.45,1.82,1.80,1.37,8.97,-0.01,0.37,-0.11,0.35,-0.61,0.03,-0.32,0.67,0.67,0.67,0.67,2.02,1.63,1.74,0.82,5.33,-0.06,16.09,-0.35,0.02,-0.45,0.49,22.09,
frc2073,33.03,19.29,0.00,3.71,0.81,0.15,0.59,0.78,-0.18,0.71,0.97,0.85,13.01,12.91,11.74,1.67,3.65,0.68,1.75,0.61,1.68,6.08,7.78,2.02,1.85,1.75,8.55,2.40,1.65,2.06,2.09,2.11,0.99,2.01,1.86,0.67,0.67,0.67,0.61,0.80,1.72,1.41,3.71,-0.02,27.65,1.84,0.90,2.08,1.02,33.03,
frc5869,9.89,17.09,0.00,1.65,0.60,0.74,0.52,-0.45,0.49,1.31,1.25,1.27,1.08,0.16,-2.83,0.94,0.31,1.79,4.46,-0.00,0.11,6.57,10.53,0.59,0.99,1.75,0.49,-0.10,0.23,-0.14,0.36,-0.45,0.85,-0.54,0.77,0.67,0.67,0.67,1.33,0.80,0.86,0.63,1.65,-0.06,8.13,-0.74,0.38,-0.65,-0.07,9.89,
frc1678,40.11,13.39,0.00,4.06,1.09,1.62,1.43,0.90,0.27,1.07,1.05,0.12,15.22,20.26,12.13,8.79,4.05,2.59,4.76,0.02,0.18,11.40,21.94,1.84,1.79,1.72,9.25,1.95,1.05,1.81,0.77,2.67,0.91,2.90,1.02,0.67,0.67,0.67,1.26,0.79,1.38,2.59,4.06,0.06,35.87,2.78,1.30,3.11,1.21,40.11,
frc968,16.28,13.08,0.00,3.62,1.22,1.31,1.23,0.28,0.80,2.16,2.19,1.97,7.57,4.50,2.89,1.42,2.06,0.27,0.37,-0.32,0.91,2.70,0.48,1.65,1.72,1.66,1.47,-0.20,-0.17,0.26,0.10,0.25,0.57,0.13,0.10,0.67,0.67,0.67,1.73,1.90,0.51,0.31,3.62,-0.01,11.74,0.26,0.36,0.23,0.07,16.28,
frc589,18.80,20.35,0.00,3.39,1.32,1.93,1.81,0.53,-0.75,1.87,1.55,1.42,6.48,-0.45,0.96,-1.82,3.86,3.77,2.16,0.15,-0.62,9.79,19.51,1.63,1.47,1.91,-0.24,0.19,0.12,0.10,0.01,0.04,0.12,0.05,0.39,0.67,0.67,0.67,0.72,1.00,1.92,0.94,3.39,-0.02,16.03,-0.26,-0.15,-0.07,0.10,18.80,
frc6436,18.14,27.09,0.00,4.98,0.60,1.64,1.51,0.79,0.35,0.40,0.84,0.45,3.12,-0.92,0.57,-1.09,1.37,-0.53,1.63,0.31,-0.37,2.47,1.69,1.72,1.34,1.16,7.95,1.01,0.89,1.82,0.67,0.45,0.03,0.90,0.12,0.67,0.67,0.67,1.76,1.91,1.91,0.07,4.98,0.07,13.54,0.86,0.27,0.72,0.30,18.14,
frc399,15.05,19.76,0.00,3.57,1.44,1.34,1.05,2.11,1.38,1.54,1.66,1.61,6.31,-3.24,-2.72,-0.27,0.67,-0.71,1.74,0.24,-0.67,1.70,-1.90,1.55,1.26,1.65,4.14,1.13,-0.06,0.17,0.41,-0.89,0.42,-0.56,0.40,0.67,0.67,0.67,1.68,1.93,1.24,0.17,3.57,-0.05,12.15,-0.11,0.33,-0.18,0.93,15.05,
