MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019cada_qm1,blue,frc6883,frc5480,frc4904,46,53,0,15,5,5,2,0,0,5,2,2,15,30,0,0,3,3,3,6,3,9,0,5,5,5,4,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,28,0,0,0,0,46
2019cada_qm1,red,frc3482,frc6174,frc6238,53,46,0,12,5,5,5,5,0,5,2,5,18,0,0,0,3,3,0,1,18,3,0,0,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,12,0,23,0,0,0,0,53
2019cada_qm10,blue,frc6238,frc1678,frc3189,29,44,0,12,2,5,2,0,0,2,2,2,3,0,0,0,3,0,3,0,0,6,0,5,5,5,8,0,2,0,2,0,2,0,0,2,2,2,2,2,2,6,3,3,0,12,0,17,0,2,0,0,29
2019cada_qm10,red,frc1056,frc6918,frc7663,44,29,0,15,5,5,5,5,0,5,5,5,21,0,0,0,0,3,3,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,29,0,0,0,0,44
2019cada_qm11,blue,frc3257,frc1072,frc3250,40,42,0,15,2,2,2,5,2,0,2,2,3,0,0,0,6,3,3,0,0,12,0,5,5,5,10,2,2,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,25,0,0,0,0,40
2019cada_qm11,red,frc7137,frc7229,frc2551,42,40,0,9,5,5,5,2,5,5,5,5,21,0,0,0,3,3,0,0,0,6,0,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,33,0,0,0,0,42
2019cada_qm12,blue,frc6305,frc2204,frc5507,64,42,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,3,12,0,0,18,30,5,5,5,10,2,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,52,0,0,0,0,64
2019cada_qm12,red,frc6657,frc5458,frc6619,42,64,0,15,5,5,5,0,0,2,5,5,15,0,0,0,3,6,3,0,0,12,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,27,0,0,0,0,42
2019cada_qm13,blue,frc4643,frc6883,frc3880,47,38,0,9,2,0,2,2,2,2,2,2,0,0,0,0,12,0,0,1,16,12,0,3,5,5,10,2,0,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,2,9,0,22,0,0,0,0,47
2019cada_qm13,red,frc6612,frc7870,frc2839,38,47,0,9,2,5,5,0,5,5,5,5,18,0,0,0,0,3,3,2,3,6,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,1,26,0,0,0,0,38
2019cada_qm14,blue,frc1458,frc5419,frc5496,36,85,0,9,2,2,2,5,0,5,5,5,15,0,0,0,3,0,3,0,0,6,0,5,5,5,6,5,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,27,0,0,0,0,36
2019cada_qm14,red,frc199,frc1323,frc4904,85,36,0,15,2,2,0,5,5,5,5,5,33,30,0,30,6,12,3,0,0,21,30,5,5,5,16,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,4,15,0,70,0,5,0,5,85
2019cada_qm15,blue,frc100,frc2141,frc7802,46,56,0,12,2,5,5,0,0,5,5,2,12,0,0,0,6,3,3,0,10,12,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,2,24,0,0,0,0,46
2019cada_qm15,red,frc3189,frc5430,frc2367,56,46,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,3,0,0,20,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,1,24,0,0,0,0,56
2019cada_qm16,blue,frc3482,frc5027,frc7529,29,61,0,6,5,5,5,0,0,5,5,2,15,0,0,0,3,3,0,0,0,6,0,3,3,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,23,0,0,0,0,29
2019cada_qm16,red,frc6918,frc6662,frc5940,61,29,0,12,5,5,5,2,5,5,5,5,27,0,0,0,6,3,3,0,0,12,0,5,5,5,10,0,5,2,5,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,49,0,0,0,0,61
2019cada_qm17,blue,frc973,frc5875,frc1678,62,52,0,12,2,2,5,0,0,2,2,2,21,30,30,0,12,3,0,0,0,15,30,5,5,5,14,5,2,5,0,5,0,5,0,2,2,2,2,2,2,6,3,3,4,12,0,50,5,0,5,0,62
2019cada_qm17,red,frc3859,frc3669,frc3598,52,62,0,9,5,5,5,5,2,2,2,2,12,0,0,0,3,6,12,0,0,21,30,5,3,5,10,2,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,9,0,43,0,0,0,0,52
2019cada_qm18,blue,frc2085,frc5480,frc6358,49,57,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,0,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,1,34,0,0,0,0,49
2019cada_qm18,red,frc2473,frc7663,frc6644,57,49,0,12,2,5,5,2,5,5,5,5,21,0,0,0,3,3,0,0,10,6,0,5,5,5,8,0,5,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,35,0,0,0,0,57
2019cada_qm19,blue,frc4698,frc701,frc1056,51,36,0,15,2,5,5,0,5,5,2,2,15,0,0,0,3,3,3,0,0,9,0,5,5,5,12,2,0,5,2,2,0,2,0,2,2,2,2,2,2,6,3,6,2,15,0,36,0,0,0,0,51
2019cada_qm19,red,frc6981,frc5871,frc4135,36,51,0,15,2,2,0,0,0,5,2,2,3,0,0,0,3,3,6,0,0,12,0,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,21,0,0,0,0,36
2019cada_qm2,blue,frc5458,frc7137,frc5419,62,69,0,12,2,5,5,0,5,2,2,2,21,0,0,0,3,0,12,0,0,15,30,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,3,1,12,1,50,2,0,2,0,62
2019cada_qm2,red,frc3598,frc2473,frc2141,69,62,0,15,2,2,5,5,5,5,5,5,21,0,0,0,12,0,3,0,10,15,30,5,5,5,8,0,2,0,0,0,5,0,0,2,2,2,2,2,2,6,3,6,3,15,0,44,0,0,0,0,69
2019cada_qm20,blue,frc6474,frc5274,frc7870,62,0,0,12,5,5,5,5,5,5,5,5,27,0,0,0,6,6,3,0,0,15,30,5,5,5,8,2,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,50,0,0,0,0,62
2019cada_qm20,red,frc5250,frc5430,frc6174,0,62,0,0,2,2,2,0,0,2,2,2,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,0,0,0,0,0,0,0,0
2019cada_qm21,blue,frc3250,frc7229,frc2367,40,91,0,12,2,2,2,5,2,0,2,2,3,0,0,0,3,3,3,2,0,9,0,5,5,5,16,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,3,6,0,12,0,28,0,0,0,0,40
2019cada_qm21,red,frc2839,frc5419,frc5507,91,40,0,12,5,5,5,5,5,5,5,5,36,0,0,0,6,3,12,0,6,21,30,5,5,5,16,0,2,0,0,0,5,2,5,2,2,2,2,2,2,6,3,3,3,12,0,73,0,5,0,5,91
2019cada_qm22,blue,frc5458,frc3669,frc2204,52,77,0,15,5,5,5,0,5,5,5,2,18,0,0,0,0,6,3,0,6,9,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,31,0,0,0,0,52
2019cada_qm22,red,frc3482,frc1458,frc1323,77,52,0,9,5,5,5,5,0,0,5,5,36,30,30,0,3,3,12,2,0,18,30,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,3,4,9,0,68,5,0,5,0,77
2019cada_qm23,blue,frc973,frc6883,frc7663,103,47,0,15,2,2,2,5,5,5,5,5,24,0,0,0,12,3,3,0,34,18,30,5,5,5,12,5,0,5,0,5,0,2,0,2,2,2,2,2,2,6,3,6,3,15,0,54,0,0,0,0,103
2019cada_qm23,red,frc100,frc5027,frc5496,47,103,0,12,2,2,2,5,2,5,2,2,12,0,0,0,6,3,6,8,0,15,30,5,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,1,35,0,0,0,0,47
2019cada_qm24,blue,frc1056,frc5940,frc6644,57,46,0,12,2,2,2,0,0,2,2,2,15,0,0,0,3,0,3,0,10,6,0,5,5,5,14,2,5,0,5,0,2,0,5,2,2,2,2,2,2,6,3,3,2,12,0,35,0,5,0,5,57
2019cada_qm24,red,frc2551,frc4904,frc5875,46,57,0,12,5,5,5,5,5,5,2,2,18,0,0,0,3,0,3,0,0,6,0,5,5,5,10,2,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,1,34,0,0,0,0,46
2019cada_qm25,blue,frc3257,frc6918,frc7529,66,52,0,15,5,5,5,5,5,5,5,2,24,0,0,0,6,6,3,0,0,15,30,5,5,5,12,2,0,0,0,2,0,5,0,2,2,2,2,2,2,6,3,6,3,15,0,51,2,0,0,0,66
2019cada_qm25,red,frc4698,frc3880,frc5480,52,66,0,15,5,5,5,5,5,5,2,2,18,0,0,0,3,3,3,0,0,9,0,5,5,5,10,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,37,0,0,0,0,52
2019cada_qm26,blue,frc3859,frc2473,frc199,58,63,0,12,5,5,5,0,5,2,2,5,18,0,0,0,3,3,12,1,0,18,30,5,5,5,10,5,0,0,2,2,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,46,2,0,0,0,58
2019cada_qm26,red,frc6474,frc6238,frc4643,63,58,0,15,5,5,5,5,5,5,5,5,27,0,0,0,6,3,3,0,3,12,0,5,5,5,6,0,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,45,0,0,0,0,63
2019cada_qm27,blue,frc4135,frc7137,frc5250,28,70,0,9,2,2,2,0,2,2,2,2,0,0,0,0,12,3,0,0,0,15,30,5,5,3,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,9,0,19,0,0,0,0,28
