Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc6883,11.18,19.48,0.00,1.66,0.95,0.57,0.65,-0.58,0.53,1.29,1.15,1.19,2.42,2.93,-0.43,0.35,2.85,-0.12,-0.42,0.66,4.30,1.45,-1.73,1.50,0.69,0.90,1.35,-0.20,1.12,0.00,0.75,-0.08,0.44,-0.44,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.95,1.27,2.06,0.24,1.66,-0.11,5.23,-0.25,0.52,-0.10,-0.01,11.18,
frc5480,13.57,29.45,0.00,6.00,1.34,1.81,1.75,1.59,-0.10,1.65,1.14,1.11,5.07,2.90,0.41,-0.98,1.26,2.17,-1.21,0.54,0.22,2.34,2.40,1.72,1.87,1.72,-0.06,-0.34,-0.45,0.62,-0.06,0.05,-0.36,0.02,-0.28,0.67,0.67,0.67,0.67,0.67,0.67,1.27,2.25,1.94,-0.25,6.00,0.22,7.35,-0.00,-0.15,0.04,-0.15,13.57,
frc4904,20.56,12.68,0.00,6.51,1.20,1.17,0.52,1.77,1.49,2.25,1.13,0.97,8.61,7.81,0.37,3.36,-0.48,1.02,0.56,0.49,-1.13,1.25,-2.55,2.02,1.91,1.95,5.33,0.43,1.63,0.14,1.59,-0.27,1.76,0.24,1.38,0.67,0.67,0.67,0.67,0.67,0.67,1.40,2.13,1.54,0.39,6.51,0.14,15.18,-0.05,0.40,-0.04,0.52,20.56,
frc3482,12.03,19.59,0.00,2.52,1.55,1.75,1.30,0.37,0.15,1.17,1.51,0.95,3.52,1.07,1.70,-0.69,1.97,2.28,-0.25,0.15,2.81,3.84,3.25,1.13,1.75,1.44,-0.66,0.21,-0.43,0.08,-0.78,-0.13,-0.15,-0.28,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.15,1.42,0.99,0.54,2.52,-0.04,6.70,0.33,-0.17,0.13,-0.38,12.03,
frc6174,15.69,16.78,0.00,4.51,2.37,1.96,2.11,1.44,1.97,1.82,1.58,0.79,9.64,0.07,-0.43,0.21,1.40,-0.34,1.21,-0.07,-1.22,1.22,0.57,0.65,1.39,1.45,1.54,0.50,0.69,-0.16,0.45,0.38,-0.16,0.36,-0.40,0.67,0.67,0.67,0.67,0.67,0.67,1.83,1.61,2.01,0.52,4.51,0.23,12.40,-0.19,-0.16,-0.12,-0.12,15.69,
frc6238,3.33,18.06,0.00,1.35,1.22,1.57,1.12,0.98,-0.05,1.42,0.67,1.87,2.04,-1.97,-1.11,-0.98,0.66,-0.85,0.56,0.53,0.44,-0.03,-2.25,1.18,0.85,0.65,-0.48,-0.42,-0.42,0.23,-0.41,-0.51,-0.20,-0.45,-0.46,0.67,0.67,0.67,0.67,0.67,0.67,1.23,1.93,1.83,-0.33,1.35,-0.16,1.54,-0.31,0.13,-0.28,-0.13,3.33,
frc1678,34.97,11.11,0.00,5.30,0.47,0.85,1.29,-1.73,-0.97,0.72,0.72,-0.30,12.20,21.68,17.97,6.25,1.09,3.22,1.51,0.87,2.25,5.97,14.09,2.07,1.77,1.90,9.25,2.64,1.46,2.77,0.70,3.01,1.26,3.56,0.84,0.67,0.67,0.67,0.67,0.67,0.67,1.53,1.19,1.50,2.04,5.30,0.07,27.42,2.98,1.22,3.03,0.99,34.97,
frc3189,15.56,23.53,0.00,4.38,1.30,1.61,2.09,0.73,-0.85,1.27,1.54,1.16,3.35,-3.41,-2.76,-0.80,1.93,2.96,0.73,-0.14,4.02,5.71,1.95,1.65,1.99,2.01,-1.91,-0.41,-0.22,-0.47,0.01,-0.29,0.18,-0.59,0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.72,0.34,1.02,0.12,4.38,0.19,7.16,-0.57,-0.18,-0.51,-0.37,15.56,
frc1056,16.11,9.48,0.00,6.18,1.37,1.44,1.60,0.58,-0.37,2.04,1.88,1.45,4.93,-2.50,-0.90,-0.18,0.75,1.26,1.94,0.30,-0.81,4.25,-0.06,1.85,1.95,1.82,1.56,-0.01,0.34,0.34,0.09,-0.24,0.11,-0.31,0.27,0.67,0.67,0.67,0.67,0.67,0.67,2.52,1.06,1.95,0.70,6.18,-0.02,10.74,-0.34,0.52,-0.34,0.37,16.11,
frc6918,25.60,16.73,0.00,4.96,2.30,2.04,2.14,1.93,1.20,1.78,1.96,1.43,12.94,-0.99,-0.56,-0.05,2.06,1.16,2.63,-0.27,-1.40,5.81,7.39,1.93,1.71,1.74,3.31,2.05,-0.13,1.98,0.24,1.36,-0.33,1.52,-0.52,0.67,0.67,0.67,0.67,0.67,0.67,1.86,2.19,0.48,1.05,4.96,-0.10,22.05,0.34,-0.39,-0.06,-0.40,25.60,
