Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc1159,18.21,12.31,0.00,3.72,1.34,1.54,1.51,1.22,0.66,1.28,2.02,1.54,7.98,-1.27,-0.11,-0.15,2.50,1.19,-0.31,-0.01,0.28,3.56,1.03,2.07,1.93,1.29,2.67,0.18,0.59,0.39,0.40,0.34,0.13,0.06,0.51,0.67,0.67,0.67,0.67,0.67,0.67,1.52,0.50,1.33,0.80,3.72,0.08,14.21,0.15,0.17,-0.16,0.19,18.21,
frc4984,7.74,17.69,0.00,2.37,0.32,0.72,1.21,0.00,1.51,1.03,1.11,0.33,3.38,4.24,-0.18,-0.17,1.04,-0.29,-0.92,0.29,0.62,-0.35,-6.63,1.41,1.42,1.36,1.72,1.33,-0.09,1.63,-0.03,-0.33,-0.17,0.23,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,0.71,0.67,1.56,-0.15,2.37,-0.07,4.75,-0.14,-0.16,-0.15,-0.13,7.74,
frc6560,15.81,15.52,0.00,3.77,0.87,2.02,1.66,-0.13,0.30,1.55,0.98,0.09,3.95,1.64,0.10,2.52,2.24,2.94,2.65,-0.30,0.09,7.46,13.94,1.94,1.58,1.92,0.53,-0.03,-0.27,-0.07,-0.17,0.37,0.21,-0.17,0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.67,1.25,0.50,0.57,3.77,0.05,11.94,0.05,0.37,-0.13,0.36,15.81,
frc2984,10.70,17.43,0.00,1.74,0.12,0.57,0.67,1.08,0.84,0.90,0.95,0.83,1.63,-1.06,0.12,-0.22,0.79,1.00,3.19,0.63,1.54,5.02,10.11,1.32,1.31,1.22,0.77,-0.24,0.80,-0.31,0.29,0.01,-0.26,0.10,-0.22,0.67,0.67,0.67,0.67,0.67,0.67,1.66,0.94,0.73,0.24,1.74,0.04,7.42,-0.27,-0.05,-0.13,-0.05,10.70,
frc2576,28.99,18.84,0.00,7.05,2.43,2.30,1.93,0.81,0.52,1.37,1.48,2.09,12.82,6.99,0.14,-0.26,1.06,0.72,1.62,0.25,0.68,3.63,3.44,1.92,1.80,1.97,4.81,1.96,0.95,2.51,0.59,1.03,0.01,0.74,0.19,0.67,0.67,0.67,0.67,0.67,0.67,1.86,1.93,2.60,1.28,7.05,0.07,21.26,0.73,0.10,0.61,-0.10,28.99,
frc114,15.33,11.24,0.00,2.28,1.34,2.10,2.20,-0.31,-0.11,2.24,1.87,1.73,9.01,-1.53,-0.43,-0.34,-0.53,1.18,1.61,-0.04,0.41,2.22,0.77,1.18,1.48,1.79,1.40,0.62,1.33,0.84,1.04,-0.09,0.10,0.29,0.53,0.67,0.67,0.67,0.67,0.67,0.67,1.41,1.01,0.50,0.37,2.28,-0.02,12.63,-0.37,-0.21,-0.35,-0.21,15.33,
frc399,11.95,16.33,0.00,4.88,0.22,0.96,1.32,0.07,-0.24,1.58,0.85,0.86,1.10,-1.23,-0.07,-0.40,2.55,-0.20,0.04,0.22,1.95,2.47,3.42,1.84,1.67,2.04,1.54,0.52,0.02,0.14,-0.32,0.27,0.20,0.34,0.07,0.67,0.67,0.67,0.67,0.67,0.67,0.81,1.66,2.06,0.24,4.88,-0.02,5.11,-0.23,0.18,0.02,0.19,11.95,
frc5526,11.89,21.71,0.00,4.71,1.21,1.13,1.09,1.97,0.57,1.09,0.86,1.21,3.58,-1.08,-0.39,-0.10,1.42,0.55,-1.50,0.68,0.72,0.51,1.08,1.71,1.83,1.45,2.37,-0.04,0.49,-0.17,0.37,0.14,0.09,0.14,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,0.92,1.61,1.68,0.05,4.71,0.07,6.46,0.06,-0.25,0.10,-0.26,11.89,
frc3021,9.99,15.22,0.00,1.30,1.46,1.45,1.40,0.53,0.19,1.16,1.62,1.25,4.93,1.98,0.11,-0.44,0.70,1.56,0.60,-0.18,1.99,1.95,1.62,1.05,1.29,0.30,-0.18,-0.04,0.05,0.09,-0.11,-0.45,0.13,-0.33,0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.16,1.13,1.11,0.24,1.30,-0.05,6.70,-0.27,0.06,-0.24,0.09,9.99,
frc2102,24.30,11.33,0.00,3.72,1.61,2.28,1.85,1.07,1.41,1.20,1.19,1.17,8.15,-0.89,-0.19,0.04,3.19,3.22,3.60,0.08,0.61,10.12,20.01,1.72,1.98,2.09,1.69,0.49,0.31,0.56,0.53,0.21,-0.38,0.09,-0.40,0.67,0.67,0.67,0.67,0.67,0.67,1.10,1.17,0.62,1.58,3.72,0.15,19.97,0.27,-0.20,0.60,-0.18,24.30,
