MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019cafr_qm1,blue,frc6305,frc7057,frc7663,31,21,0,6,0,2,2,2,2,2,0,0,0,0,0,0,3,0,3,0,13,6,0,5,3,3,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,6,0,12,0,0,0,0,31
2019cafr_qm1,red,frc3495,frc1351,frc1671,21,31,0,9,2,2,2,2,0,2,2,2,0,0,0,0,3,0,3,1,0,6,0,5,5,5,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,1,12,0,0,0,0,21
2019cafr_qm10,blue,frc5461,frc1323,frc1671,57,44,0,9,0,2,2,0,0,2,2,2,18,30,30,0,3,12,3,5,0,18,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,3,4,9,0,48,5,0,5,0,57
2019cafr_qm10,red,frc6926,frc3495,frc1422,44,57,0,15,2,5,0,0,0,0,2,2,3,0,0,0,3,3,3,0,15,9,0,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,14,0,0,0,0,44
2019cafr_qm11,blue,frc2489,frc5817,frc7663,26,35,0,6,2,2,0,2,2,0,2,2,0,0,0,0,3,0,3,1,6,6,0,5,0,3,8,2,0,0,0,2,0,0,0,2,2,2,2,2,2,6,6,3,0,6,0,14,0,0,0,0,26
2019cafr_qm11,red,frc6506,frc3257,frc1388,35,26,0,15,2,5,5,0,0,5,2,2,9,0,0,0,3,3,0,2,3,6,0,5,5,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,17,0,0,0,0,35
2019cafr_qm12,blue,frc5026,frc3970,frc3189,52,15,0,12,2,2,5,2,0,5,2,2,9,0,0,0,12,3,6,0,0,21,30,5,5,3,10,2,5,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,12,0,40,0,0,0,0,52
2019cafr_qm12,red,frc5458,frc585,frc1967,15,52,0,9,2,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,6,0,0,0,0,15
2019cafr_qm13,blue,frc6657,frc2085,frc2813,38,32,0,12,2,5,5,0,0,5,5,5,15,0,0,0,0,3,0,1,0,3,0,5,5,5,8,0,2,0,2,0,0,0,2,2,2,2,2,2,2,3,6,3,2,12,0,26,0,0,0,2,38
2019cafr_qm13,red,frc4135,frc2135,frc1351,32,38,0,15,2,2,0,5,0,5,2,2,6,0,0,0,3,3,0,0,3,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,14,0,0,0,0,32
