Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc6305,10.30,14.15,0.00,4.54,-0.34,-0.02,-0.54,0.88,0.79,0.58,0.23,0.35,-1.44,0.28,0.43,0.22,1.85,0.74,1.63,0.47,0.36,4.24,5.63,1.59,1.58,1.65,2.60,-0.07,-0.07,0.09,0.08,0.01,-0.02,0.19,0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.93,2.21,1.29,0.60,4.54,0.30,5.40,0.16,-0.03,0.04,0.11,10.30,
frc7057,9.38,17.50,0.00,2.49,0.96,1.83,1.53,-0.00,0.24,1.21,1.16,0.59,3.74,-1.15,-0.50,-0.44,0.18,1.68,-0.37,0.67,0.48,1.59,1.15,1.42,1.21,1.34,1.08,0.44,0.19,-0.02,0.31,0.51,-0.01,0.34,-0.22,0.67,0.67,0.67,0.67,0.67,0.67,1.20,1.75,1.47,0.05,2.49,-0.17,6.42,-0.06,-0.03,-0.09,-0.09,9.38,
frc7663,13.10,18.04,0.00,4.14,1.50,1.58,1.54,1.20,1.32,1.26,1.38,1.24,6.18,-3.88,-2.33,-0.26,0.03,-0.30,1.44,0.47,1.34,1.00,-2.65,1.71,0.82,1.62,0.43,0.60,-0.44,-0.01,-0.24,0.05,-0.17,-0.10,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.25,1.56,2.22,0.15,4.14,-0.02,7.61,-0.56,-0.08,0.07,-0.04,13.10,
frc3495,14.83,13.76,0.00,4.60,1.50,1.17,0.80,0.10,1.60,0.96,0.83,0.66,3.55,-0.79,-0.93,0.15,2.15,-0.22,0.47,0.27,3.26,2.37,-1.97,1.72,1.84,2.09,1.04,0.31,0.51,0.17,-0.08,-0.17,0.01,0.09,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.47,-0.01,1.75,0.05,4.60,0.12,6.97,-0.07,-0.02,0.13,-0.04,14.83,
frc1351,10.74,7.10,0.00,2.26,1.52,1.56,1.08,2.58,1.69,0.89,0.78,0.01,3.30,-0.51,1.19,-1.95,0.07,2.40,-0.18,-0.17,0.01,2.26,3.47,1.57,1.49,1.50,2.91,0.19,0.68,0.64,0.37,0.00,-0.62,0.01,-0.63,0.67,0.67,0.67,0.67,0.67,0.67,0.59,1.33,1.37,0.50,2.26,0.01,8.47,0.20,-0.37,0.25,-0.45,10.74,
frc1671,14.75,16.49,0.00,5.37,0.43,1.33,2.18,-0.16,-0.84,0.34,1.23,0.18,1.17,1.73,2.08,0.04,0.90,3.23,0.71,0.52,1.99,4.98,8.45,1.74,2.08,1.96,1.25,0.27,0.22,0.76,-0.14,0.08,-0.02,0.35,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.55,2.00,1.16,0.71,5.37,0.32,7.40,0.28,0.10,0.37,-0.14,14.75,
frc5461,13.36,17.41,0.00,3.99,0.45,0.89,0.58,1.07,0.83,1.43,1.00,0.89,2.64,0.18,1.09,0.01,2.89,2.20,1.25,0.58,-0.78,6.09,7.53,1.90,1.53,1.42,1.43,-0.31,0.26,-0.49,0.12,-0.02,0.20,0.15,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.80,1.55,0.87,0.67,3.99,-0.02,10.16,0.11,-0.04,-0.03,-0.04,13.36,
frc1323,41.94,13.06,0.00,2.71,0.70,0.84,0.19,-0.65,0.20,0.37,1.69,2.20,15.86,16.20,11.68,5.29,2.68,2.03,3.60,0.82,4.19,8.48,17.57,1.70,1.88,1.51,10.70,2.53,1.39,2.19,1.37,3.08,1.18,3.40,1.07,0.67,0.67,0.67,0.67,0.67,0.67,0.81,0.77,0.43,2.53,2.71,-0.13,35.03,2.60,1.20,2.89,1.11,41.94,
frc6926,7.96,23.98,0.00,3.76,0.99,1.93,0.99,0.60,-0.04,-0.27,0.75,0.14,-0.04,-1.46,-1.42,-0.10,-0.18,2.14,0.84,0.38,1.19,2.74,0.76,1.52,1.08,1.25,0.32,-0.08,-0.25,-0.64,-0.23,0.23,0.01,0.19,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.10,1.45,2.39,-0.59,3.76,0.18,3.02,-0.16,-0.07,-0.32,-0.05,7.96,
frc1422,15.36,18.04,0.00,5.47,0.90,1.06,0.53,0.77,-0.53,0.53,0.37,0.87,2.08,1.35,1.64,0.20,2.45,-0.07,1.63,-0.33,2.26,3.81,1.31,1.97,1.55,1.65,1.74,-0.18,0.32,0.37,0.31,-0.06,0.02,-0.11,0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.76,1.98,2.16,0.48,5.47,0.24,7.63,0.05,0.11,0.07,0.15,15.36,
frc2489,14.25,16.39,0.00,3.75,0.12,0.35,-0.36,1.64,1.86,-0.10,0.68,0.64,1.20,1.27,-0.40,-0.90,2.40,-0.89,0.48,0.04,1.89,2.05,0.66,1.81,0.56,1.59,5.36,0.51,0.55,0.81,0.33,0.55,0.65,0.53,0.50,0.67,0.67,0.67,0.67,0.67,0.67,1.74,1.16,1.15,0.40,3.75,-0.06,8.61,0.13,-0.03,0.04,-0.08,14.25,
