MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019cala_qm1,blue,frc589,frc5634,frc330,51,44,0,6,5,5,5,0,0,5,2,5,21,0,0,0,3,0,12,0,3,15,30,3,0,5,6,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,0,6,3,6,0,42,0,0,0,0,51
2019cala_qm1,red,frc5107,frc968,frc3309,44,51,0,6,5,5,5,0,5,5,5,5,21,0,0,0,0,3,12,1,0,15,30,3,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,6,0,38,0,0,0,0,44
2019cala_qm10,blue,frc4501,frc4999,frc867,29,25,0,9,5,0,2,0,5,5,0,5,12,0,0,0,3,0,3,0,0,6,0,5,0,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,6,2,9,0,20,0,0,0,0,29
2019cala_qm10,red,frc5124,frc589,frc4964,25,29,0,6,5,5,5,5,0,2,0,0,12,0,0,0,3,0,0,0,0,3,0,5,0,0,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,6,0,19,0,0,0,0,25
2019cala_qm11,blue,frc5107,frc294,frc368,40,15,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,0,0,1,3,3,0,3,5,5,4,0,2,0,0,0,0,0,2,2,2,2,2,2,2,3,6,6,2,12,0,25,0,0,0,0,40
2019cala_qm11,red,frc4763,frc3476,frc5669,15,40,0,6,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,1,3,6,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,6,0,0,0,0,15
2019cala_qm12,blue,frc1197,frc6515,frc606,16,54,0,6,2,2,2,2,0,2,2,0,0,0,0,0,3,3,0,0,0,6,0,5,3,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,10,0,0,0,0,16
2019cala_qm12,red,frc7230,frc4,frc5089,54,16,0,12,5,5,5,0,5,5,5,5,21,0,0,0,12,0,3,0,0,15,30,5,5,5,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,42,0,0,0,0,54
2019cala_qm13,blue,frc848,frc580,frc1972,14,60,0,6,2,2,2,0,0,2,2,2,0,0,0,0,3,0,0,0,3,3,0,5,5,3,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,5,0,0,0,0,14
2019cala_qm13,red,frc330,frc687,frc980,60,14,0,15,2,2,5,5,5,0,5,5,27,0,0,0,3,3,0,1,0,6,0,5,5,5,12,0,0,0,0,0,5,0,5,2,2,2,2,2,2,6,3,6,2,15,0,45,0,5,0,5,60
