Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc589,7.08,14.94,0.00,2.35,1.02,1.55,1.15,-0.77,-1.01,1.63,0.65,1.17,3.25,-1.12,0.00,-0.86,1.53,-0.34,2.11,0.02,-1.79,3.20,2.88,1.05,0.97,1.57,0.06,0.13,1.30,-0.07,0.85,0.03,-0.47,0.09,-0.73,0.67,0.67,0.67,1.57,0.86,1.14,0.05,2.35,-0.29,6.52,-0.09,-0.29,0.25,-0.21,7.08,
frc5634,7.86,24.05,0.00,-0.41,1.02,0.68,0.86,0.35,1.43,0.62,0.69,0.70,2.39,-0.40,0.00,-0.73,3.03,1.17,0.11,0.13,2.90,3.92,7.01,0.52,0.31,1.24,-0.94,-0.28,0.39,-0.44,0.69,-0.50,-0.64,-0.49,-0.65,0.67,0.67,0.67,1.28,0.35,1.46,0.14,-0.41,0.21,5.37,-0.22,-0.30,-0.37,-0.22,7.86,
frc330,34.84,10.53,0.00,5.49,1.22,1.73,1.74,0.82,0.98,1.15,1.14,1.55,15.71,3.66,0.00,3.32,0.11,1.37,3.71,-0.60,-1.44,5.33,11.28,1.80,1.17,2.06,9.76,1.17,1.52,1.30,2.16,1.71,1.48,1.87,1.56,0.67,0.67,0.67,2.52,1.20,1.68,1.88,5.49,0.08,30.80,1.78,1.64,1.68,1.54,34.84,
frc5107,5.54,11.22,0.00,2.73,1.10,1.72,1.75,0.05,0.19,1.34,1.22,0.86,1.10,-1.53,0.00,-0.56,-0.66,1.35,1.16,0.55,-0.22,1.92,-1.10,1.33,1.90,1.73,0.02,0.21,0.11,-0.77,-0.07,-0.33,-0.17,-0.51,0.02,0.67,0.67,0.67,0.66,2.09,1.16,-0.16,2.73,-0.09,3.03,-0.12,-0.27,-0.22,-0.24,5.54,
frc968,5.20,17.32,0.00,2.65,0.61,1.01,0.06,-0.11,1.04,1.03,1.51,1.66,2.48,0.36,0.00,-0.08,0.95,0.42,1.06,0.65,-2.37,2.60,0.48,2.13,0.97,1.98,-0.16,0.28,-0.34,0.10,-0.17,0.25,-0.24,0.28,-0.38,0.67,0.67,0.67,1.26,0.54,1.16,-0.11,2.65,0.12,4.92,0.07,-0.19,-0.16,-0.16,5.20,
frc3309,32.67,18.93,0.00,4.97,1.79,1.36,1.70,1.37,2.14,2.14,2.65,2.63,13.14,3.58,0.00,3.19,1.39,3.18,3.78,0.75,0.67,8.51,18.07,1.20,1.84,1.62,5.38,-0.25,1.59,0.16,1.40,-0.14,0.70,0.09,0.97,0.67,0.67,0.67,1.85,2.69,1.89,1.36,4.97,-0.15,27.03,0.52,0.73,0.69,0.90,32.67,
frc4501,19.15,5.54,0.00,3.30,1.33,1.30,1.19,2.55,2.87,1.64,1.05,0.72,7.72,0.00,0.00,-0.48,1.55,1.45,1.96,-0.27,-0.60,4.97,2.64,2.05,1.16,1.86,3.77,-0.06,0.87,0.17,0.34,0.01,0.06,0.51,-0.01,0.67,0.67,0.67,1.49,0.27,1.47,0.63,3.30,-0.17,16.46,0.01,-0.24,0.53,-0.25,19.15,
frc4999,10.86,28.68,0.00,1.85,1.48,1.36,1.40,-0.22,1.17,0.97,-0.15,0.73,3.35,0.48,0.00,1.06,1.14,0.31,0.94,0.15,1.70,2.40,5.56,0.97,0.75,1.76,1.57,-0.46,0.80,-0.12,0.64,-0.23,0.56,-0.22,0.47,0.67,0.67,0.67,0.85,0.70,1.43,0.15,1.85,0.98,7.31,-0.06,-0.02,-0.09,0.02,10.86,
frc867,12.64,15.29,0.00,4.77,2.21,1.37,1.77,0.50,0.29,0.86,1.47,1.39,7.25,-0.22,0.00,-0.23,1.42,0.35,0.75,0.19,-2.71,2.24,-0.08,1.03,1.30,1.98,1.10,0.62,0.31,0.70,0.42,0.34,-0.50,-0.18,-0.30,0.67,0.67,0.67,1.56,1.60,1.50,0.49,4.77,0.14,10.59,0.08,0.40,-0.10,0.32,12.64,
frc5124,22.64,16.90,0.00,5.52,2.23,1.21,2.18,0.54,0.58,2.14,1.64,1.95,9.17,3.25,0.00,3.30,0.34,2.22,0.09,-0.58,2.59,2.79,0.15,1.88,1.42,0.71,2.57,-0.27,0.52,0.01,0.28,0.24,0.46,0.39,0.28,0.67,0.67,0.67,2.49,2.11,1.71,0.60,5.52,0.17,14.53,0.12,0.50,0.09,0.50,22.64,
