MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019caln_qm1,blue,frc207,frc6947,frc6803,36,46,0,6,5,0,0,5,0,2,2,2,15,0,0,0,0,0,3,1,0,3,0,3,5,5,12,5,0,5,0,2,0,5,0,2,2,2,2,2,2,3,3,3,0,6,0,30,2,0,0,0,36
2019caln_qm1,red,frc1159,frc7607,frc5805,46,36,0,9,5,5,5,5,5,5,5,2,21,0,0,0,3,0,0,0,3,3,0,5,3,5,10,0,0,2,0,0,0,2,0,2,2,2,2,2,2,3,3,6,2,9,0,34,0,0,2,0,46
2019caln_qm10,blue,frc599,frc6060,frc4470,38,50,0,15,2,2,2,2,0,2,5,2,3,0,0,0,6,3,3,0,0,12,0,5,5,5,8,0,2,0,2,2,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,23,0,0,0,0,38
2019caln_qm10,red,frc3925,frc7042,frc3882,50,38,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,0,3,0,0,6,0,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,38,0,0,0,0,50
2019caln_qm11,blue,frc6803,frc7645,frc2584,32,58,0,9,5,5,5,0,0,5,5,5,18,0,0,0,0,3,0,0,0,3,0,5,5,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,23,0,0,0,0,32
2019caln_qm11,red,frc3863,frc1868,frc6560,58,32,0,12,5,5,5,0,2,5,2,2,24,0,0,0,0,3,3,0,0,6,0,5,5,5,16,0,5,2,5,0,5,0,5,2,2,2,2,2,2,3,6,3,2,12,0,46,0,0,0,2,58
2019caln_qm12,blue,frc5089,frc3512,frc5285,41,47,0,15,2,5,5,0,0,5,5,5,15,0,0,0,3,3,3,6,0,9,0,5,5,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,26,0,0,0,0,41
2019caln_qm12,red,frc2404,frc6947,frc4,47,41,0,9,2,2,5,0,5,5,5,5,15,0,0,0,0,0,3,0,18,3,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,9,0,20,0,0,0,0,47
2019caln_qm13,blue,frc691,frc6353,frc7042,31,28,0,9,2,2,2,2,2,2,2,2,3,0,0,0,0,3,3,0,3,6,0,5,5,5,10,5,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,19,2,0,0,0,31
2019caln_qm13,red,frc599,frc3501,frc207,28,31,0,9,0,0,2,0,0,5,0,0,3,0,0,0,6,3,3,1,0,12,0,5,5,3,4,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,19,0,0,0,0,28
2019caln_qm14,blue,frc5818,frc3882,frc1661,52,44,0,15,5,5,5,0,5,5,5,5,21,0,0,0,0,0,0,0,6,0,0,5,5,5,10,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,31,0,0,0,0,52
2019caln_qm14,red,frc7327,frc4711,frc2659,44,52,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,2,0,9,0,5,5,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,29,0,0,0,0,44
2019caln_qm15,blue,frc2584,frc5089,frc6060,48,47,0,15,5,5,5,0,5,5,5,5,21,0,0,0,3,3,0,1,0,6,0,5,5,5,6,0,0,2,0,2,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,33,0,0,0,0,48
2019caln_qm15,red,frc1159,frc3993,frc7645,47,48,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,0,0,0,3,3,0,5,3,5,8,0,0,2,2,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,35,0,0,0,0,47
2019caln_qm16,blue,frc7607,frc5453,frc2404,21,51,0,3,0,5,5,0,0,5,5,0,12,0,0,0,3,3,0,2,0,6,0,3,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,0,0,3,0,18,0,0,0,0,21
2019caln_qm16,red,frc696,frc6947,frc7595,51,21,0,15,5,5,5,0,0,5,5,2,15,0,0,0,12,0,3,0,6,15,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,30,0,0,0,0,51
2019caln_qm17,blue,frc6560,frc6833,frc6803,52,46,0,6,2,2,2,5,5,5,5,5,18,0,0,0,3,0,12,0,3,15,30,5,3,5,10,0,2,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,3,6,0,43,0,0,0,0,52
2019caln_qm17,red,frc5285,frc3925,frc4,46,52,0,15,5,5,5,5,5,5,5,5,24,0,0,0,0,3,0,1,0,3,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,31,0,0,0,0,46
2019caln_qm18,blue,frc4470,frc5805,frc1868,46,52,0,15,5,5,2,2,5,5,5,2,15,0,0,0,3,0,3,0,0,6,0,5,5,5,10,0,0,0,2,0,0,0,2,2,2,2,2,2,2,6,6,3,0,15,0,31,0,0,0,2,46
2019caln_qm18,red,frc3863,frc3512,frc2429,52,46,0,12,2,2,5,0,0,5,5,5,24,0,0,0,0,3,3,0,0,6,0,5,5,5,10,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,3,2,12,0,40,0,0,0,2,52
2019caln_qm19,blue,frc3882,frc5089,frc5453,58,13,0,9,5,5,5,0,0,5,5,5,18,0,0,0,0,3,0,0,22,3,0,5,5,5,6,2,0,0,2,0,0,0,2,2,2,2,2,2,2,3,3,3,2,9,0,27,0,0,0,0,58
