Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc207,24.07,15.08,0.00,2.15,0.84,0.23,1.54,1.25,-0.41,1.99,1.18,1.00,11.74,-0.18,0.00,0.00,1.62,0.20,0.71,0.11,0.95,2.54,0.82,1.58,1.26,1.40,6.69,2.47,2.32,2.60,1.64,0.87,1.69,0.81,1.55,0.67,0.67,0.67,0.67,0.67,0.67,1.65,0.66,1.20,0.64,2.15,0.04,20.97,0.12,0.08,-0.06,0.22,24.07,
frc6947,13.76,19.21,0.03,4.60,1.28,1.42,0.94,0.77,0.33,1.08,1.07,0.78,3.26,-0.13,0.00,0.00,0.45,1.40,0.92,0.58,2.08,2.78,2.41,1.27,1.64,1.89,1.02,-0.06,0.13,-0.06,0.67,0.04,-0.32,0.40,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.72,2.04,1.88,0.10,4.60,-0.04,7.05,0.02,-0.05,-0.03,0.05,13.76,
frc6803,19.25,14.78,0.00,1.79,1.26,0.38,0.98,1.41,0.37,0.41,0.80,1.20,5.18,-0.12,0.00,0.00,1.69,1.19,3.65,-0.04,0.58,6.60,14.92,1.61,0.96,1.73,5.10,2.09,1.21,1.45,1.48,0.20,-0.21,0.57,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,1.02,0.33,1.01,0.85,1.79,-0.05,16.88,0.26,-0.02,0.00,-0.15,19.25,
frc1159,15.47,16.87,0.04,2.81,1.75,2.34,1.55,1.19,1.05,2.13,2.13,1.94,9.43,-0.13,0.00,0.00,0.54,1.03,0.82,0.16,-1.06,2.13,1.38,1.80,0.86,1.37,2.12,-0.12,0.75,-0.13,0.98,0.17,0.04,0.12,0.10,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.98,1.55,0.19,2.81,-0.07,13.68,-0.14,0.12,0.14,0.09,15.47,
frc7607,7.87,16.89,0.01,2.04,1.05,1.25,1.10,0.77,0.00,1.10,1.11,0.31,3.01,-0.15,0.00,0.00,0.73,0.29,0.67,0.32,1.57,1.72,-1.89,1.25,1.30,1.43,-0.47,-0.22,0.12,-0.10,-0.38,0.19,-0.26,0.44,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,0.82,1.52,0.60,0.10,2.04,0.14,4.25,-0.06,-0.04,0.13,-0.19,7.87,
frc5805,19.16,20.95,-0.26,4.86,1.35,1.67,1.27,1.67,1.21,1.06,1.21,0.77,4.84,-0.08,0.00,0.00,0.38,0.31,1.64,-0.09,0.75,2.40,-1.62,1.40,1.59,2.07,6.58,0.07,0.80,0.32,1.18,0.09,0.31,0.10,0.48,0.67,0.67,0.67,0.67,0.67,0.67,1.92,2.18,1.20,0.14,4.86,-0.05,13.81,0.24,0.15,0.33,0.20,19.16,
frc599,17.87,15.44,0.04,6.25,1.15,1.45,1.72,0.68,1.05,1.32,0.87,0.88,4.93,-0.22,0.00,0.00,2.37,2.12,2.04,0.55,-1.68,6.56,6.53,1.86,1.85,1.63,1.77,0.70,0.01,0.09,-0.09,0.50,-0.13,0.14,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.99,1.21,2.46,0.60,6.25,0.05,13.26,0.00,-0.07,-0.05,0.06,17.87,
frc6060,19.93,20.68,0.02,4.92,1.51,1.42,1.52,1.13,0.49,0.69,1.12,1.04,5.81,0.39,0.00,0.00,0.77,0.79,1.51,-0.05,2.04,3.13,1.82,1.69,1.71,1.89,4.01,0.65,1.00,0.55,0.33,0.36,0.68,0.14,0.13,0.67,0.67,0.67,0.67,0.67,0.67,2.19,0.59,1.67,0.61,4.92,-0.05,12.94,-0.10,0.31,0.15,-0.13,19.93,
frc4470,13.51,18.47,0.04,5.50,0.97,1.17,0.55,0.75,1.68,1.52,1.59,0.99,3.65,-0.20,0.00,0.00,2.10,0.63,0.48,0.75,-0.03,3.18,-0.14,1.77,1.92,1.53,1.18,0.16,-0.29,0.50,-0.04,0.31,0.03,-0.20,0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.67,1.89,1.94,0.04,5.50,0.04,8.02,-0.09,-0.09,-0.04,0.01,13.51,
frc3925,16.33,18.60,0.01,4.99,1.44,1.05,1.47,2.18,2.10,2.02,2.07,2.25,8.56,-0.08,0.00,0.00,0.81,-0.93,0.80,0.31,-0.44,0.70,-0.79,1.75,1.64,1.66,2.50,-0.20,0.04,0.34,0.26,-0.16,0.04,-0.11,0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.88,1.42,1.81,-0.01,4.99,-0.08,11.76,-0.07,-0.01,-0.01,0.26,16.33,
frc7042,10.72,14.63,0.03,3.66,1.36,1.30,1.59,1.30,0.33,1.06,1.32,1.38,4.31,-0.41,0.00,0.00,0.50,0.97,2.55,0.21,-0.70,3.52,0.62,1.61,1.92,0.74,-0.09,0.42,-0.27,-0.57,-0.54,0.04,-0.21,-0.13,0.04,0.67,0.67,0.67,0.67,0.67,0.67,2.58,0.76,0.96,0.40,3.66,0.10,7.74,0.08,-0.10,-0.05,-0.11,10.72,
frc3882,11.25,13.33,0.03,3.14,1.69,1.90,2.11,-0.10,0.07,1.81,1.23,1.55,5.42,-0.14,0.00,0.00,0.92,0.13,-0.65,0.50,0.47,0.46,0.06,1.64,1.78,1.64,1.73,0.62,0.46,0.14,0.03,-0.13,-0.05,-0.07,0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.14,0.60,1.52,0.30,3.14,0.07,7.61,-0.02,-0.02,-0.05,-0.05,11.25,
frc7645,18.37,11.61,0.01,3.09,1.88,1.59,1.93,0.72,0.42,1.69,1.94,1.77,6.90,-0.07,0.00,0.00,0.44,1.94,0.86,-0.48,3.21,3.22,3.18,1.50,1.71,1.82,1.95,0.01,-0.08,0.77,0.27,-0.02,-0.09,-0.01,0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.06,0.93,1.34,1.00,3.09,0.02,12.06,-0.05,-0.01,-0.03,0.12,18.37,
frc2584,19.69,18.99,0.00,5.26,2.09,1.92,1.87,0.24,1.73,2.02,2.46,1.40,8.68,-0.38,0.00,0.00,0.43,0.59,1.61,0.30,1.79,2.38,0.46,1.60,1.86,1.25,1.58,0.03,-0.27,0.47,0.41,0.38,-0.09,0.33,0.21,0.67,0.67,0.67,0.67,0.67,0.67,2.43,2.16,0.97,0.24,5.26,-0.00,12.64,0.05,-0.05,0.13,-0.05,19.69,
frc3863,25.29,12.83,0.02,5.14,1.57,1.98,2.05,1.20,1.77,1.93,1.20,1.60,12.79,-0.12,0.00,0.00,0.10,0.01,0.83,-0.06,-0.40,1.00,-0.75,1.82,1.86,1.83,6.74,0.82,2.11,0.89,1.68,0.78,0.96,0.88,1.17,0.67,0.67,0.67,0.67,0.67,0.67,1.54,0.96,1.89,0.97,5.14,0.03,20.53,0.46,0.12,-0.03,0.63,25.29,
frc1868,22.63,11.61,-0.01,5.67,1.88,1.76,1.78,1.65,0.86,1.71,1.47,0.87,8.07,-0.18,0.00,0.00,2.52,1.35,1.24,-0.20,-0.07,5.17,6.33,1.73,1.84,1.79,3.80,0.46,0.80,0.36,1.20,-0.22,0.60,-0.17,0.40,0.67,0.67,0.67,0.67,0.67,0.67,1.69,2.20,1.24,1.13,5.67,0.04,17.03,-0.04,0.13,-0.03,0.45,22.63,
frc6560,27.31,14.07,-0.01,1.71,1.52,1.06,1.57,0.87,0.82,1.75,1.98,1.60,7.68,-0.15,0.00,0.00,3.16,3.13,3.30,-0.28,5.74,9.59,18.90,1.59,1.57,1.35,2.59,0.37,0.64,-0.05,0.57,0.39,0.45,0.19,0.36,0.67,0.67,0.67,0.67,0.67,0.67,0.75,0.93,1.16,1.63,1.71,0.04,19.86,-0.06,-0.06,-0.04,0.10,27.31,
frc5089,20.33,20.12,0.03,4.15,1.32,1.43,1.40,1.74,1.56,2.02,2.43,2.06,9.44,0.13,0.00,0.00,1.39,2.50,0.01,1.14,0.51,3.89,3.66,1.80,1.78,1.69,2.31,0.38,0.57,0.64,0.87,-0.18,0.41,-0.28,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.43,0.91,1.39,0.51,4.15,0.03,15.65,-0.11,0.13,-0.04,0.07,20.33,
frc3512,15.23,9.24,-0.01,5.70,0.82,1.06,1.66,-0.48,-1.00,1.79,1.03,1.16,3.01,-0.48,0.00,0.00,1.42,0.82,1.99,0.85,2.26,4.29,0.85,1.84,1.62,1.41,-0.02,0.16,0.13,0.17,0.36,0.14,0.32,0.05,0.31,0.67,0.67,0.67,0.67,0.67,0.67,1.89,1.70,1.64,0.72,5.70,0.02,7.28,0.13,-0.08,-0.06,0.04,15.23,
frc5285,15.60,16.73,-0.03,4.94,2.08,2.38,2.32,0.59,0.06,2.08,2.41,2.29,9.91,0.09,0.00,0.00,-0.98,0.04,0.44,2.00,1.19,-0.43,-3.68,1.72,1.32,1.49,0.03,-0.38,0.06,-0.04,0.21,-0.17,0.40,-0.11,0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.46,1.89,2.17,-0.03,4.94,0.06,9.50,-0.02,0.15,0.00,0.12,15.60,
frc2404,10.15,12.65,0.01,3.57,0.46,0.71,0.67,0.07,0.68,1.75,1.23,1.04,2.81,-0.17,0.00,0.00,0.55,-0.15,1.46,-0.27,2.78,1.63,0.46,1.69,1.11,0.99,-0.64,-0.25,0.15,-0.23,-0.23,-0.24,-0.35,-0.16,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,0.41,2.26,1.68,0.19,3.57,-0.03,3.79,-0.07,-0.04,-0.05,0.02,10.15,
frc4,16.85,15.25,-0.03,5.21,0.99,1.66,1.75,1.36,1.34,1.72,1.19,0.85,4.69,-0.49,0.00,0.00,1.71,0.64,2.31,-0.21,0.25,4.69,8.35,1.82,1.74,1.72,2.03,0.06,0.53,-0.08,0.24,0.04,-0.35,0.08,-0.31,0.67,0.67,0.67,0.67,0.67,0.67,1.93,2.25,0.96,0.75,5.21,-0.06,11.42,0.03,-0.07,0.16,-0.13,16.85,
frc691,12.65,14.45,0.04,4.36,-0.04,1.06,0.51,-0.01,0.36,0.04,0.41,0.28,-0.79,-0.20,0.00,0.00,2.03,1.27,-0.66,-0.12,0.18,2.68,4.09,1.89,1.63,1.49,6.19,0.71,1.17,0.53,0.53,0.83,0.24,0.53,0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.27,1.18,2.37,0.37,4.36,0.12,8.07,0.12,0.14,0.14,0.15,12.65,
frc6353,8.09,11.33,-0.27,3.21,0.40,1.35,1.11,0.80,0.18,1.20,1.26,0.97,2.45,-0.45,0.00,0.00,0.57,0.39,0.74,0.27,1.17,1.73,-2.95,1.59,1.83,1.80,-0.21,0.51,-0.45,0.38,-0.45,-0.01,-0.37,0.12,-0.39,0.67,0.67,0.67,0.67,0.67,0.67,0.36,1.89,0.47,-0.12,3.21,-0.04,3.98,0.26,-0.06,-0.03,-0.16,8.09,
frc3501,8.89,15.44,-0.01,3.18,0.21,0.70,-0.12,0.55,0.40,1.01,-0.30,0.94,-0.12,0.09,0.00,0.00,1.65,0.09,0.08,0.08,2.92,1.87,0.94,1.39,1.58,1.75,1.06,0.11,0.34,-0.35,-0.34,-0.40,-0.02,-0.26,-0.47,0.67,0.67,0.67,0.67,0.67,0.67,1.03,1.65,1.01,0.15,3.18,0.22,2.81,-0.05,0.14,-0.04,-0.16,8.89,
frc5818,19.58,16.47,0.07,4.06,1.30,1.59,0.89,0.51,2.13,-0.21,0.48,1.88,7.06,2.48,0.00,0.00,-0.95,1.73,1.01,-0.38,0.66,1.88,1.85,1.22,1.08,1.86,5.86,0.86,1.63,1.48,1.67,-0.24,0.00,-0.16,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.81,1.53,2.30,0.95,4.06,0.13,14.80,-0.05,0.21,0.02,0.11,19.58,
frc1661,13.00,12.33,0.02,6.12,0.75,0.99,0.83,0.03,1.25,1.37,1.55,0.42,3.34,-0.12,0.00,0.00,0.55,0.13,-0.49,-0.06,1.87,0.18,-1.18,1.79,1.79,1.87,1.47,-0.14,0.26,-0.00,0.33,-0.10,-0.01,0.22,0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.65,1.79,2.16,0.39,6.12,-0.08,4.99,0.10,-0.05,-0.03,0.09,13.00,
frc7327,18.99,19.39,0.07,4.58,0.50,0.94,0.91,1.73,2.35,1.76,1.12,0.57,5.63,-0.16,0.00,0.00,1.49,1.19,1.59,0.48,-0.29,4.25,4.17,1.58,1.69,1.10,4.74,0.80,1.35,0.29,1.47,0.35,0.57,-0.18,0.55,0.67,0.67,0.67,0.67,0.67,0.67,2.00,1.17,2.09,0.19,4.58,-0.04,14.63,0.08,-0.02,-0.06,0.16,18.99,
frc4711,10.42,17.04,-0.02,5.08,1.45,1.13,1.61,-0.37,-0.25,0.93,1.21,1.19,3.05,-0.12,0.00,0.00,0.44,1.48,1.06,-0.05,-0.64,2.99,0.87,1.44,1.88,1.86,-0.05,0.03,-0.28,0.28,-0.12,-0.11,-0.15,-0.08,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,2.12,1.50,1.78,-0.17,5.08,-0.08,5.99,0.01,-0.03,0.00,-0.08,10.42,
frc2659,20.03,19.48,0.12,4.84,2.43,2.53,1.39,0.35,1.00,2.01,1.75,2.10,9.63,2.44,0.00,0.00,1.57,1.18,1.67,0.34,-0.39,4.44,2.38,1.82,1.43,1.86,1.41,1.11,-0.47,1.12,-0.44,-0.04,-0.00,0.03,0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.87,1.33,1.34,0.33,4.84,0.19,15.47,-0.12,-0.01,-0.04,-0.06,20.03,
frc3993,6.44,16.01,-0.25,1.53,1.20,1.26,1.35,0.80,0.65,0.40,0.27,0.54,2.57,0.15,0.00,0.00,0.21,0.19,-0.06,0.15,-1.05,0.41,-1.46,1.27,1.10,1.09,3.23,0.01,-0.06,0.23,0.22,0.33,0.17,0.21,0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.43,0.98,0.93,0.11,1.53,0.03,6.21,0.30,0.01,0.13,0.16,6.44,
frc5453,18.03,16.68,0.01,2.77,2.06,2.21,2.21,0.31,-0.15,2.06,2.18,1.98,9.80,-0.15,0.00,0.00,0.66,0.64,0.24,0.23,2.50,1.52,-0.23,1.35,1.90,1.41,1.42,-0.04,0.40,-0.22,0.94,-0.03,0.43,0.05,0.64,0.67,0.67,0.67,0.67,0.67,0.67,0.44,1.79,0.57,0.44,2.77,-0.06,12.75,-0.07,-0.03,-0.03,0.12,18.03,
frc696,24.39,14.08,-0.02,5.68,1.72,1.69,1.60,1.43,-0.23,1.75,1.49,0.87,7.09,-0.43,0.00,0.00,4.29,1.52,3.37,0.13,1.65,9.23,20.28,1.65,1.77,1.57,0.77,0.53,0.73,0.31,0.34,0.23,-0.14,0.08,-0.31,0.67,0.67,0.67,0.67,0.67,0.67,1.88,2.27,1.95,1.58,5.68,0.15,17.09,0.14,-0.07,-0.02,-0.15,24.39,
frc7595,7.67,11.25,0.10,3.73,1.11,0.95,0.71,-0.81,1.24,1.38,0.81,1.72,2.50,2.49,0.00,0.00,0.33,0.51,-0.14,0.09,1.98,0.48,0.82,1.60,1.70,1.30,-1.11,0.07,-0.77,0.17,-0.59,-0.10,-0.15,-0.25,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.50,1.06,1.80,0.06,3.73,0.04,1.87,0.07,-0.02,-0.04,-0.12,7.67,
