MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019camb_qm1,blue,frc192,frc3495,frc5817,44,67,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,2,29,0,0,0,0,44
2019camb_qm1,red,frc6039,frc1671,frc6506,67,44,0,12,2,5,5,5,0,5,5,5,18,0,0,0,0,12,3,0,20,15,30,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,12,0,35,0,0,0,0,67
2019camb_qm10,blue,frc852,frc7667,frc4171,27,29,0,9,2,5,2,0,0,5,5,5,12,0,0,0,3,0,3,0,0,6,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,18,0,0,0,0,27
2019camb_qm10,red,frc3495,frc2035,frc6059,29,27,0,6,5,2,2,0,0,5,2,2,12,0,0,0,3,0,3,0,0,3,0,3,5,0,8,0,5,0,5,0,2,0,2,2,2,2,2,2,2,6,6,3,2,6,0,23,0,0,0,0,29
2019camb_qm11,blue,frc5104,frc6665,frc1280,49,52,0,12,5,2,5,2,5,5,5,5,18,0,0,0,12,3,0,1,0,15,30,5,5,0,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,0,1,12,0,37,0,0,0,0,49
2019camb_qm11,red,frc581,frc4984,frc192,52,49,0,6,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,0,3,9,0,3,5,5,10,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,43,0,0,0,0,52
2019camb_qm12,blue,frc253,frc6410,frc5171,49,66,0,15,5,5,5,0,5,5,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,34,0,0,0,0,49
2019camb_qm12,red,frc299,frc2073,frc3128,66,49,0,12,5,2,5,0,5,5,5,5,27,0,0,0,3,0,12,0,0,15,30,5,5,5,12,0,5,2,5,0,2,0,5,2,2,2,2,2,2,6,3,3,3,12,0,54,0,0,0,0,66
2019camb_qm13,blue,frc6822,frc6059,frc6884,41,36,0,9,5,2,5,5,2,5,5,5,18,0,0,0,3,0,3,0,0,6,0,5,0,5,8,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,6,6,2,9,0,32,0,0,0,0,41
2019camb_qm13,red,frc2035,frc7401,frc7413,36,41,0,12,5,5,5,0,0,5,5,5,18,0,0,0,0,3,3,0,0,6,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,12,0,24,0,0,0,0,36
