Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc192,19.11,19.24,0.00,3.18,0.55,1.08,1.23,2.40,2.02,1.36,1.21,1.28,5.26,-0.47,0.04,-0.14,1.77,1.57,1.45,-0.04,3.94,4.60,-1.18,1.53,1.83,1.44,2.12,0.09,0.13,-0.13,-0.23,-0.04,-0.12,-0.03,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,0.31,1.58,1.59,0.61,3.18,0.21,11.98,-0.02,-0.06,-0.02,-0.03,19.11,
frc3495,18.52,13.66,0.00,4.57,1.64,1.39,1.42,1.12,1.40,1.26,1.25,1.36,8.45,2.13,-0.42,2.47,0.35,0.77,0.26,-0.32,1.10,1.07,-3.08,1.31,1.74,1.35,3.32,0.40,1.13,0.27,0.97,-0.10,0.88,-0.10,1.00,0.67,0.67,0.67,0.67,0.67,0.67,1.42,2.56,1.19,0.50,4.57,0.14,12.84,-0.12,0.45,-0.12,0.44,18.52,
frc5817,22.42,13.92,0.00,5.97,1.25,1.22,1.60,2.10,1.47,2.06,2.32,2.03,9.66,1.26,-0.61,2.05,1.85,1.56,-0.00,0.06,-1.14,3.52,0.02,2.18,1.29,1.74,4.41,0.24,1.53,0.01,0.90,0.04,0.58,0.07,0.29,0.67,0.67,0.67,0.67,0.67,0.67,2.02,1.28,2.23,0.66,5.97,0.19,17.60,-0.11,0.49,-0.14,0.30,22.42,
frc6039,19.05,16.90,0.00,3.32,1.15,1.28,0.72,-0.07,0.89,0.88,1.37,1.39,3.53,0.12,-0.17,0.34,2.60,4.51,2.61,0.39,2.93,9.75,17.63,1.88,1.89,1.65,-0.48,-0.01,-0.38,-0.02,-0.15,-0.07,-0.00,-0.07,0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.58,1.71,1.14,1.13,3.32,0.08,12.80,-0.09,0.01,-0.06,0.04,19.05,
frc1671,20.10,11.06,0.00,3.84,0.77,1.34,1.81,0.94,1.26,1.72,2.00,1.80,5.77,-1.60,-0.18,-1.24,2.79,1.31,2.45,-0.34,2.60,6.68,13.87,0.99,1.31,1.98,1.22,0.76,-0.13,0.36,-0.36,-0.05,-0.23,-0.04,-0.26,0.67,0.67,0.67,0.67,0.67,0.67,2.07,0.98,2.09,0.81,3.84,-0.08,13.66,-0.03,-0.28,-0.03,-0.24,20.10,
frc6506,19.21,16.07,0.00,5.39,1.83,2.29,2.23,0.86,0.08,1.75,1.54,2.06,8.40,-0.86,-0.56,-0.21,0.72,1.99,0.10,-0.20,3.36,2.80,1.24,1.56,1.00,2.04,-0.74,-0.07,0.14,-0.01,-0.39,-0.11,-0.17,-0.11,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.83,1.00,2.20,0.43,5.39,-0.04,10.47,-0.13,-0.11,-0.13,-0.08,19.21,
frc852,15.57,16.77,0.00,5.53,1.04,1.13,1.18,0.08,0.21,1.39,1.32,1.56,4.73,1.97,-0.20,2.32,0.99,-0.10,1.63,0.27,2.29,2.05,0.49,1.77,1.67,1.71,0.98,0.16,0.31,-0.09,0.45,-0.09,0.23,-0.06,0.37,0.67,0.67,0.67,0.67,0.67,0.67,1.96,1.85,1.60,0.33,5.53,-0.04,7.76,-0.08,0.30,-0.04,0.51,15.57,
frc7667,16.90,9.99,0.00,5.08,1.21,1.25,1.25,0.20,0.82,2.19,2.15,2.02,8.24,2.29,-0.21,2.19,2.13,-0.13,1.26,0.58,-0.40,3.34,0.25,1.98,1.02,1.58,0.64,0.02,0.59,0.26,0.37,-0.03,0.23,-0.03,0.14,0.67,0.67,0.67,0.67,0.67,0.67,1.60,1.92,1.56,0.62,5.08,0.14,12.22,-0.01,0.29,-0.03,0.33,16.90,
frc4171,1.44,13.73,0.00,-0.43,0.75,0.98,0.71,0.84,-0.50,1.42,0.77,0.70,1.81,-0.96,-0.65,-0.15,-0.18,0.75,0.39,0.37,-0.63,0.75,-1.96,0.93,1.29,0.49,-0.07,-0.43,0.43,-0.51,0.19,-0.14,0.32,-0.12,0.30,0.67,0.67,0.67,0.67,0.67,0.67,1.64,1.38,1.65,-0.48,-0.43,0.01,2.50,-0.17,0.40,-0.13,0.10,1.44,
frc2035,12.41,20.42,0.00,4.04,1.24,1.45,1.22,0.06,-0.03,1.62,0.68,0.93,4.76,2.30,2.62,-0.17,0.96,0.61,-0.32,0.22,0.75,1.10,-1.25,1.37,1.73,0.73,1.76,0.21,0.29,0.49,0.53,0.42,0.12,0.43,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,2.36,1.17,2.20,0.06,4.04,0.01,7.62,0.61,-0.11,0.60,-0.09,12.41,
