MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019caoc_qm1,blue,frc3250,frc3473,frc7524,26,72,0,6,0,0,0,5,0,0,0,0,9,0,0,0,0,3,0,1,0,3,0,5,5,0,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,0,0,6,0,20,2,0,0,0,26
2019caoc_qm1,red,frc5669,frc4481,frc3309,72,26,0,9,5,5,5,5,0,5,2,5,30,0,0,0,3,12,3,0,3,18,30,5,3,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,6,3,9,0,60,0,0,2,0,72
2019caoc_qm10,blue,frc3250,frc1160,frc6072,45,54,0,9,5,5,5,0,5,0,0,5,18,0,0,0,3,3,0,2,0,6,0,5,5,5,12,5,0,0,0,2,0,2,0,2,2,2,2,2,2,3,3,3,0,9,0,36,2,0,2,0,45
2019caoc_qm10,red,frc5851,frc7447,frc597,54,45,0,12,0,0,5,5,5,5,5,5,21,0,0,0,0,3,0,0,6,3,0,5,5,5,12,2,2,5,0,0,2,0,0,2,2,2,2,2,2,3,3,6,2,12,0,36,0,0,0,0,54
2019caoc_qm11,blue,frc5802,frc4114,frc4161,32,46,0,9,5,5,5,0,0,5,5,5,18,0,0,0,0,3,0,1,0,3,0,5,3,5,2,0,0,0,0,2,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,23,0,0,0,0,32
2019caoc_qm11,red,frc6499,frc4201,frc5012,46,32,0,15,5,2,5,0,0,2,2,2,12,0,0,0,3,3,6,0,3,12,0,5,5,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,28,0,0,0,0,46
2019caoc_qm12,blue,frc4079,frc3473,frc4276,54,29,0,12,5,5,5,5,0,0,0,2,12,0,0,0,12,3,3,0,10,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,32,0,0,0,0,54
2019caoc_qm12,red,frc6220,frc4763,frc6692,29,54,0,12,2,2,2,5,0,2,5,2,6,0,0,0,0,0,3,0,0,3,0,5,5,5,8,0,0,2,0,0,0,2,0,2,2,2,2,2,2,3,6,3,0,12,1,17,0,0,2,0,29
2019caoc_qm13,blue,frc330,frc4913,frc1836,68,9,0,15,5,5,5,2,2,2,5,2,24,0,0,0,3,3,6,0,3,12,0,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,2,15,0,50,0,0,0,0,68
2019caoc_qm13,red,frc7157,frc3309,frc2496,9,68,0,9,2,2,2,0,0,2,2,2,0,0,0,0,0,6,0,1,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,0,0,0,0,0,9
