MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019cars_qm1,blue,frc3750,frc3082,frc7160,66,57,0,15,2,2,2,0,0,2,2,2,18,30,0,30,6,3,6,0,6,15,30,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,4,15,0,45,0,5,0,5,66
2019cars_qm1,red,frc5712,frc829,frc7608,57,66,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,0,2,0,6,0,5,5,5,12,2,2,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,42,0,0,0,0,57
2019cars_qm10,blue,frc3314,frc3467,frc1468,74,69,0,12,5,5,5,5,5,5,5,5,30,0,0,0,12,6,0,0,0,18,30,5,5,5,14,5,0,5,0,2,0,2,0,2,2,2,2,2,2,3,6,3,3,12,1,62,2,0,0,0,74
2019cars_qm10,red,frc3452,frc4256,frc5690,69,74,0,15,2,2,5,0,0,5,0,5,24,0,0,0,3,0,3,0,10,6,0,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,0,15,0,44,0,5,0,2,69
2019cars_qm11,blue,frc2096,frc5436,frc234,67,82,0,12,2,2,5,5,5,5,5,5,27,0,0,0,3,3,3,1,3,9,0,5,5,5,16,0,5,0,5,0,5,0,2,2,2,2,2,2,2,3,3,6,0,12,0,52,0,2,0,2,67
2019cars_qm11,red,frc5050,frc1816,frc2590,82,67,0,12,5,5,5,0,0,5,5,5,30,0,0,0,6,12,3,1,3,21,30,5,5,5,16,5,5,5,2,0,2,0,5,2,2,2,2,2,2,6,3,3,3,12,0,67,0,2,0,2,82
2019cars_qm12,blue,frc111,frc2370,frc5883,69,72,0,12,5,5,5,0,0,5,2,2,33,0,0,0,3,0,3,0,0,6,0,5,5,5,18,5,5,5,5,2,2,0,5,2,2,2,2,2,2,3,3,6,0,12,0,57,5,0,5,0,69
2019cars_qm12,red,frc7785,frc3750,frc5243,72,69,0,15,5,5,5,5,5,5,5,5,30,0,0,0,3,12,0,0,0,15,30,5,5,5,12,5,2,2,5,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,57,0,0,0,0,72
2019cars_qm13,blue,frc1305,frc3386,frc3985,80,91,0,12,5,5,5,5,5,5,5,5,36,0,0,0,3,12,3,0,0,18,30,5,5,5,14,5,5,5,5,0,0,0,2,2,2,2,2,2,2,3,6,3,1,12,0,68,0,0,0,0,80
2019cars_qm13,red,frc4362,frc4607,frc1076,91,80,0,15,5,5,5,5,0,5,5,5,45,30,0,30,0,3,6,0,0,9,0,5,5,5,22,5,5,5,5,0,5,2,5,2,2,2,2,2,2,3,6,6,3,15,0,76,0,5,0,5,91
2019cars_qm14,blue,frc3003,frc45,frc2559,75,101,0,15,5,5,2,5,5,5,5,5,27,0,0,0,12,3,6,0,0,21,30,5,5,5,12,5,2,5,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,60,0,0,0,0,75
2019cars_qm14,red,frc2960,frc7160,frc67,101,75,0,15,5,5,5,5,5,5,5,5,45,30,30,0,12,6,3,0,0,21,30,5,5,5,20,5,5,5,2,5,0,5,0,2,2,2,2,2,2,6,3,6,4,15,0,86,5,0,5,0,101
2019cars_qm15,blue,frc4472,frc3082,frc2137,64,78,0,9,5,2,2,0,5,5,2,2,21,0,0,0,3,3,12,0,0,18,30,5,5,5,16,5,2,5,2,5,0,5,2,2,2,2,2,2,2,3,3,3,1,9,0,55,0,0,0,0,64
2019cars_qm15,red,frc5690,frc201,frc3536,78,64,0,15,5,5,5,0,5,5,5,5,33,0,0,0,3,3,12,0,0,18,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,6,3,3,15,0,63,0,0,0,0,78
2019cars_qm16,blue,frc3277,frc537,frc2386,45,64,0,12,2,2,5,0,0,2,5,5,9,0,0,0,3,3,12,1,0,18,30,5,5,5,6,2,0,2,2,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,33,0,0,0,0,45
2019cars_qm16,red,frc7048,frc876,frc7656,64,45,0,15,5,5,5,2,0,2,2,5,18,0,0,0,0,12,6,0,3,18,30,5,5,5,10,0,5,2,5,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,46,0,0,0,0,64
2019cars_qm17,blue,frc3504,frc7400,frc2096,55,56,0,12,2,5,2,5,5,5,5,2,15,0,0,0,12,3,3,1,0,18,30,5,5,5,10,0,2,0,2,0,0,0,2,2,2,2,2,2,2,6,3,3,1,12,0,43,0,0,0,0,55
2019cars_qm17,red,frc5436,frc123,frc2723,56,55,0,15,5,5,5,5,5,2,5,2,18,0,0,0,6,3,3,0,3,12,0,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,38,0,0,0,0,56
2019cars_qm18,blue,frc6911,frc7769,frc5172,75,57,0,15,5,5,5,5,5,5,5,5,30,0,0,0,3,12,3,0,0,18,30,5,5,5,12,0,0,0,2,0,5,0,5,2,2,2,2,2,2,6,6,3,3,15,0,60,0,2,0,0,75
2019cars_qm18,red,frc4342,frc3452,frc1816,57,75,0,15,2,5,5,5,0,5,5,2,24,0,0,0,3,0,3,0,0,6,0,5,5,5,12,0,5,0,5,5,0,2,0,2,2,2,2,2,2,3,6,6,0,15,0,42,0,0,0,0,57
2019cars_qm19,blue,frc3683,frc870,frc3314,83,77,0,15,5,5,2,0,5,5,2,2,30,30,0,30,3,12,3,0,0,18,30,5,5,5,20,0,5,2,5,2,5,2,5,2,2,2,2,2,2,6,6,3,4,15,0,68,0,5,0,5,83
2019cars_qm19,red,frc829,frc111,frc1468,77,83,0,15,5,5,5,2,5,5,5,2,30,0,0,0,6,3,3,0,0,12,0,5,5,5,20,2,5,5,5,2,5,2,2,2,2,2,2,2,2,6,6,3,0,15,0,62,0,0,0,0,77
2019cars_qm2,blue,frc3985,frc201,frc66,67,84,0,15,5,5,5,0,5,5,5,5,24,0,0,0,3,3,12,0,0,18,30,5,5,5,10,0,2,0,5,0,2,0,2,2,2,2,2,2,2,3,6,6,1,15,0,52,0,0,0,0,67
2019cars_qm2,red,frc537,frc4342,frc1768,84,67,0,9,5,5,5,5,5,5,5,5,42,30,30,0,3,12,0,0,0,15,30,5,5,5,18,5,2,5,0,5,0,5,0,2,2,2,2,2,2,3,3,3,4,9,0,75,5,0,5,0,84
2019cars_qm20,blue,frc7432,frc2220,frc4256,90,58,0,12,5,5,5,5,5,5,5,5,36,0,0,0,0,6,6,0,12,12,0,5,5,5,18,5,0,5,2,2,0,2,0,2,2,2,2,2,2,3,6,3,2,12,0,66,5,0,5,0,90
2019cars_qm20,red,frc7608,frc1481,frc5587,58,90,0,15,2,2,5,5,5,2,2,2,9,0,0,0,0,12,6,4,0,18,30,5,5,5,16,2,2,2,2,2,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,43,0,0,0,0,58
2019cars_qm21,blue,frc234,frc2549,frc619,93,79,0,15,5,5,5,5,5,2,5,5,30,0,0,0,12,6,3,0,3,21,30,5,5,5,24,2,5,5,5,2,0,2,0,2,2,2,2,2,2,6,3,6,3,15,0,75,0,0,2,0,93
2019cars_qm21,red,frc1768,frc3467,frc5243,79,93,0,15,2,2,5,0,0,5,5,5,30,30,0,30,12,3,3,1,0,18,30,5,5,5,16,2,5,2,5,0,5,0,5,2,2,2,2,2,2,3,6,6,2,15,0,64,0,5,0,5,79
2019cars_qm22,blue,frc4930,frc66,frc293,49,68,0,15,2,5,2,5,0,5,5,2,12,0,0,0,12,0,3,4,3,15,30,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,31,0,0,0,0,49
2019cars_qm22,red,frc747,frc5712,frc5050,68,49,0,15,5,5,0,2,0,5,5,2,12,0,0,0,12,3,0,1,12,15,30,5,5,5,14,0,2,2,0,2,0,2,0,2,2,2,2,2,2,3,6,6,3,15,0,41,2,0,2,0,68
2019cars_qm23,blue,frc1796,frc2590,frc537,63,77,0,9,5,5,5,0,0,5,5,5,24,0,0,0,12,3,0,1,3,15,30,5,5,5,12,5,0,5,0,2,0,2,0,2,2,2,2,2,2,3,3,3,1,9,0,51,2,0,2,0,63
2019cars_qm23,red,frc2052,frc3386,frc85,77,63,0,15,5,5,5,5,5,5,5,2,27,0,0,0,3,12,3,1,3,18,30,5,5,5,14,5,0,5,0,2,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,59,2,0,2,0,77
2019cars_qm24,blue,frc4607,frc4342,frc111,64,41,0,9,2,2,2,5,5,2,2,2,12,0,0,0,3,12,3,0,3,18,30,5,5,5,22,5,2,5,2,2,2,2,0,2,2,2,2,2,2,3,3,3,3,9,0,52,0,2,0,2,64
