Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3750,21.42,22.85,0.00,5.44,0.11,0.55,0.74,1.74,-1.07,1.27,1.56,1.41,7.21,10.67,-0.41,7.84,1.18,4.78,0.48,0.09,-1.46,6.43,13.55,1.46,1.73,1.67,3.81,0.81,0.94,-0.61,1.61,0.00,1.23,0.28,1.40,0.67,0.67,0.67,0.67,0.67,0.67,1.48,1.47,2.78,1.08,5.44,-0.05,17.45,0.21,1.31,0.27,1.23,21.42,
frc3082,13.88,19.56,0.00,3.55,1.63,1.00,1.09,-0.19,0.96,1.19,0.40,0.86,3.70,-2.27,-1.11,-2.61,0.65,0.61,2.30,-0.12,0.21,3.56,4.70,1.80,1.70,1.64,2.85,0.60,0.76,1.24,0.31,1.16,-0.68,1.27,-0.82,0.67,0.67,0.67,0.67,0.67,0.67,1.27,0.68,1.18,0.50,3.55,-0.01,10.11,0.18,-0.75,0.93,-0.67,13.88,
frc7160,24.92,33.31,0.00,4.01,1.61,1.57,0.51,0.92,0.86,1.81,1.80,2.39,10.98,1.24,0.53,2.30,4.07,1.23,0.95,0.45,-0.27,6.25,8.53,1.24,1.65,1.68,3.94,0.78,1.58,0.76,1.15,0.46,0.13,-0.34,0.36,0.67,0.67,0.67,0.67,0.67,0.67,2.66,1.33,1.33,0.05,4.01,-0.02,21.18,0.07,0.88,-0.19,1.50,24.92,
frc5712,25.58,21.61,0.00,5.78,0.59,0.32,1.12,1.50,1.43,0.67,0.81,0.15,3.41,3.84,0.89,3.68,1.22,1.50,1.52,0.35,2.15,4.26,3.31,1.68,1.70,1.72,9.97,0.34,1.71,0.30,1.23,0.13,0.80,0.30,1.31,0.67,0.67,0.67,0.67,0.67,0.67,1.35,2.26,2.03,0.54,5.78,-0.04,17.65,0.91,0.76,1.05,1.06,25.58,
frc829,28.44,25.56,0.00,4.00,2.57,2.42,2.28,0.14,1.70,1.74,1.23,1.48,13.14,-1.43,3.72,-4.49,0.98,3.23,2.17,-0.42,-0.74,6.43,9.34,1.73,1.26,1.71,5.61,1.31,1.21,1.51,1.71,1.08,0.52,1.25,1.16,0.67,0.67,0.67,0.67,0.67,0.67,1.50,2.30,1.30,0.65,4.00,-0.05,25.18,0.54,-0.37,0.50,-0.30,28.44,
frc7608,8.24,36.36,0.00,3.60,0.36,0.80,1.90,0.42,0.89,1.66,1.58,1.66,4.75,1.21,-0.93,2.89,2.04,-0.53,-0.56,2.93,-2.14,0.65,-3.05,1.19,1.69,1.46,1.37,0.70,0.28,0.42,0.77,-0.19,-0.15,-0.67,-0.26,0.67,0.67,0.67,0.67,0.67,0.67,2.29,1.62,0.50,-0.54,3.60,-0.03,6.77,-0.06,0.30,-0.57,0.21,8.24,
frc3314,23.09,20.79,0.00,4.21,1.42,1.57,1.02,0.28,1.82,1.55,0.44,1.14,8.78,-2.14,-1.76,1.20,0.77,4.96,0.41,-0.11,-1.69,6.18,10.81,1.84,1.71,1.70,5.60,0.63,1.48,1.75,1.16,0.85,0.70,0.59,0.87,0.67,0.67,0.67,0.67,0.67,0.67,0.91,2.09,0.71,1.02,4.21,0.08,20.56,0.67,0.56,-0.05,0.56,23.09,
frc3467,19.23,20.87,0.00,3.66,1.49,1.43,1.75,2.56,-0.46,1.34,1.80,1.79,7.93,2.36,-0.04,2.90,2.96,1.56,-0.11,-0.06,1.29,4.12,5.27,0.72,1.63,1.50,2.23,0.24,-0.63,-0.25,-0.17,1.16,0.28,1.13,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.74,1.84,1.52,0.45,3.66,0.19,14.28,0.07,0.43,0.06,0.15,19.23,
frc1468,30.52,25.21,0.00,4.91,1.55,1.62,1.70,0.28,1.83,1.81,1.94,1.53,13.33,4.29,2.49,1.53,4.68,0.58,1.97,-0.20,-0.22,7.25,11.11,1.71,1.73,1.68,5.25,1.44,0.94,2.37,0.89,0.91,1.08,0.82,0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.88,1.19,1.61,1.07,4.91,0.08,25.83,0.15,0.19,0.40,0.38,30.52,
frc3452,30.29,25.24,0.00,5.09,1.11,1.21,1.00,1.80,0.28,1.30,1.27,0.70,11.67,7.51,5.72,3.05,1.93,-1.22,2.78,0.02,5.26,3.53,2.66,1.51,1.71,1.65,4.74,0.71,0.93,0.67,1.47,1.85,0.74,1.31,1.08,0.67,0.67,0.67,0.67,0.67,0.67,1.99,1.98,1.55,0.84,5.09,0.00,19.94,1.15,0.77,0.86,0.28,30.29,
frc4256,32.35,30.21,0.00,3.56,1.71,1.71,2.14,1.04,1.83,1.93,0.14,1.23,12.83,-1.30,-3.05,2.53,1.67,1.97,2.14,0.77,1.54,5.79,7.87,1.63,1.65,1.69,8.63,1.28,2.20,2.21,2.31,0.36,0.69,0.32,0.86,0.67,0.67,0.67,0.67,0.67,0.67,1.28,1.12,1.25,0.44,3.56,-0.03,27.25,0.43,0.80,0.38,0.59,32.35,
frc5690,19.32,28.51,0.00,5.42,0.85,0.83,1.15,0.05,0.84,1.68,1.57,1.32,5.81,1.94,0.09,-0.92,1.23,0.91,2.83,0.37,-0.50,4.93,5.73,1.67,1.66,1.68,3.66,1.12,0.10,0.40,0.35,0.27,0.27,0.55,0.14,0.67,0.67,0.67,0.67,0.67,0.67,1.79,1.67,1.79,0.14,5.42,0.01,14.40,-0.43,0.29,-0.15,-0.17,19.32,
frc870,32.56,25.82,0.00,5.51,1.12,2.09,0.79,0.66,1.76,1.73,1.42,0.97,10.68,9.61,3.98,3.08,1.54,2.75,2.93,-0.03,3.72,7.23,13.80,1.55,1.65,1.71,5.42,1.47,1.22,1.62,1.28,0.44,0.41,1.09,0.34,0.67,0.67,0.67,0.67,0.67,0.67,2.74,1.47,1.71,1.50,5.51,0.08,23.33,0.04,0.42,0.17,0.43,32.56,
frc2137,29.86,27.76,0.00,3.23,0.91,0.84,0.37,-0.21,0.33,0.66,1.10,0.60,9.95,5.46,-1.10,8.41,3.51,1.72,4.46,-0.26,0.56,9.70,12.69,1.66,1.66,1.72,6.42,1.60,1.06,1.81,1.11,1.74,1.90,2.01,1.76,0.67,0.67,0.67,0.67,0.67,0.67,-0.24,1.35,2.04,0.87,3.23,-0.05,26.07,0.33,1.37,0.33,0.99,29.86,
frc5883,25.38,28.06,0.00,4.83,1.55,1.85,1.88,0.20,0.11,1.85,1.24,1.25,12.13,7.69,-0.61,2.62,0.54,-0.86,4.10,0.61,-0.26,3.81,4.12,1.63,1.47,1.70,4.87,1.18,2.14,0.59,2.42,0.37,0.88,0.29,1.90,0.67,0.67,0.67,0.67,0.67,0.67,0.97,1.56,2.94,0.66,4.83,0.01,20.80,0.03,1.08,-0.19,0.75,25.38,
frc3985,21.77,27.28,0.00,3.03,1.37,1.38,1.25,0.47,2.76,1.66,2.00,2.45,12.37,2.23,-1.01,4.69,-0.17,1.40,0.55,0.43,0.97,1.79,1.58,1.44,1.69,1.66,3.61,0.83,0.17,1.01,0.59,0.48,0.88,0.13,0.98,0.67,0.67,0.67,0.67,0.67,0.67,1.18,1.48,0.95,-0.01,3.03,-0.01,17.77,-0.43,1.07,0.00,1.11,21.77,
frc1481,30.19,31.69,0.00,5.73,1.80,1.50,2.11,0.99,2.47,1.80,1.64,1.30,10.43,1.53,1.21,-1.95,1.94,4.25,3.93,-0.21,-1.64,10.16,19.69,1.83,1.72,1.70,5.51,0.32,-0.68,0.38,0.62,1.78,1.20,1.60,0.75,0.67,0.67,0.67,0.67,0.67,0.67,1.22,1.77,2.21,1.08,5.73,-0.06,26.10,-0.04,-0.50,-0.06,-0.31,30.19,
frc201,25.84,25.35,0.00,5.93,1.63,1.51,1.55,0.71,0.92,2.03,1.90,2.02,12.05,-2.99,-0.27,-1.63,1.08,-0.35,1.25,-0.30,1.67,2.00,1.25,1.74,1.68,1.71,4.20,0.68,1.16,0.60,0.95,0.93,0.67,0.67,1.16,0.67,0.67,0.67,0.67,0.67,0.67,2.35,1.33,1.97,0.16,5.93,-0.04,18.25,0.08,0.20,0.36,0.63,25.84,
frc2370,20.23,37.32,0.00,3.28,1.78,1.91,1.59,1.57,0.38,1.94,1.39,1.05,9.86,2.07,-0.59,0.49,0.37,3.42,0.28,0.34,-0.98,4.13,4.25,1.71,1.71,1.73,3.94,0.60,2.14,0.68,1.19,-0.55,0.72,-0.57,1.25,0.67,0.67,0.67,0.67,0.67,0.67,1.12,0.99,1.02,-0.22,3.28,-0.02,17.92,0.22,-0.05,0.05,0.16,20.23,
frc67,23.41,20.88,0.00,4.54,1.32,1.21,1.60,0.03,1.57,1.22,1.64,1.11,10.69,5.04,4.09,2.44,4.10,-0.65,0.51,0.90,0.98,3.92,3.68,1.73,1.54,1.64,3.28,0.46,0.06,0.99,0.29,1.39,1.24,1.49,0.89,0.67,0.67,0.67,0.67,0.67,0.67,1.54,1.50,1.69,0.77,4.54,-0.04,17.89,0.27,0.39,0.73,0.50,23.41,
frc123,19.20,16.88,0.00,4.54,1.96,1.60,2.11,2.32,1.41,1.28,1.10,1.17,5.87,-3.38,-1.95,-0.76,3.20,1.45,0.13,0.38,2.80,4.80,4.11,1.61,1.46,1.66,1.18,0.20,0.04,0.62,-0.36,-0.40,-0.97,0.05,-0.36,0.67,0.67,0.67,0.67,0.67,0.67,2.33,1.52,1.69,0.70,4.54,0.00,11.86,-0.15,-0.27,0.16,-0.29,19.20,
frc1796,34.91,25.47,0.00,3.96,1.82,1.82,1.77,-0.39,-0.54,1.74,1.33,1.53,15.74,6.90,-2.65,6.00,2.62,1.68,0.88,0.06,0.20,5.20,8.73,1.60,1.72,1.66,9.81,1.97,1.59,2.17,2.04,2.02,1.82,1.06,2.27,0.67,0.67,0.67,0.67,0.67,0.67,1.42,1.84,0.71,0.99,3.96,-0.03,30.75,0.58,1.41,1.54,1.61,34.91,
frc7400,15.52,19.75,0.00,4.04,2.06,2.25,1.41,1.88,0.63,1.40,2.01,1.53,7.42,-2.08,-2.07,0.21,1.13,1.07,-0.17,0.87,1.50,2.04,2.88,1.72,1.69,1.69,0.53,-0.11,0.56,0.12,0.15,-0.55,0.05,-0.41,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.68,1.63,1.58,-0.05,4.04,-0.03,9.99,-0.23,0.19,-0.63,0.15,15.52,
frc3386,22.06,20.45,0.00,5.57,1.42,1.37,1.90,3.04,1.84,0.93,1.11,0.59,7.89,-3.73,-1.82,-1.15,-0.31,3.45,1.95,-0.14,-1.13,5.12,7.50,1.69,1.68,1.68,4.62,1.33,0.93,2.00,1.67,0.34,-0.84,0.54,-1.01,0.67,0.67,0.67,0.67,0.67,0.67,2.20,1.34,1.88,0.53,5.57,-0.02,17.62,-0.15,-0.18,-0.19,-0.42,22.06,
