MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019carv_qm1,blue,frc4079,frc2584,frc442,56,102,0,15,5,5,5,0,5,5,5,5,21,0,0,0,12,3,3,3,0,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,41,0,0,0,0,56
2019carv_qm1,red,frc1746,frc364,frc3931,102,56,0,15,5,5,5,0,5,5,5,5,42,0,0,0,3,12,3,0,9,18,30,5,5,5,18,5,5,5,0,0,5,2,5,2,2,2,2,2,2,3,6,6,3,15,0,78,0,5,0,5,102
2019carv_qm10,blue,frc7179,frc7567,frc118,65,33,0,12,2,2,2,0,5,2,2,2,18,0,0,0,0,3,12,0,0,15,30,5,5,5,20,5,2,5,2,5,0,5,2,2,2,2,2,2,2,6,3,3,3,12,0,53,2,0,5,0,65
2019carv_qm10,red,frc4255,frc5006,frc2643,33,65,0,12,2,5,5,0,0,5,2,2,9,0,0,0,3,3,0,0,0,6,0,5,5,5,6,2,2,0,0,0,0,2,0,2,2,2,2,2,2,3,3,6,0,12,0,21,0,0,0,0,33
2019carv_qm100,blue,frc5006,frc6608,frc1746,74,95,0,12,5,5,5,5,5,5,5,5,30,0,0,0,12,3,3,8,0,18,30,5,5,5,14,2,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,3,1,12,0,62,0,0,0,0,74
2019carv_qm100,red,frc3039,frc7725,frc1939,95,74,0,15,5,5,5,5,5,5,5,5,27,0,0,0,6,3,6,0,24,15,30,5,5,5,14,5,2,0,2,0,2,2,0,2,2,2,2,2,2,6,6,3,3,15,0,56,0,0,0,0,95
2019carv_qm101,blue,frc7419,frc7088,frc1785,55,75,0,15,5,5,5,5,5,5,5,5,24,0,0,0,0,6,3,0,3,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,37,0,0,0,0,55
2019carv_qm101,red,frc3309,frc6390,frc2584,75,55,0,15,2,5,5,0,0,5,5,5,27,0,0,0,12,0,3,1,0,15,30,5,5,5,18,5,2,2,0,2,5,2,5,2,2,2,2,2,2,6,3,6,3,15,0,60,0,5,0,2,75
2019carv_qm102,blue,frc1339,frc7179,frc4775,75,100,0,15,5,5,5,0,5,5,5,5,27,0,0,0,12,3,6,2,0,21,30,5,5,5,12,0,0,5,0,5,0,2,0,2,2,2,2,2,2,3,6,6,1,15,0,60,2,0,2,0,75
2019carv_qm102,red,frc4911,frc3481,frc2881,100,75,0,15,2,5,2,2,5,5,5,2,33,30,30,0,3,3,12,0,6,18,30,5,5,5,28,5,5,5,2,5,2,5,2,2,2,2,2,2,2,3,6,6,4,15,0,79,5,2,5,2,100
