Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4079,23.17,26.00,0.00,3.93,1.84,1.89,1.81,1.75,2.87,1.24,1.30,1.41,9.72,3.62,0.47,2.42,1.50,3.26,2.24,0.17,-0.74,7.00,10.30,1.62,1.40,1.73,3.25,0.02,1.38,-0.08,0.74,-0.51,0.20,-0.11,0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.87,1.97,1.71,0.73,3.93,-0.00,19.97,0.01,0.33,0.04,0.14,23.17,
frc2584,18.18,23.57,0.00,5.36,1.52,1.77,1.45,0.77,0.93,1.82,1.78,1.47,7.44,-4.39,-3.45,-1.91,5.01,-0.21,-0.43,1.24,-0.73,4.37,6.93,1.75,1.70,1.64,1.74,0.82,-0.48,0.58,-0.38,0.52,0.26,0.16,0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.56,1.24,2.49,0.46,5.36,-0.00,13.55,-0.26,0.40,0.11,0.12,18.18,
frc442,17.67,24.32,0.00,4.86,1.14,0.26,1.40,-0.36,0.50,1.48,1.45,1.60,3.38,-1.26,-1.70,-0.18,3.13,2.80,0.13,0.44,2.44,6.06,6.98,1.76,1.64,1.67,0.92,0.43,-0.14,1.09,0.89,-0.29,-0.15,0.10,0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.82,1.47,1.38,0.29,4.86,-0.05,10.37,-0.59,-0.28,-0.74,0.14,17.67,
frc1746,23.39,31.96,0.00,3.40,1.96,1.12,1.58,0.84,1.89,1.52,1.78,1.81,11.01,0.51,-0.43,2.29,1.80,2.69,-1.28,0.77,0.50,3.21,2.28,1.72,1.79,1.63,5.27,0.84,2.01,0.28,1.23,-0.43,1.06,0.24,0.54,0.67,0.67,0.67,0.67,0.67,0.67,0.36,1.89,0.99,0.22,3.40,0.06,19.49,-0.12,0.85,-0.20,0.86,23.39,
frc364,42.86,6.66,0.00,4.59,1.47,1.78,1.40,0.25,1.21,1.99,1.87,1.49,15.99,9.20,6.67,-1.93,3.17,2.81,2.33,0.34,6.00,8.31,16.07,1.68,1.62,1.66,7.96,2.06,1.15,1.91,1.29,2.14,0.63,2.44,0.95,0.67,0.67,0.67,0.67,0.67,0.67,1.92,1.50,1.29,2.14,4.59,-0.03,32.26,1.77,0.29,1.86,0.36,42.86,
frc3931,22.58,14.44,0.00,5.56,1.28,1.93,2.59,1.46,0.39,1.24,1.59,1.20,10.71,-1.72,0.43,-0.22,1.96,0.89,0.37,-0.07,-1.55,3.22,2.62,1.68,1.77,1.72,4.64,1.01,1.51,1.68,0.64,0.42,0.97,0.24,0.91,0.67,0.67,0.67,0.67,0.67,0.67,1.81,1.39,1.95,0.53,5.56,0.07,18.57,0.19,0.18,0.20,0.23,22.58,
frc7179,30.62,24.10,0.00,5.31,0.30,1.18,0.44,0.56,1.14,1.34,0.58,0.78,12.54,11.33,9.29,1.95,0.05,1.51,1.66,-0.01,0.65,3.22,-1.93,1.69,1.65,1.68,8.90,1.72,0.82,2.09,1.43,3.35,0.75,2.68,1.06,0.67,0.67,0.67,0.67,0.67,0.67,2.51,0.40,2.23,0.77,5.31,-0.03,24.66,1.80,0.86,2.25,0.52,30.62,
frc7567,11.82,26.37,0.00,3.39,1.73,1.63,1.75,1.19,1.01,1.23,1.59,0.48,4.74,-3.81,-2.20,-1.23,-0.79,2.66,0.38,0.81,-1.36,2.25,0.29,1.44,1.60,1.56,2.80,0.96,0.70,0.61,-0.34,0.18,-0.59,-0.08,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.98,1.60,0.63,-0.64,3.39,0.19,9.79,0.07,-0.24,0.00,-0.37,11.82,
frc118,33.06,19.47,0.00,3.43,1.94,1.42,1.03,0.04,-0.11,1.56,1.19,0.87,14.96,8.01,0.59,5.05,2.93,-1.71,3.31,-0.74,1.25,4.53,13.33,1.68,1.71,1.68,8.89,1.35,2.61,1.89,2.25,2.26,1.24,2.05,1.72,0.67,0.67,0.67,0.67,0.67,0.67,0.89,1.63,0.78,1.79,3.43,-0.02,28.38,1.22,0.89,1.48,1.35,33.06,
frc4255,16.03,24.94,0.00,2.95,0.90,2.00,1.69,-1.10,0.78,0.87,-0.04,0.65,5.23,0.10,1.75,0.96,4.78,-0.33,1.03,0.04,0.50,5.48,12.27,1.74,1.41,1.71,1.86,1.81,-0.94,1.36,-0.74,1.54,-0.47,1.71,-0.44,0.67,0.67,0.67,0.67,0.67,0.67,0.99,1.01,1.54,0.37,2.95,-0.05,12.58,0.56,-0.15,0.72,-0.12,16.03,
frc5006,25.49,16.22,0.00,3.45,0.84,1.60,1.42,2.54,1.80,2.01,1.74,1.21,7.76,2.15,0.10,-0.51,4.03,0.64,1.51,0.75,3.89,6.18,7.47,1.67,1.84,1.68,4.21,0.99,1.90,0.47,1.61,-0.50,-0.04,-0.42,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,0.42,0.76,1.87,0.45,3.45,0.01,18.15,-0.33,-0.23,-0.12,-0.30,25.49,
frc2643,7.89,23.13,0.00,5.10,1.17,1.90,1.10,-0.75,-1.31,1.05,0.88,0.54,-0.85,-0.58,-0.85,0.83,0.21,-0.05,1.85,0.40,2.29,2.01,0.39,1.52,1.23,1.71,-0.66,-0.53,0.02,-0.86,-0.48,-0.46,0.10,-0.20,0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.84,2.67,1.42,-0.08,5.10,-0.03,0.50,-0.15,0.21,-0.24,0.11,7.89,
frc6608,24.55,32.13,0.00,5.22,2.15,2.02,0.89,1.42,1.72,0.60,1.98,1.84,9.66,-1.95,-0.43,-0.47,1.77,1.34,1.84,0.76,0.95,4.95,6.08,1.69,1.61,1.74,3.77,0.96,0.04,0.88,0.61,0.92,-0.35,0.20,-0.44,0.67,0.67,0.67,0.67,0.67,0.67,2.87,1.03,1.16,0.54,5.22,0.05,18.38,0.44,-0.41,0.68,-0.34,24.55,
frc3039,26.69,24.90,0.00,5.23,1.35,1.80,1.64,0.59,0.84,0.98,1.30,1.93,8.49,-1.19,0.30,-0.21,1.05,2.44,2.06,-0.17,0.71,5.55,9.59,1.70,1.71,1.74,6.70,1.29,1.78,0.34,1.88,-0.30,0.86,0.16,0.77,0.67,0.67,0.67,0.67,0.67,0.67,1.38,1.82,1.64,0.55,5.23,0.03,20.75,0.44,0.70,0.07,0.68,26.69,
frc7725,18.53,21.82,0.00,5.09,1.79,1.40,2.29,2.11,2.56,1.79,0.82,0.72,7.49,-0.63,0.49,-1.26,0.71,-1.46,-0.45,0.35,1.90,-1.19,-6.90,1.66,1.73,1.59,5.23,0.36,0.47,0.23,0.82,0.32,0.70,0.65,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,2.83,0.69,1.87,-0.14,5.09,0.07,11.53,0.09,-0.46,0.20,-0.48,18.53,
frc1939,25.46,18.37,0.00,3.88,1.39,1.28,1.34,1.57,1.45,1.47,1.96,2.24,9.06,0.11,-1.29,1.76,2.29,1.87,0.84,0.08,4.38,5.01,3.81,1.68,1.74,1.53,3.13,0.02,1.23,-0.76,1.80,0.06,0.92,-0.23,0.51,0.67,0.67,0.67,0.67,0.67,0.67,1.49,1.36,1.30,0.81,3.88,-0.05,17.21,-0.08,0.11,-0.35,0.30,25.46,
frc7419,28.14,21.19,0.00,5.43,1.45,1.61,1.45,2.50,2.25,2.28,2.21,2.37,10.05,-1.72,-1.06,0.18,1.23,4.16,0.36,-0.31,1.84,5.75,11.04,1.67,1.82,1.69,5.07,-0.52,2.25,-0.49,1.75,-0.88,0.46,-0.89,0.58,0.67,0.67,0.67,0.67,0.67,0.67,0.95,1.88,2.43,0.94,5.43,-0.00,20.88,-0.56,0.37,-0.60,0.47,28.14,
frc7088,12.26,25.38,0.00,3.98,1.48,2.25,1.75,0.14,0.23,0.96,1.31,1.77,5.69,-2.18,-1.05,-0.37,3.02,-0.06,1.14,-0.05,-0.73,4.10,3.45,1.65,0.93,1.70,-0.77,0.98,-0.64,0.32,-0.90,0.42,-0.66,0.73,-0.44,0.67,0.67,0.67,0.67,0.67,0.67,2.18,1.59,1.03,0.17,3.98,-0.03,9.01,0.06,-0.34,-0.08,-0.28,12.26,
frc1785,17.14,16.78,0.00,4.63,1.86,1.65,2.07,0.26,0.91,1.38,1.51,1.15,7.41,0.48,0.45,0.26,0.04,0.62,0.39,0.03,1.63,1.04,-11.91,1.71,1.69,1.71,2.42,1.27,-0.86,1.55,-0.00,1.22,-0.38,0.81,-0.37,0.67,0.67,0.67,0.67,0.67,0.67,1.78,1.17,1.36,0.02,4.63,-0.02,10.88,0.21,-0.31,0.24,-0.34,17.14,
