MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019casd_qm1,blue,frc6885,frc1266,frc2658,32,5,0,9,0,5,5,0,2,2,2,0,6,0,0,0,0,3,12,0,0,15,30,0,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,6,3,3,9,0,23,0,0,0,0,32
2019casd_qm1,red,frc3021,frc5627,frc2637,5,32,0,3,2,2,2,0,2,2,2,2,0,0,0,0,0,0,3,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,2,0,0,0,0,5
2019casd_qm10,blue,frc4616,frc3245,frc3965,18,31,0,6,2,2,5,0,0,2,2,2,3,0,0,0,3,3,3,0,0,9,0,3,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,12,0,0,0,0,18
2019casd_qm10,red,frc3647,frc3749,frc2853,31,18,0,15,5,2,2,5,2,2,2,2,6,0,0,0,3,0,3,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,16,0,0,0,0,31
2019casd_qm11,blue,frc6904,frc4481,frc6885,39,38,0,3,2,2,2,0,0,5,5,5,9,0,0,0,3,12,0,0,0,15,30,3,5,3,12,0,2,0,2,0,2,0,2,2,2,2,2,2,2,3,3,3,3,3,0,36,0,2,0,2,39
2019casd_qm11,red,frc5477,frc4160,frc1266,38,39,0,9,5,5,5,0,5,2,2,2,15,0,0,0,0,3,3,0,0,6,0,3,5,5,8,5,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,29,0,0,0,0,38
2019casd_qm12,blue,frc4919,frc6668,frc5514,28,36,0,6,5,5,5,2,0,2,0,0,9,0,0,0,0,3,3,0,3,6,0,3,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,6,0,19,0,0,0,0,28
2019casd_qm12,red,frc4583,frc2984,frc4139,36,28,0,15,2,2,2,0,0,5,2,2,3,0,0,0,3,12,3,1,0,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,21,0,0,0,0,36
2019casd_qm13,blue,frc2710,frc4322,frc6695,30,49,0,6,2,5,5,0,0,5,5,5,15,0,0,0,3,0,0,0,6,3,0,5,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,18,0,0,0,0,30
2019casd_qm13,red,frc812,frc3021,frc1572,49,30,0,9,2,2,5,5,5,5,5,5,18,0,0,0,12,3,3,2,0,18,30,5,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,9,0,40,0,0,0,0,49
