Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc6885,6.79,16.70,0.00,1.72,1.05,1.87,1.35,-0.44,0.30,0.70,0.92,0.04,1.10,-0.81,0.00,-0.81,0.35,1.43,0.96,-0.06,0.10,2.74,2.50,0.66,1.49,1.21,1.11,-0.54,0.48,-0.11,0.33,-0.28,0.12,-0.34,0.37,0.67,0.67,0.67,0.67,0.67,0.67,0.91,1.15,1.02,-0.01,1.72,-0.04,4.96,-0.21,0.14,-0.21,-0.01,6.79,
frc1266,14.08,21.00,0.00,4.68,1.11,1.79,2.10,0.10,1.32,1.49,1.08,0.95,6.17,-0.02,-0.52,0.50,-0.13,1.91,1.13,0.01,-0.30,2.37,0.43,1.15,1.46,1.79,1.16,0.72,-0.12,0.81,0.04,-0.30,0.14,-0.23,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,0.99,2.09,1.82,-0.20,4.68,0.07,9.70,-0.16,0.11,-0.15,0.04,14.08,
frc2658,25.08,7.60,0.00,3.74,1.72,1.21,1.85,1.16,1.44,1.98,1.70,2.02,7.93,0.33,0.32,0.02,2.91,2.38,4.14,0.48,2.10,9.53,17.44,1.36,1.84,2.15,1.79,-0.18,0.74,0.06,0.33,0.12,-0.17,-0.05,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,0.01,1.03,1.69,1.90,3.74,-0.14,19.25,0.06,-0.10,0.05,0.01,25.08,
frc3021,5.62,17.05,0.00,1.99,0.62,0.42,1.07,0.98,0.45,1.45,0.84,1.35,0.97,-0.36,-0.23,-0.13,0.40,1.74,0.60,0.55,0.09,2.50,-1.79,2.34,0.92,1.27,0.05,-0.48,-0.14,-0.35,0.16,-0.39,0.11,-0.33,0.04,0.67,0.67,0.67,0.67,0.67,0.67,0.92,0.70,1.29,-0.34,1.99,0.13,3.53,-0.19,0.09,-0.12,-0.16,5.62,
frc5627,14.34,16.82,0.00,2.76,1.02,1.57,0.80,-0.51,1.13,1.42,1.56,1.38,3.91,-0.61,-0.45,-0.16,0.32,2.32,0.48,-0.00,4.26,2.94,2.63,1.37,1.75,1.23,0.48,0.13,0.21,0.02,0.15,-0.06,-0.13,-0.28,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.36,1.48,0.90,0.44,2.76,-0.10,7.33,0.14,-0.20,0.25,-0.16,14.34,
frc2637,5.84,13.07,0.00,4.21,1.20,1.00,1.06,-0.87,-0.60,1.15,1.08,0.54,0.94,0.32,0.38,-0.07,1.82,-1.38,0.46,0.18,0.05,0.58,-2.93,2.00,1.45,1.45,0.06,0.10,0.01,0.19,-0.04,0.04,0.06,0.23,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,2.35,0.65,0.99,-0.31,4.21,0.04,1.58,-0.17,0.16,-0.19,0.09,5.84,
frc4616,2.57,16.62,0.00,0.77,0.79,1.19,1.37,0.70,-0.17,1.60,1.33,0.63,3.57,-0.09,-0.16,0.06,0.02,-0.27,0.52,0.50,-1.51,-0.18,-5.56,0.59,1.42,1.11,-0.09,-0.02,0.30,-0.20,-0.25,0.07,-0.18,-0.10,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.70,1.04,0.26,-0.58,0.77,-0.03,3.30,0.41,-0.15,0.41,-0.17,2.57,
frc3245,15.26,9.67,0.00,4.65,1.13,1.07,1.48,0.81,0.82,1.22,1.20,0.92,3.72,0.24,0.34,-0.10,0.46,2.24,0.96,1.20,2.81,3.85,2.75,1.63,1.85,1.52,0.22,-0.16,-0.39,0.01,0.29,-0.13,-0.28,-0.05,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.33,2.88,1.15,0.80,4.65,-0.02,7.80,-0.04,-0.17,-0.03,0.05,15.26,
frc3965,12.89,10.66,0.00,2.17,1.40,1.31,1.39,0.14,-0.65,0.80,1.42,1.08,3.61,-0.84,0.00,-0.84,1.64,1.68,2.16,0.10,0.17,5.40,6.28,1.46,1.28,0.90,1.54,0.07,0.51,-0.59,-0.04,0.65,0.15,0.62,0.38,0.67,0.67,0.67,0.67,0.67,0.67,2.09,2.05,0.49,0.43,2.17,0.15,10.55,0.22,0.22,-0.09,0.20,12.89,
frc3647,23.92,13.98,0.00,4.59,2.93,2.52,2.11,3.15,2.60,2.17,2.04,2.05,15.92,2.47,-0.52,2.99,0.09,0.61,0.28,-0.08,-2.16,0.94,-4.10,1.43,1.56,1.51,4.63,0.74,1.42,1.45,1.76,-0.01,0.10,-0.18,0.14,0.67,0.67,0.67,0.67,0.67,0.67,1.25,2.90,1.48,0.81,4.59,0.01,21.49,-0.22,0.26,0.09,0.22,23.92,
