MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019casf_qm1,blue,frc6036,frc1700,frc4159,37,31,0,12,5,5,5,0,0,5,5,5,18,0,0,0,0,3,0,0,0,3,0,3,5,5,4,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,12,0,25,0,0,0,0,37
2019casf_qm1,red,frc4990,frc6418,frc668,31,37,0,15,2,2,2,2,2,2,2,2,0,0,0,0,3,3,0,0,0,6,0,5,5,5,10,0,2,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,16,0,0,0,0,31
2019casf_qm10,blue,frc6418,frc6814,frc254,77,43,0,12,2,5,2,0,5,5,2,2,12,0,0,0,3,3,12,0,23,18,30,5,5,5,12,0,5,0,2,0,0,0,2,2,2,2,2,2,2,3,3,6,3,12,0,42,0,2,0,2,77
2019casf_qm10,red,frc5700,frc100,frc649,43,77,0,15,2,2,2,5,5,2,2,2,6,0,0,0,3,3,6,1,0,12,0,5,5,5,10,2,0,2,0,0,0,2,0,2,2,2,2,2,2,6,6,3,0,15,2,28,0,0,0,0,43
2019casf_qm11,blue,frc971,frc7419,frc5924,78,47,0,12,5,5,5,5,5,5,5,5,30,30,0,0,12,3,3,1,6,18,30,5,5,3,12,0,0,0,0,2,0,2,0,2,2,2,2,2,2,6,6,3,4,12,0,60,5,0,5,0,78
2019casf_qm11,red,frc253,frc5499,frc4973,47,78,0,9,5,5,0,5,2,5,5,2,18,0,0,0,3,6,0,2,3,9,0,5,5,3,8,0,0,0,0,2,0,5,0,2,2,2,2,2,2,6,3,3,0,9,0,35,0,0,0,0,47
2019casf_qm12,blue,frc7468,frc7445,frc4186,52,59,0,9,5,0,5,2,5,2,0,2,9,0,0,0,12,3,3,0,6,18,30,5,5,3,10,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,1,9,0,37,0,0,0,0,52
2019casf_qm12,red,frc4904,frc2551,frc1700,59,52,0,15,2,5,5,5,5,5,5,5,27,0,0,0,3,3,3,2,0,9,0,5,5,5,8,0,0,0,0,0,5,0,5,2,2,2,2,2,2,6,3,6,2,15,0,44,0,0,0,0,59
2019casf_qm13,blue,frc604,frc6962,frc115,73,24,0,15,5,5,5,0,5,5,5,2,24,0,0,0,12,3,6,0,3,21,30,5,5,5,10,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,55,0,0,0,0,73
2019casf_qm13,red,frc3880,frc7478,frc6662,24,73,0,15,5,5,5,0,0,0,2,2,9,0,0,0,0,0,0,1,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,9,0,0,0,0,24
