MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019casj_qm1,blue,frc6665,frc7419,frc1351,44,46,0,15,2,2,5,5,5,5,5,5,18,0,0,0,0,3,0,1,0,3,0,5,5,5,8,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,29,0,0,0,0,44
2019casj_qm1,red,frc751,frc2367,frc5737,46,44,0,15,5,5,5,5,0,5,5,5,21,30,0,0,0,0,3,0,3,3,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,28,0,0,0,0,46
2019casj_qm10,blue,frc841,frc4669,frc7308,35,59,0,12,5,5,5,0,0,5,2,2,12,0,0,0,3,3,0,0,3,6,0,5,5,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,1,20,0,0,0,0,35
2019casj_qm10,red,frc670,frc5831,frc4159,59,35,0,15,5,5,5,2,5,5,2,2,15,0,0,0,0,3,6,1,10,9,0,5,5,5,10,0,2,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,34,0,0,0,0,59
2019casj_qm11,blue,frc5737,frc1868,frc7736,51,38,0,9,5,5,5,0,0,5,2,5,15,0,0,0,3,12,3,0,9,18,30,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,9,1,33,0,0,0,0,51
2019casj_qm11,red,frc299,frc6619,frc840,38,51,0,15,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,3,10,9,0,5,5,5,4,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,13,0,0,0,0,38
2019casj_qm12,blue,frc1351,frc5773,frc5026,32,53,0,12,5,5,0,0,2,5,5,2,12,0,0,0,0,3,3,2,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,20,0,0,0,0,32
2019casj_qm12,red,frc6036,frc3482,frc2489,53,32,0,12,5,5,2,2,2,5,2,2,9,0,0,0,6,3,3,0,6,12,0,5,5,5,14,0,2,2,0,0,2,2,0,2,2,2,2,2,2,3,3,6,2,12,0,35,0,0,2,0,53
2019casj_qm13,blue,frc7445,frc5171,frc5849,39,83,0,12,2,2,2,5,5,5,5,5,15,0,0,0,3,0,3,2,0,6,0,5,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,27,2,0,0,0,39
2019casj_qm13,red,frc5499,frc846,frc2854,83,39,0,12,5,5,5,5,0,5,5,5,33,0,0,0,3,12,3,0,6,18,30,5,5,5,14,5,0,5,0,5,2,5,0,2,2,2,2,2,2,3,3,6,3,12,0,65,0,0,2,0,83
2019casj_qm14,blue,frc604,frc7419,frc6238,75,45,0,12,5,5,5,5,5,5,5,2,27,0,0,0,12,3,3,0,6,18,30,5,5,3,12,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,12,0,57,0,0,0,0,75
2019casj_qm14,red,frc6665,frc6418,frc2135,45,75,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,3,6,2,0,12,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,30,0,0,0,0,45
2019casj_qm15,blue,frc5831,frc8,frc766,46,85,0,15,5,5,5,0,0,2,2,2,9,0,0,0,3,3,3,0,3,9,0,5,5,5,10,0,2,0,2,2,0,0,2,2,2,2,2,2,2,6,3,6,0,15,0,28,0,0,0,2,46
2019casj_qm15,red,frc254,frc972,frc199,85,46,0,15,5,5,5,2,2,5,5,5,36,30,0,30,12,3,3,1,0,18,30,5,5,5,16,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,4,15,0,70,0,5,0,5,85
2019casj_qm16,blue,frc6039,frc5027,frc192,34,39,0,12,2,2,2,0,2,2,2,2,0,30,0,0,12,3,0,0,3,15,30,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,19,0,0,0,0,34
2019casj_qm16,red,frc841,frc1967,frc4171,39,34,0,15,5,5,5,0,0,5,5,5,18,0,0,0,0,3,3,1,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,24,0,0,0,0,39
2019casj_qm17,blue,frc751,frc1458,frc4990,61,74,0,15,5,5,5,5,5,5,5,5,24,0,0,0,0,3,6,1,3,9,0,5,5,5,10,0,2,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,43,0,0,0,0,61
2019casj_qm17,red,frc256,frc649,frc4669,74,61,0,9,0,0,2,5,5,2,2,2,24,30,30,0,3,12,3,1,3,18,30,5,5,5,20,5,2,5,0,5,0,5,0,2,2,2,2,2,2,3,3,3,4,9,0,62,5,0,5,0,74
2019casj_qm18,blue,frc4159,frc668,frc2035,44,57,0,9,5,5,5,5,5,2,2,2,18,0,0,0,6,0,3,1,0,9,0,3,5,5,8,5,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,35,0,0,0,0,44
2019casj_qm18,red,frc2473,frc4186,frc2367,57,44,0,15,5,5,5,2,2,5,2,2,18,0,0,0,3,3,3,0,3,9,0,5,5,5,12,5,2,5,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,39,0,0,0,0,57
