MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019cave_qm1,blue,frc7327,frc7650,frc7887,22,50,0,3,2,2,2,5,5,2,2,2,6,0,0,0,0,6,3,1,0,9,0,0,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,3,0,3,0,19,0,0,0,0,22
2019cave_qm1,red,frc6553,frc4470,frc5199,50,22,0,15,2,2,5,0,0,2,2,2,15,0,0,0,3,0,0,0,3,3,0,5,5,5,14,5,0,5,0,5,2,5,0,2,2,2,2,2,2,6,6,3,2,15,0,32,2,0,2,0,50
2019cave_qm10,blue,frc4470,frc5678,frc5857,15,56,0,6,2,2,2,0,0,5,5,2,6,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,0,0,6,0,9,0,0,0,0,15
2019cave_qm10,red,frc4486,frc5700,frc3328,56,15,0,12,5,5,5,5,5,5,2,2,21,0,0,0,6,3,0,0,0,9,0,5,5,5,14,0,2,2,5,0,2,0,2,2,2,2,2,2,2,3,6,3,2,12,0,44,0,0,0,0,56
2019cave_qm11,blue,frc7887,frc3473,frc4201,67,59,0,15,5,5,5,5,0,5,5,5,27,0,0,0,3,6,3,2,3,12,0,5,5,5,10,5,0,5,2,2,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,49,0,0,0,0,67
2019cave_qm11,red,frc5818,frc5107,frc114,59,67,0,12,5,5,5,5,5,2,2,2,18,0,0,0,3,3,3,1,6,9,0,5,5,5,14,2,2,5,0,2,0,2,0,2,2,2,2,2,2,6,3,3,0,12,0,41,0,0,0,0,59
2019cave_qm12,blue,frc115,frc4414,frc5102,90,42,3,15,5,5,5,0,5,5,2,5,36,30,30,0,6,12,0,0,0,18,30,5,5,5,18,5,0,5,2,5,0,5,2,2,2,2,2,2,2,6,6,3,4,15,0,72,5,0,5,0,90
2019cave_qm12,red,frc5477,frc7650,frc5136,42,90,0,12,2,2,5,2,2,5,5,2,9,0,0,0,3,6,6,0,0,15,30,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,30,0,0,0,0,42
2019cave_qm13,blue,frc3863,frc2486,frc6934,51,44,0,15,5,5,5,0,0,5,2,5,15,0,0,0,3,12,3,0,3,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,33,0,0,0,0,51
2019cave_qm13,red,frc3925,frc1138,frc6553,44,51,0,12,5,5,2,0,5,5,5,2,15,0,0,0,3,12,0,1,0,15,30,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,12,0,32,0,0,0,0,44
2019cave_qm14,blue,frc6764,frc599,frc5199,68,60,0,9,5,5,5,0,5,5,5,5,27,0,0,0,0,6,12,1,0,18,30,3,5,5,14,5,2,5,2,0,2,0,0,2,2,2,2,2,2,3,6,3,3,9,0,59,0,2,0,0,68
2019cave_qm14,red,frc6560,frc2543,frc6398,60,68,0,15,2,2,5,0,5,5,5,5,15,0,0,0,6,12,3,0,3,21,30,5,5,5,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,42,0,0,0,0,60
2019cave_qm15,blue,frc4470,frc7323,frc5107,22,76,0,12,2,2,2,0,0,2,2,2,0,0,0,0,3,0,3,0,0,6,0,5,5,5,4,0,2,0,0,0,2,0,0,2,2,2,2,2,2,6,3,3,0,12,0,10,0,0,0,0,22
2019cave_qm15,red,frc5137,frc5818,frc5136,76,22,0,15,5,5,5,5,5,5,5,5,24,0,0,0,6,12,3,0,0,21,30,5,5,5,16,2,2,2,2,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,61,0,0,0,0,76
2019cave_qm16,blue,frc3303,frc580,frc5857,21,32,0,9,2,2,2,0,2,2,2,2,0,0,0,0,0,3,3,1,0,6,0,5,5,3,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,12,0,0,0,0,21
2019cave_qm16,red,frc5510,frc7327,frc5678,32,21,0,9,2,2,2,0,2,2,5,5,6,0,0,0,3,6,3,0,3,6,0,5,0,5,8,0,2,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,2,9,0,20,0,0,0,0,32
2019cave_qm17,blue,frc5102,frc6553,frc599,48,46,0,12,5,5,5,5,0,5,2,5,18,0,0,0,3,3,3,0,3,9,0,5,5,5,6,2,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,33,0,0,0,0,48
2019cave_qm17,red,frc7324,frc4201,frc294,46,48,0,12,2,2,2,0,0,2,2,5,9,0,0,0,0,3,12,1,0,15,30,5,5,5,10,2,0,2,0,5,0,5,0,2,2,2,2,2,2,3,6,3,1,12,0,34,0,0,2,0,46
2019cave_qm18,blue,frc1138,frc5199,frc2543,101,71,0,15,5,5,2,5,5,5,5,5,45,30,30,0,6,3,3,0,9,12,0,5,5,5,20,5,5,5,5,5,0,5,0,2,2,2,2,2,2,6,3,6,3,15,0,77,5,0,5,0,101
2019cave_qm18,red,frc114,frc115,frc5477,71,101,0,15,2,2,2,2,5,2,2,2,21,30,0,30,3,6,6,3,0,15,30,5,5,5,20,2,5,2,5,0,5,0,5,2,2,2,2,2,2,3,6,6,2,15,0,56,0,5,0,5,71
2019cave_qm19,blue,frc6560,frc5700,frc7887,40,34,0,15,2,2,5,5,2,5,5,5,15,0,0,0,3,0,3,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,25,0,0,0,0,40
2019cave_qm19,red,frc6934,frc3512,frc6398,34,40,0,15,2,2,5,0,0,5,2,2,6,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,2,0,0,0,2,0,2,2,2,2,2,2,3,6,6,0,15,0,19,0,0,0,0,34
