MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019chcmp_qm1,blue,frc4456,frc1610,frc1413,75,78,0,15,0,5,5,0,0,5,5,0,24,0,0,0,12,6,6,0,0,24,30,5,5,5,12,5,5,5,5,2,0,2,0,2,2,2,2,2,2,3,6,6,1,15,0,60,0,0,0,0,75
2019chcmp_qm1,red,frc6334,frc1719,frc5546,78,75,0,15,2,2,2,5,2,5,2,2,24,30,0,30,12,6,3,0,0,21,30,5,5,5,18,0,5,2,5,0,5,0,5,2,2,2,2,2,2,6,3,6,4,15,0,63,0,5,0,5,78
2019chcmp_qm10,blue,frc1262,frc3359,frc612,70,68,0,15,5,5,5,5,5,5,2,2,18,0,0,0,6,3,12,0,0,21,30,5,5,5,16,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,6,6,3,15,0,55,2,0,2,0,70
2019chcmp_qm10,red,frc1719,frc2534,frc2849,68,70,0,12,5,5,5,5,5,5,5,5,27,0,0,0,6,12,3,0,0,21,30,5,5,5,8,2,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,56,0,0,0,0,68
2019chcmp_qm11,blue,frc4541,frc5338,frc4456,65,42,0,9,5,5,5,5,5,5,5,2,21,0,0,0,3,6,12,0,0,21,30,5,5,5,14,2,2,0,2,2,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,56,2,0,0,0,65
2019chcmp_qm11,red,frc1599,frc539,frc4638,42,65,0,9,2,2,5,5,5,2,2,2,9,0,0,0,12,3,3,0,0,18,30,5,5,3,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,9,0,33,0,0,0,0,42
2019chcmp_qm12,blue,frc977,frc836,frc619,94,82,0,15,5,5,0,5,2,5,2,2,36,30,30,0,3,12,6,0,0,21,30,5,5,5,22,5,5,5,5,5,0,5,0,2,2,2,2,2,2,3,6,6,4,15,0,79,5,0,5,0,94
2019chcmp_qm12,red,frc540,frc6334,frc3793,82,94,0,15,5,2,2,2,5,5,5,5,33,30,0,30,0,12,6,0,0,18,30,5,5,5,16,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,2,15,0,67,0,5,0,5,82
2019chcmp_qm13,blue,frc5830,frc401,frc1123,54,70,0,12,2,2,2,5,0,5,5,2,12,0,0,0,6,12,0,0,0,18,30,5,5,5,12,0,2,0,0,0,5,0,2,2,2,2,2,2,2,3,3,6,1,12,0,42,0,2,0,2,54
2019chcmp_qm13,red,frc1418,frc686,frc422,70,54,0,12,2,5,5,5,5,5,5,5,33,0,0,0,6,0,3,0,0,9,0,5,5,5,16,5,5,5,5,0,2,0,2,2,2,2,2,2,2,3,3,6,2,12,0,58,0,0,0,0,70
