Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4456,24.53,16.84,0.00,3.66,1.36,1.87,1.88,0.24,-0.44,1.47,1.42,0.29,7.70,1.67,-0.68,2.53,2.32,3.02,4.56,0.35,-0.17,9.91,16.62,1.72,1.67,1.70,3.42,0.55,1.77,0.75,1.44,0.01,1.21,-0.01,1.30,0.67,0.67,0.67,0.67,0.67,0.67,0.99,1.10,1.33,1.42,3.66,-0.01,21.04,-0.24,0.44,-0.28,0.32,24.53,
frc1610,28.92,30.05,0.00,6.01,0.48,1.08,1.13,0.44,-0.81,1.47,0.71,0.64,8.69,7.71,2.27,5.18,2.98,1.98,0.71,0.12,1.50,5.67,7.77,1.69,1.71,1.77,7.06,1.28,0.90,1.89,1.19,1.65,1.45,1.49,1.16,0.67,0.67,0.67,0.67,0.67,0.67,1.68,1.92,1.98,0.63,6.01,-0.00,21.42,0.61,1.12,0.59,1.05,28.92,
frc1413,26.18,26.07,0.00,4.31,1.10,1.10,2.13,2.20,2.04,1.50,2.08,1.65,14.75,1.57,2.36,-0.15,3.43,0.06,-0.42,-0.34,-0.48,3.06,-1.18,1.66,1.66,1.54,4.54,2.02,1.64,2.04,2.01,0.55,-0.56,0.77,-0.61,0.67,0.67,0.67,0.67,0.67,0.67,1.48,1.96,1.33,0.10,4.31,-0.01,22.35,0.25,-0.22,0.24,-0.20,26.18,
frc6334,24.53,29.53,0.00,5.76,0.51,0.69,0.15,0.37,1.29,1.35,0.75,1.08,4.65,7.51,-0.43,5.36,1.95,3.04,1.28,-0.08,0.80,6.27,10.92,1.69,1.71,1.82,7.05,0.66,0.19,0.41,0.68,0.74,1.11,0.85,1.05,0.67,0.67,0.67,0.67,0.67,0.67,1.78,1.96,1.64,0.47,5.76,-0.01,17.97,0.59,1.02,0.27,1.00,24.53,
frc1719,19.51,32.00,0.00,4.51,1.86,1.20,0.74,1.77,0.56,0.95,0.77,0.82,5.97,0.90,-0.50,2.26,2.84,1.86,1.58,0.19,0.08,6.28,8.51,1.71,1.65,1.82,2.66,0.48,-0.11,0.81,0.47,0.02,0.46,0.05,0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.59,0.97,1.64,0.19,4.51,0.02,14.92,0.02,0.44,0.25,0.15,19.51,
frc5546,21.14,20.40,0.00,4.31,0.90,1.57,0.87,0.20,0.93,1.52,1.16,1.29,4.45,1.33,-0.65,2.30,2.93,1.53,2.84,-0.17,0.00,7.31,9.64,1.66,1.70,1.60,5.07,-0.95,1.36,-0.09,1.47,0.12,0.46,0.15,0.96,0.67,0.67,0.67,0.67,0.67,0.67,1.79,1.44,1.42,0.71,4.31,-0.04,16.83,0.02,0.44,-0.08,0.46,21.14,
frc1262,27.55,18.41,0.00,3.28,1.31,2.30,1.65,0.97,1.87,1.44,0.59,1.46,10.45,1.51,3.33,-1.51,1.98,1.53,3.58,0.30,0.77,7.10,12.82,1.66,1.48,1.85,5.96,1.05,0.32,1.84,0.68,1.49,-0.26,1.74,0.73,0.67,0.67,0.67,0.67,0.67,0.67,1.01,0.87,1.41,1.15,3.28,0.06,23.50,0.51,-0.23,0.92,-0.18,27.55,
frc3359,24.38,23.51,0.00,5.48,1.83,1.93,2.37,1.83,1.43,1.77,1.49,1.06,7.70,-0.59,-0.28,-0.04,-0.61,4.77,2.49,-0.07,1.77,6.65,4.23,1.69,1.66,1.62,2.79,0.98,-0.04,-0.30,-0.46,0.09,0.22,0.05,0.37,0.67,0.67,0.67,0.67,0.67,0.67,1.55,1.90,1.98,0.59,5.48,-0.02,17.13,0.07,-0.09,0.08,-0.11,24.38,
frc612,20.13,25.84,0.00,5.22,1.81,1.26,1.82,1.56,1.50,2.22,1.46,1.82,5.40,-4.07,-2.25,-1.53,1.05,0.64,2.86,0.12,0.95,4.55,4.52,1.71,1.68,1.63,4.02,0.34,-0.92,0.94,-0.80,-0.18,-0.05,0.05,0.19,0.67,0.67,0.67,0.67,0.67,0.67,1.87,1.02,2.45,0.05,5.22,0.07,13.96,0.17,-0.02,0.21,-0.28,20.13,
frc2534,29.45,12.86,0.00,3.65,2.13,1.51,1.69,0.65,1.22,1.73,1.92,2.14,9.61,-0.73,-0.73,-0.31,4.48,2.49,3.46,-0.07,1.91,10.44,16.37,1.71,1.68,1.65,3.84,1.55,0.66,1.84,1.63,-0.09,-0.12,0.01,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.46,0.96,1.11,1.46,3.65,-0.04,23.89,-0.33,-0.31,-0.15,-0.24,29.45,
