MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019code_qm1,blue,frc662,frc4386,frc2240,42,38,0,12,2,2,2,0,0,2,2,2,3,0,0,0,3,3,12,0,3,18,30,5,5,5,6,5,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,27,2,0,0,0,42
2019code_qm1,red,frc1584,frc1303,frc3374,38,42,0,6,2,5,5,0,0,5,2,5,12,0,0,0,12,3,3,1,0,18,30,5,3,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,6,0,32,0,0,0,0,38
2019code_qm10,blue,frc4388,frc2972,frc1619,77,18,0,9,5,2,5,0,5,5,5,2,33,30,0,30,3,6,12,0,0,21,30,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,3,4,9,0,68,0,5,0,5,77
2019code_qm10,red,frc7537,frc4386,frc3172,18,77,0,6,2,5,5,0,0,5,5,2,12,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,12,0,0,0,0,18
2019code_qm11,blue,frc4418,frc662,frc2341,42,29,0,15,0,0,0,5,5,2,2,5,9,0,0,0,6,0,3,0,3,9,0,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,24,0,0,0,0,42
2019code_qm11,red,frc5763,frc7485,frc5493,29,42,0,9,2,2,2,2,5,2,2,2,3,0,0,0,3,3,3,1,0,9,0,5,3,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,20,0,0,0,0,29
2019code_qm12,blue,frc2036,frc159,frc1410,56,41,0,12,5,5,2,5,5,2,2,2,18,0,0,0,3,3,3,0,3,9,0,5,5,5,14,0,5,0,5,0,2,0,2,2,2,2,2,2,2,3,6,3,2,12,0,41,0,0,0,2,56
2019code_qm12,red,frc5578,frc7479,frc4593,41,56,0,9,0,0,5,0,0,5,5,5,18,0,0,0,3,3,0,1,0,6,0,5,5,5,8,5,0,5,0,2,0,2,0,2,2,2,2,2,2,3,3,3,0,9,0,32,0,0,0,0,41
2019code_qm13,blue,frc3288,frc1303,frc3648,40,40,0,12,5,5,5,0,0,0,0,0,9,0,0,0,3,0,6,0,10,9,0,5,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,0,6,1,12,0,18,0,0,0,0,40
2019code_qm13,red,frc3729,frc1332,frc4068,40,40,0,12,2,2,0,5,0,5,5,5,12,0,0,0,3,3,0,0,0,6,0,5,5,5,10,0,0,2,0,0,0,2,0,2,2,2,2,2,2,3,6,3,1,12,1,28,0,2,0,2,40
2019code_qm14,blue,frc4550,frc5657,frc4944,47,52,0,9,5,5,0,5,5,5,5,5,21,0,0,0,3,0,0,0,0,3,0,5,5,5,14,2,0,2,2,2,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,38,0,0,0,0,47
2019code_qm14,red,frc7737,frc624,frc3158,52,47,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,6,3,0,0,12,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,12,0,40,0,0,0,0,52
2019code_qm15,blue,frc7891,frc2395,frc2083,38,46,0,15,2,2,5,5,0,0,0,0,6,0,0,0,3,3,3,0,0,9,0,5,5,5,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,23,0,0,0,0,38
2019code_qm15,red,frc1583,frc1977,frc3200,46,38,0,15,2,2,5,2,5,5,5,5,15,0,0,0,3,3,0,0,0,6,0,5,5,5,10,0,2,2,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,31,0,0,0,0,46
2019code_qm16,blue,frc1799,frc2996,frc6652,56,74,0,9,5,5,2,5,5,5,5,5,21,0,0,0,3,12,3,0,0,18,30,5,3,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,1,9,0,47,0,0,0,0,56
2019code_qm16,red,frc3374,frc2240,frc2945,74,56,0,15,5,5,5,5,0,5,5,5,27,0,0,0,3,12,3,0,0,18,30,5,5,5,14,5,2,0,5,2,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,59,0,0,2,0,74
2019code_qm17,blue,frc1726,frc4499,frc2261,83,29,0,12,5,5,5,5,5,5,5,5,36,0,0,0,12,6,3,0,0,21,30,5,5,5,14,5,5,5,5,0,0,2,0,2,2,2,2,2,2,3,6,3,3,12,0,71,0,0,0,0,83
2019code_qm17,red,frc3807,frc7243,frc1157,29,83,0,12,0,0,0,2,0,0,0,0,3,0,0,0,0,3,3,0,0,6,0,5,5,5,8,0,2,0,5,0,2,0,0,2,2,2,2,2,2,3,6,3,0,12,0,17,0,0,0,0,29
2019code_qm18,blue,frc2259,frc1584,frc3648,45,57,0,12,5,5,5,5,5,2,2,2,15,0,0,0,3,3,6,0,0,12,0,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,33,0,0,0,0,45
2019code_qm18,red,frc3172,frc1245,frc4293,57,45,0,12,2,2,5,2,5,2,2,0,9,0,0,0,3,12,3,0,0,18,30,5,5,5,18,2,2,5,0,2,2,2,0,2,2,2,2,2,2,3,3,6,3,12,0,45,0,0,0,0,57
2019code_qm19,blue,frc5657,frc2972,frc3158,41,20,0,9,5,5,5,5,0,5,5,5,21,0,0,0,6,0,3,0,0,9,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,9,0,32,0,0,0,0,41
2019code_qm19,red,frc5493,frc4068,frc4418,20,41,0,12,2,2,2,2,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,12,0,8,0,0,0,0,20
2019code_qm2,blue,frc4593,frc3807,frc4388,32,101,0,6,2,2,2,0,0,5,2,2,15,0,0,0,3,0,0,12,0,3,0,5,5,3,8,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,3,0,6,0,26,0,0,0,0,32
2019code_qm2,red,frc7737,frc1619,frc2341,101,32,0,9,5,5,5,2,0,5,2,5,27,0,0,0,3,12,0,0,36,15,30,3,5,5,14,2,0,2,0,5,0,5,0,2,2,2,2,2,2,3,3,6,3,9,0,56,5,0,5,0,101
2019code_qm20,blue,frc1332,frc159,frc2945,47,63,0,12,5,5,5,5,0,5,5,5,21,0,0,0,3,3,3,0,3,9,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,12,0,32,0,0,0,0,47
2019code_qm20,red,frc4944,frc3374,frc7891,63,47,0,15,2,5,0,5,5,5,5,5,18,0,0,0,3,12,3,1,0,18,30,5,5,5,12,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,48,0,0,0,0,63
2019code_qm21,blue,frc4593,frc2261,frc3200,40,17,0,9,2,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,3,5,4,2,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,9,0,31,0,0,0,0,40
2019code_qm21,red,frc1157,frc3729,frc7537,17,40,0,9,5,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,8,2,0,0,0,17
