Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc662,8.20,6.87,0.00,4.82,1.04,0.87,0.81,-0.87,0.34,0.36,-0.04,0.12,0.25,2.38,-0.61,-0.10,1.28,-0.47,1.21,-0.01,0.68,2.01,2.31,1.76,1.76,1.80,0.43,0.93,0.52,0.87,0.09,0.48,-0.48,0.18,-0.39,0.67,0.67,0.67,0.67,0.67,0.67,1.54,1.09,1.75,0.32,4.82,-0.03,2.69,0.35,-0.19,-0.06,-0.20,8.20,
frc4386,5.79,25.06,0.00,3.31,0.65,0.95,1.10,0.17,-0.42,1.07,1.59,1.00,0.90,-0.06,1.72,-1.30,-0.78,1.60,1.43,0.51,0.26,2.17,-0.44,1.71,1.44,1.36,-0.86,0.81,-0.72,0.42,-0.68,-0.38,-0.20,0.08,-0.27,0.67,0.67,0.67,0.67,0.67,0.67,0.99,1.57,0.89,-0.48,3.31,0.01,2.21,0.11,-0.15,-0.01,-0.42,5.79,
frc2240,28.51,20.03,0.00,5.28,-0.08,0.11,0.36,2.56,0.14,0.57,0.25,0.46,5.88,-0.17,0.30,-0.50,2.48,3.39,2.17,0.02,0.32,8.05,17.39,1.45,1.46,1.90,8.99,1.16,2.20,-0.11,2.32,1.04,1.17,0.34,1.43,0.67,0.67,0.67,0.67,0.67,0.67,3.11,0.62,2.06,1.77,5.28,-0.00,22.92,1.05,0.53,1.10,0.64,28.51,
frc1584,16.07,23.76,0.00,3.15,0.99,1.80,1.33,0.38,1.50,2.18,1.49,1.03,4.93,-2.12,0.04,-2.15,2.35,2.40,2.52,-0.16,-0.67,7.28,8.74,1.67,1.66,1.82,1.39,0.57,-0.09,0.23,0.29,-0.12,-0.37,-0.22,-0.48,0.67,0.67,0.67,0.67,0.67,0.67,1.37,0.71,1.10,-0.20,3.15,-0.07,13.59,0.19,-0.41,0.18,-0.26,16.07,
frc1303,14.82,16.62,0.00,4.33,0.72,0.88,1.57,1.59,0.77,0.40,-0.15,0.64,3.68,-0.42,-0.04,-0.17,1.20,0.80,0.91,1.87,1.45,2.82,4.08,1.70,1.08,1.76,2.55,0.65,0.14,0.22,0.70,-0.03,0.00,0.22,0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.65,0.97,1.78,0.46,4.33,0.08,9.04,0.04,-0.02,0.05,-0.06,14.82,
frc3374,17.05,15.06,0.00,4.79,2.10,1.91,1.24,0.60,0.04,1.82,2.21,2.69,7.13,0.42,0.03,0.39,1.84,1.68,-0.02,-0.27,-0.40,3.58,3.31,1.77,1.74,1.70,1.95,0.94,0.15,0.22,0.43,-0.15,-0.34,-0.04,0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.11,2.72,1.54,0.39,4.79,-0.03,12.66,-0.28,-0.07,0.05,-0.04,17.05,
frc4388,12.28,24.51,0.00,1.90,1.17,0.56,1.17,1.46,1.83,1.69,1.64,0.88,3.66,0.27,-1.35,1.28,-0.34,2.50,1.25,1.83,0.17,3.42,6.13,1.56,1.67,1.43,3.13,0.55,-0.04,0.75,-0.28,-0.09,0.51,0.25,0.26,0.67,0.67,0.67,0.67,0.67,0.67,0.87,1.24,0.54,-0.03,1.90,-0.02,10.20,-0.31,0.20,-0.54,-0.06,12.28,
frc2972,19.74,11.78,0.00,4.61,0.87,0.68,1.18,0.71,1.82,0.39,1.05,0.34,4.71,1.23,-0.98,1.75,0.85,0.47,3.22,0.11,2.07,4.64,4.58,1.83,1.41,1.55,3.70,0.55,1.35,1.31,1.28,-0.52,0.39,0.02,0.20,0.67,0.67,0.67,0.67,0.67,0.67,2.03,1.67,1.51,0.73,4.61,0.01,13.05,-0.28,0.40,-0.26,0.24,19.74,
frc1619,45.12,5.77,0.00,3.01,2.05,1.55,1.18,-1.27,0.14,1.66,0.62,0.82,17.74,20.70,9.37,11.62,3.49,4.37,2.59,-0.73,2.97,10.53,25.49,1.55,2.08,1.82,10.87,1.44,1.67,2.04,1.68,2.66,2.20,2.52,2.37,0.67,0.67,0.67,0.67,0.67,0.67,0.62,0.80,0.83,3.00,3.01,-0.04,39.14,2.41,2.45,2.50,2.45,45.12,
frc7537,10.01,13.86,0.00,2.57,1.98,2.19,2.00,-0.06,1.08,0.80,0.26,0.55,6.76,-0.25,-0.68,0.86,0.60,0.91,-0.29,-0.16,-0.95,1.18,-0.46,1.70,1.49,1.32,0.45,0.71,0.23,0.90,0.17,0.44,-0.13,-0.21,0.04,0.67,0.67,0.67,0.67,0.67,0.67,0.82,1.34,0.77,0.34,2.57,-0.05,8.39,0.17,0.02,-0.01,0.10,10.01,
