MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019cthar_qm1,blue,frc2785,frc6762,frc7407,54,52,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,0,6,0,0,9,0,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,39,0,0,0,0,54
2019cthar_qm1,red,frc228,frc4572,frc3555,52,54,0,12,5,5,2,5,5,5,5,5,24,0,0,0,3,0,3,0,0,6,0,5,5,5,10,0,5,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,40,0,2,0,0,52
2019cthar_qm10,blue,frc3146,frc5746,frc4572,56,55,0,15,2,5,5,2,2,5,5,5,15,0,0,0,12,3,0,0,3,15,30,5,5,5,8,0,0,0,2,0,0,0,2,2,2,2,2,2,2,6,6,3,3,15,0,38,0,0,0,0,56
2019cthar_qm10,red,frc7127,frc213,frc181,55,56,0,15,0,0,0,0,2,0,5,2,9,0,0,0,6,3,12,1,0,21,30,5,5,5,10,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,40,0,0,0,0,55
2019cthar_qm11,blue,frc3182,frc175,frc5686,48,63,0,15,5,5,2,0,0,5,5,2,15,0,0,0,3,3,3,0,3,9,0,5,5,5,6,5,0,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,30,0,0,0,0,48
2019cthar_qm11,red,frc236,frc195,frc228,63,48,0,12,2,5,2,0,0,5,2,2,24,30,30,0,0,12,3,1,0,15,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,3,4,12,0,51,5,0,5,0,63
2019cthar_qm12,blue,frc7869,frc3555,frc1124,61,67,0,15,2,2,5,5,5,5,5,5,24,0,0,0,3,6,3,0,0,12,0,5,5,5,10,2,5,0,5,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,46,0,0,0,0,61
2019cthar_qm12,red,frc190,frc6346,frc3634,67,61,0,15,5,5,5,5,5,5,5,5,24,0,0,0,12,3,3,0,0,18,30,5,5,5,10,2,0,2,0,0,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,52,0,0,0,0,67
2019cthar_qm13,blue,frc5142,frc7462,frc2785,52,63,0,12,0,0,0,0,5,5,5,2,9,0,0,0,3,3,3,0,18,9,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,22,0,0,0,0,52
2019cthar_qm13,red,frc6762,frc6811,frc230,63,52,0,15,5,5,5,0,0,2,2,2,27,30,30,0,3,3,3,6,0,9,0,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,3,15,0,48,5,0,5,0,63
2019cthar_qm14,blue,frc4572,frc213,frc6333,36,65,0,12,5,5,5,0,0,2,5,2,12,0,0,0,0,3,3,0,0,6,0,5,5,5,6,2,0,2,0,2,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,24,0,0,0,0,36
2019cthar_qm14,red,frc5686,frc228,frc2836,65,36,0,15,5,5,5,5,2,2,2,2,21,0,0,0,3,12,0,0,0,15,30,5,5,5,14,5,0,5,0,5,0,2,0,2,2,2,2,2,2,6,3,6,3,15,0,50,0,0,2,0,65
