MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019ctwat_qm1,blue,frc4653,frc1071,frc175,31,27,0,15,2,5,2,0,0,2,2,2,9,0,0,0,3,0,0,2,0,3,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,16,0,5,0,5,31
2019ctwat_qm1,red,frc5856,frc4572,frc3461,27,31,0,9,2,5,2,0,0,2,2,2,3,0,0,0,3,0,0,0,6,3,0,3,5,5,6,0,0,2,0,0,0,2,0,2,2,2,2,2,2,3,3,6,0,9,0,12,0,0,2,0,27
2019ctwat_qm10,blue,frc571,frc839,frc1099,48,37,0,15,2,2,2,0,0,5,5,5,9,0,0,0,3,3,12,1,0,18,30,5,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,33,0,0,0,0,48
2019ctwat_qm10,red,frc5746,frc228,frc236,37,48,0,12,0,0,0,0,5,5,5,2,9,0,0,0,3,3,3,0,3,9,0,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,22,0,0,0,0,37
2019ctwat_qm11,blue,frc1676,frc3654,frc2836,52,50,0,15,2,2,2,2,5,5,5,5,12,0,0,0,6,6,3,1,0,15,30,5,5,5,10,0,0,0,2,0,0,0,2,2,2,2,2,2,2,6,6,3,3,15,0,37,0,0,0,2,52
2019ctwat_qm11,red,frc5686,frc230,frc3461,50,52,0,12,5,5,5,0,0,5,5,2,18,0,0,0,3,3,3,0,3,9,0,5,5,5,8,5,0,2,0,0,0,2,0,2,2,2,2,2,2,3,3,6,0,12,0,35,0,0,2,0,50
2019ctwat_qm12,blue,frc181,frc5142,frc1071,48,18,0,9,0,0,0,0,5,2,2,2,9,0,0,0,12,3,3,0,0,18,30,5,3,5,12,0,5,0,5,0,2,0,2,2,2,2,2,2,2,6,3,3,3,9,0,39,0,0,0,2,48
2019ctwat_qm12,red,frc7760,frc3182,frc4097,18,48,0,3,5,5,2,0,0,5,5,2,12,0,0,0,0,3,0,0,0,3,0,0,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,3,0,3,0,15,0,0,0,0,18
2019ctwat_qm13,blue,frc178,frc999,frc237,40,40,0,6,2,0,2,0,0,2,0,2,9,0,0,0,12,0,3,0,0,15,30,5,0,5,10,0,5,0,5,0,5,0,2,2,2,2,2,2,2,3,0,3,2,6,0,34,0,2,0,0,40
2019ctwat_qm13,red,frc6346,frc4557,frc4055,40,40,0,9,0,2,5,5,5,2,0,0,9,0,0,0,3,6,3,0,0,12,0,3,5,5,10,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,9,0,31,0,0,0,0,40
2019ctwat_qm14,blue,frc1991,frc2067,frc175,37,50,0,9,5,5,5,0,0,5,2,2,12,0,0,0,3,6,3,0,0,12,0,5,3,5,4,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,6,0,9,1,28,0,0,0,2,37
