Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4653,15.19,8.20,0.00,4.38,1.89,2.08,1.57,-0.29,-0.15,1.23,1.83,1.82,7.94,-0.39,0.04,-0.43,0.56,-0.71,1.09,0.32,1.20,0.98,1.10,1.61,1.18,1.63,0.67,0.44,0.88,1.23,0.62,-0.11,-0.15,-0.10,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.49,1.73,2.00,0.47,4.38,-0.07,9.60,-0.09,0.29,0.09,0.17,15.19,
frc1071,19.26,11.21,0.00,3.52,0.72,0.33,-0.56,0.55,0.63,1.56,1.07,1.49,7.03,-0.16,-0.03,-0.12,0.59,2.64,0.32,0.15,0.79,3.60,5.52,1.92,1.65,1.76,4.33,1.15,1.04,0.76,1.30,0.66,0.75,0.88,0.57,0.67,0.67,0.67,0.67,0.67,0.67,1.24,0.95,0.93,0.77,3.52,0.04,14.95,0.16,0.36,0.12,0.44,19.26,
frc175,16.48,17.03,0.00,5.97,0.85,1.82,1.75,0.73,1.13,1.08,0.47,0.47,4.02,-0.38,-0.19,-0.20,1.35,2.45,1.51,0.07,-0.41,5.34,0.53,1.91,1.61,1.94,1.56,0.25,-0.25,0.45,-0.40,-0.24,-0.13,0.23,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.48,1.84,2.45,0.38,5.97,0.14,10.92,-0.04,0.46,-0.06,0.45,16.48,
frc5856,17.43,14.75,0.00,4.46,1.65,1.91,1.25,0.48,1.65,1.60,1.69,1.73,7.89,0.00,-0.06,0.07,1.69,1.28,0.52,0.34,0.42,3.07,1.52,1.34,1.05,1.82,1.60,0.05,0.01,0.05,0.19,0.40,0.24,0.20,0.16,0.67,0.67,0.67,0.67,0.67,0.67,2.53,1.38,1.32,0.57,4.46,0.07,12.55,0.07,-0.05,0.10,-0.02,17.43,
frc4572,7.33,17.53,0.00,3.99,1.09,1.29,0.84,-0.09,-1.27,0.85,0.82,0.70,1.20,-0.15,0.01,-0.16,0.19,-0.97,-0.84,0.15,0.10,-1.58,-4.85,1.67,2.07,1.31,3.62,0.70,0.68,1.07,0.18,0.36,0.05,0.81,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,0.76,1.63,1.50,-0.28,3.99,-0.04,3.24,-0.02,0.10,0.61,0.08,7.33,
frc3461,14.15,15.61,0.00,4.93,1.08,1.27,1.20,0.47,1.27,1.09,1.10,0.87,3.39,-0.55,-0.53,-0.02,0.87,1.82,0.67,0.04,0.59,3.41,4.62,1.51,1.94,1.59,1.83,0.87,-0.16,0.33,-0.03,-0.23,0.02,0.03,0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.20,2.14,1.65,0.31,4.93,0.04,8.63,-0.04,-0.05,0.55,-0.11,14.15,
frc571,20.40,10.46,0.00,6.65,1.93,2.36,1.74,0.87,-0.01,1.35,1.50,1.58,7.30,-0.12,0.17,-0.29,1.47,0.87,1.82,0.13,1.86,4.21,3.85,1.97,1.89,1.73,0.38,0.71,-0.58,1.01,0.04,-0.09,-0.20,0.22,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,2.35,1.45,2.17,0.85,6.65,-0.05,11.89,-0.09,-0.11,0.25,-0.20,20.40,
frc839,6.95,20.15,0.00,2.97,0.98,0.61,0.26,-0.19,-1.43,1.43,1.66,1.77,2.26,-0.40,-0.53,0.13,-0.55,2.02,0.66,0.08,-0.93,2.25,3.38,1.46,1.82,1.42,0.41,0.59,0.25,0.24,0.46,0.30,-0.02,0.03,-0.34,0.67,0.67,0.67,0.67,0.67,0.67,0.63,2.06,0.57,0.26,2.97,0.23,4.91,-0.21,-0.06,-0.35,-0.03,6.95,
frc1099,14.63,15.13,0.00,5.26,0.46,0.56,0.86,1.51,1.76,0.56,0.30,-0.39,0.38,-0.25,-0.10,-0.14,1.13,0.74,2.56,0.35,0.74,4.39,2.28,1.77,1.84,1.35,3.86,-0.56,0.16,-0.30,-0.23,-0.23,-0.42,-0.16,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,2.20,1.07,1.91,0.29,5.26,0.00,8.63,0.05,-0.14,0.44,0.19,14.63,
frc5746,5.91,20.10,0.00,4.07,0.27,0.11,1.25,0.94,0.87,0.43,0.39,0.38,-0.44,-0.66,-0.44,-0.22,0.90,0.98,0.56,0.43,-0.09,2.48,1.73,1.63,0.82,1.63,-0.11,-0.22,-0.32,-0.57,-0.33,0.08,-0.26,-0.04,-0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.60,1.23,2.14,-0.22,4.07,0.04,1.93,-0.25,0.00,-0.36,-0.10,5.91,
