MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019cur_qm1,blue,frc56,frc5672,frc3339,81,112,0,12,5,5,5,5,5,5,5,5,36,0,0,0,6,3,12,5,0,21,30,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,3,1,12,0,69,0,0,0,0,81
2019cur_qm1,red,frc7598,frc126,frc4028,112,81,0,15,2,5,5,5,5,5,5,5,36,0,0,0,6,6,12,0,15,24,30,5,5,5,22,5,2,5,0,5,0,5,0,2,2,2,2,2,2,6,6,3,3,15,0,82,0,0,5,0,112
2019cur_qm10,blue,frc329,frc494,frc5914,77,64,0,15,5,5,0,5,5,2,2,2,24,0,0,0,12,6,6,1,0,24,30,5,5,5,14,2,0,0,0,5,0,5,0,2,2,2,2,2,2,6,6,3,3,15,1,62,5,0,5,0,77
2019cur_qm10,red,frc1684,frc3655,frc193,64,77,0,15,2,5,2,0,5,0,5,5,15,0,0,0,0,3,6,0,13,9,0,5,5,5,12,0,2,2,5,0,0,0,2,2,2,2,2,2,2,3,6,6,0,15,0,36,0,0,0,2,64
2019cur_qm100,blue,frc126,frc1360,frc6090,78,80,0,15,2,5,5,5,5,5,5,5,30,0,0,0,6,3,6,0,0,15,30,5,5,5,18,5,2,5,5,0,0,0,2,2,2,2,2,2,2,6,3,6,1,15,0,63,2,0,0,0,78
2019cur_qm100,red,frc279,frc2607,frc2851,80,78,0,15,2,2,0,5,5,2,2,2,24,30,0,30,6,12,3,0,0,21,30,5,5,5,20,2,5,0,5,2,5,0,5,2,2,2,2,2,2,6,3,6,4,15,0,65,0,5,0,5,80
2019cur_qm101,blue,frc7590,frc1241,frc1023,85,60,0,15,5,2,2,0,0,5,5,2,33,30,0,30,3,6,12,1,0,21,30,5,5,5,16,5,5,5,5,0,5,0,5,2,2,2,2,2,2,6,6,3,4,15,0,70,0,5,0,5,85
2019cur_qm101,red,frc230,frc48,frc4285,60,85,0,15,2,2,2,5,0,5,2,2,18,30,0,0,6,3,3,0,3,12,0,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,6,3,1,15,0,42,0,2,0,0,60
2019cur_qm102,blue,frc1807,frc2056,frc1114,108,96,0,15,5,5,5,0,0,5,0,2,48,30,30,30,6,3,12,0,0,21,30,5,5,5,24,5,5,5,5,5,5,5,5,2,2,2,2,2,2,3,6,6,4,15,0,93,5,5,5,5,108
2019cur_qm102,red,frc1073,frc5987,frc78,96,108,0,15,5,5,5,5,0,2,5,5,42,30,30,0,6,3,12,0,0,21,30,5,5,5,18,5,5,5,5,5,0,5,0,2,2,2,2,2,2,6,3,6,2,15,0,81,5,0,5,0,96
2019cur_qm103,blue,frc1684,frc303,frc7553,93,61,0,12,5,5,5,5,5,5,5,5,39,0,0,0,12,6,6,0,0,24,30,5,5,5,18,5,5,5,5,2,0,5,0,2,2,2,2,2,2,3,3,6,3,12,0,81,0,0,0,0,93
2019cur_qm103,red,frc11,frc7598,frc3654,61,93,0,15,5,5,5,5,5,2,2,2,21,0,0,0,6,3,6,0,0,15,30,5,5,5,10,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,46,0,0,0,0,61
2019cur_qm104,blue,frc2834,frc173,frc7539,84,82,0,15,2,2,5,5,0,2,2,2,18,0,0,0,3,3,3,2,22,9,0,5,5,5,20,5,5,5,2,2,0,5,0,2,2,2,2,2,2,6,6,3,2,15,0,47,2,0,2,0,84
