Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc56,35.84,27.24,0.00,4.29,1.66,1.65,2.41,1.07,2.82,1.96,2.69,2.38,14.62,-1.48,-0.36,0.83,2.77,2.40,5.27,0.88,1.29,10.58,17.29,1.75,1.68,1.68,5.06,0.98,0.94,1.46,0.64,0.80,0.67,1.08,0.45,0.67,0.67,0.67,0.67,0.67,0.67,1.44,1.38,1.25,0.98,4.29,-0.01,30.26,-0.24,0.54,0.01,-0.16,35.84,
frc5672,8.13,36.89,0.00,4.84,1.40,1.13,0.84,1.70,0.61,1.17,2.13,2.06,2.72,-5.31,-2.76,-1.32,3.17,0.88,-0.13,0.43,-1.64,3.69,1.91,1.59,1.68,1.78,-1.48,-1.81,-0.47,-0.87,-0.39,-0.67,0.01,-1.33,0.30,0.67,0.67,0.67,0.67,0.67,0.67,1.72,1.01,1.67,-0.92,4.84,-0.03,4.93,-0.52,0.13,-0.83,0.18,8.13,
frc3339,29.72,31.39,0.00,3.71,2.11,1.80,1.82,1.10,0.18,1.27,1.36,0.89,15.11,3.64,0.89,2.03,1.46,-1.31,4.07,1.07,1.45,4.34,10.47,1.86,1.52,1.64,5.12,2.85,1.27,1.96,0.88,1.24,1.37,0.89,0.99,0.67,0.67,0.67,0.67,0.67,0.67,1.25,1.82,1.21,0.96,3.71,-0.01,24.57,0.79,-0.14,0.73,0.59,29.72,
frc7598,26.71,30.03,0.00,5.01,0.88,2.31,2.71,1.07,1.96,2.01,0.57,1.61,7.27,-5.48,-1.33,-3.98,2.82,0.54,3.99,-0.55,2.32,7.51,8.34,1.94,1.53,1.66,4.60,0.98,0.98,1.03,1.21,-0.19,-1.21,0.12,-1.05,0.67,0.67,0.67,0.67,0.67,0.67,2.22,2.04,0.86,0.16,5.01,-0.03,19.37,-0.04,-0.77,0.62,-1.20,26.71,
frc126,38.80,36.16,0.00,5.64,1.09,1.36,2.37,1.71,1.86,2.31,1.68,1.78,16.38,4.94,3.65,3.12,2.30,2.70,2.43,0.24,3.31,7.74,11.68,2.03,1.70,1.77,5.74,0.53,2.04,1.23,1.29,1.35,2.12,1.12,2.47,0.67,0.67,0.67,0.67,0.67,0.67,1.64,1.52,1.59,0.76,5.64,0.12,29.85,-0.18,0.58,0.56,0.68,38.80,
frc4028,27.85,25.36,0.00,3.97,0.89,1.07,0.44,1.17,-0.10,1.22,1.84,1.47,9.52,7.10,-1.55,9.65,3.65,0.72,2.24,0.34,1.16,5.72,6.46,0.84,1.66,1.68,7.48,1.32,0.71,1.16,-0.74,1.35,1.51,1.71,1.33,0.67,0.67,0.67,0.67,0.67,0.67,2.41,1.84,0.84,1.07,3.97,0.08,22.72,0.13,1.97,-0.09,1.41,27.85,
frc329,32.57,19.93,0.00,3.97,1.52,2.30,0.86,0.96,0.53,2.03,1.51,0.44,11.52,10.00,5.63,2.33,3.38,2.72,4.21,0.11,1.53,10.30,19.07,1.42,1.49,1.67,5.25,1.53,0.45,2.00,-0.41,1.93,-0.14,2.15,-0.40,0.67,0.67,0.67,0.67,0.67,0.67,2.86,1.61,0.52,1.71,3.97,0.09,27.07,1.05,0.86,1.14,0.37,32.57,
frc494,22.66,28.60,0.00,4.05,1.69,1.54,0.73,1.23,2.35,0.31,-0.18,0.37,8.03,6.80,6.50,1.59,2.20,2.73,-1.33,-0.01,1.76,3.55,1.84,1.08,1.70,1.15,5.27,0.62,0.19,0.42,-0.14,1.73,0.66,1.22,0.22,0.67,0.67,0.67,0.67,0.67,0.67,1.48,1.96,1.70,0.74,4.05,0.17,16.85,1.51,0.30,1.60,0.44,22.66,
frc5914,22.29,23.27,0.00,5.05,1.02,0.98,0.51,1.20,1.95,1.38,0.68,1.35,7.41,-1.75,-0.41,-2.70,3.16,1.26,1.22,-0.16,-0.76,5.84,6.16,1.93,1.58,1.69,4.75,-0.11,0.15,-0.45,0.50,0.69,0.60,1.23,1.02,0.67,0.67,0.67,0.67,0.67,0.67,1.86,2.36,0.88,0.46,5.05,0.15,17.99,0.72,0.59,0.70,0.59,22.29,
frc1684,28.60,38.15,0.00,4.14,1.17,1.58,1.13,0.27,0.78,1.33,0.58,1.19,10.61,7.60,4.60,3.34,0.70,2.60,2.00,0.26,1.33,5.58,9.45,2.01,1.46,1.71,6.94,1.88,1.14,2.30,2.60,0.35,0.61,0.26,1.36,0.67,0.67,0.67,0.67,0.67,0.67,2.32,1.44,0.17,0.28,4.14,-0.11,23.14,0.91,0.26,0.56,0.61,28.60,
