MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019dal_qm1,blue,frc2673,frc3990,frc5125,67,82,0,15,5,5,5,0,5,5,5,5,33,0,0,0,3,3,3,1,0,9,0,5,5,5,10,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,0,15,0,52,0,0,0,0,67
2019dal_qm1,red,frc1922,frc2202,frc120,82,67,0,15,2,5,5,5,5,5,5,5,30,0,0,0,12,3,3,0,3,18,30,5,5,5,16,5,0,5,2,0,5,0,2,2,2,2,2,2,2,3,6,6,3,15,0,64,0,0,0,2,82
2019dal_qm10,blue,frc6455,frc6024,frc2619,61,76,0,15,5,5,5,5,0,5,5,5,27,0,0,0,0,3,6,0,0,9,0,5,5,5,10,2,5,2,5,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,46,0,0,0,0,61
2019dal_qm10,red,frc4593,frc2883,frc1506,76,61,0,12,5,5,5,5,5,2,2,2,33,30,30,0,0,12,3,0,0,15,30,5,5,5,16,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,3,4,12,0,64,5,0,5,0,76
2019dal_qm100,blue,frc5740,frc2075,frc2869,53,84,0,15,2,5,5,2,0,5,5,5,15,0,0,0,0,3,3,1,3,6,0,5,5,5,14,2,2,2,2,0,0,2,0,2,2,2,2,2,2,6,3,6,0,15,0,35,0,0,0,0,53
2019dal_qm100,red,frc2638,frc4003,frc558,84,53,0,15,5,5,5,5,0,5,5,5,30,0,0,0,6,6,12,1,3,24,30,5,5,5,12,5,5,2,5,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,66,0,0,0,0,84
2019dal_qm101,blue,frc1418,frc2611,frc4680,83,103,0,12,5,5,5,5,5,5,5,5,33,0,0,0,6,12,6,0,0,24,30,5,5,5,14,5,2,5,2,0,0,0,5,2,2,2,2,2,2,3,3,6,1,12,0,71,0,0,0,0,83
2019dal_qm101,red,frc694,frc1922,frc340,103,83,0,15,5,5,5,5,5,5,5,5,42,0,0,0,12,6,6,0,0,24,30,5,5,5,22,5,5,5,5,5,2,5,2,2,2,2,2,2,2,6,3,6,3,15,0,88,0,0,0,0,103
2019dal_qm102,blue,frc6455,frc5926,frc7530,64,70,0,15,2,5,5,5,2,2,5,5,15,0,0,0,3,12,6,1,3,21,30,5,5,5,10,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,46,0,0,0,0,64
2019dal_qm102,red,frc2614,frc3550,frc6088,70,64,0,15,5,5,5,5,5,5,5,5,27,0,0,0,3,6,6,1,3,15,30,5,5,5,10,0,0,0,5,0,2,0,2,2,2,2,2,2,2,3,6,6,3,15,0,52,0,0,0,0,70
2019dal_qm103,blue,frc4096,frc6016,frc4970,72,79,0,15,5,5,5,5,5,2,5,5,24,0,0,0,6,3,12,0,0,21,30,5,5,5,12,5,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,57,0,0,0,0,72
2019dal_qm103,red,frc1718,frc2957,frc172,79,72,0,12,5,5,5,5,5,5,5,5,30,0,0,0,12,3,6,0,0,21,30,5,5,5,16,0,0,0,2,5,0,5,0,2,2,2,2,2,2,6,3,3,3,12,0,67,2,0,2,0,79
2019dal_qm104,blue,frc2994,frc7523,frc453,58,73,0,15,5,5,5,5,5,5,5,2,21,0,0,0,12,3,3,2,0,18,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,43,0,0,0,0,58
2019dal_qm104,red,frc3641,frc7645,frc4039,73,58,0,6,2,2,2,0,5,5,5,5,27,30,0,0,6,3,12,0,6,18,30,5,0,5,16,5,5,5,5,0,2,0,2,2,2,2,2,2,2,3,6,3,4,6,0,61,0,5,0,0,73
2019dal_qm105,blue,frc2702,frc1506,frc4728,89,115,0,9,2,2,5,5,0,5,5,5,39,30,0,30,6,12,3,2,0,21,30,5,5,5,20,2,5,0,5,5,5,5,5,2,2,2,2,2,2,3,3,3,2,9,1,80,0,5,0,5,89
