MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019dar_qm1,blue,frc3044,frc868,frc51,89,58,0,15,0,5,5,5,5,5,5,5,33,0,0,0,3,12,6,0,0,21,30,5,5,5,20,5,2,5,2,5,0,5,0,2,2,2,2,2,2,6,3,6,3,15,0,74,2,0,2,0,89
2019dar_qm1,red,frc3381,frc7651,frc4381,58,89,0,12,2,5,2,0,0,5,5,5,21,0,0,0,0,3,12,0,0,15,30,5,5,5,10,5,0,5,0,5,0,2,0,2,2,2,2,2,2,3,6,3,1,12,0,46,0,0,2,0,58
2019dar_qm10,blue,frc175,frc1676,frc3667,82,81,0,15,5,5,5,0,5,2,2,2,27,0,0,0,6,6,12,0,0,24,30,5,5,5,16,5,5,0,5,0,0,2,0,2,2,2,2,2,2,3,6,6,3,15,0,67,5,0,5,0,82
2019dar_qm10,red,frc88,frc5084,frc191,81,82,0,15,5,5,5,5,5,5,5,5,36,0,0,0,12,6,0,0,0,18,30,5,5,5,12,5,5,5,5,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,66,0,0,0,0,81
2019dar_qm100,blue,frc217,frc365,frc7673,66,83,0,12,5,5,5,5,0,5,5,5,33,0,0,0,6,0,3,2,0,9,0,5,5,5,12,5,0,5,2,5,0,5,0,2,2,2,2,2,2,3,3,6,0,12,0,54,0,0,0,0,66
2019dar_qm100,red,frc1676,frc503,frc125,83,66,0,12,5,0,0,5,0,5,5,2,30,30,30,0,6,12,3,0,6,21,30,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,3,4,12,0,65,5,0,5,0,83
2019dar_qm101,blue,frc5943,frc1024,frc3555,63,72,0,15,5,5,5,5,2,2,2,2,18,0,0,0,3,3,6,0,0,12,0,5,5,5,18,2,5,2,5,2,0,2,0,2,2,2,2,2,2,6,6,3,0,15,0,48,0,0,0,0,63
2019dar_qm101,red,frc6806,frc1923,frc868,72,63,0,15,5,5,5,5,0,2,2,5,30,0,0,0,6,3,0,0,0,9,0,5,5,5,18,5,5,5,5,2,0,5,0,2,2,2,2,2,2,6,3,6,2,15,0,57,2,0,2,0,72
2019dar_qm102,blue,frc5567,frc1918,frc7480,76,76,0,12,2,2,2,5,5,2,2,2,18,0,0,0,12,3,3,0,6,18,30,5,5,5,22,0,2,2,2,5,2,5,0,2,2,2,2,2,2,3,6,3,2,12,0,58,5,2,5,0,76
2019dar_qm102,red,frc771,frc772,frc1690,76,76,0,15,5,5,5,0,5,5,5,5,33,0,0,0,3,12,3,2,0,18,30,5,5,5,10,0,5,0,5,5,0,5,0,2,2,2,2,2,2,6,3,6,2,15,0,61,0,0,0,0,76
