MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019flor_qm1,blue,frc1744,frc3932,frc7450,44,33,0,9,5,5,0,0,0,5,5,2,12,0,0,0,12,3,3,0,3,18,30,5,5,3,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,9,0,32,0,0,0,0,44
2019flor_qm1,red,frc5816,frc6473,frc3653,33,44,0,12,2,2,2,2,0,2,2,2,0,0,0,0,3,3,3,1,0,9,0,5,5,5,12,0,2,0,0,0,0,2,0,2,2,2,2,2,2,6,3,3,0,12,0,21,0,0,2,0,33
2019flor_qm10,blue,frc1382,frc4065,frc5722,34,29,0,9,2,5,5,0,5,5,2,5,15,0,0,0,3,3,0,0,0,6,0,5,5,0,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,2,9,0,25,0,0,0,0,34
2019flor_qm10,red,frc6722,frc1523,frc7728,29,34,0,9,2,2,5,0,0,5,5,2,9,0,0,0,3,3,3,0,0,9,0,5,3,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,20,0,0,0,0,29
2019flor_qm11,blue,frc2152,frc2383,frc6850,65,38,0,12,2,5,5,0,5,5,5,5,18,0,0,0,6,12,3,0,12,21,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,41,0,0,0,0,65
2019flor_qm11,red,frc4622,frc7231,frc86,38,65,0,12,2,5,5,2,5,2,2,2,15,0,0,0,0,0,3,4,0,3,0,5,5,5,8,0,0,0,0,5,0,5,0,2,2,2,2,2,2,3,6,3,0,12,0,26,0,0,0,0,38
2019flor_qm12,blue,frc179,frc5557,frc5145,41,30,0,15,5,5,5,0,0,2,5,2,12,0,0,0,3,3,0,1,0,6,0,5,5,5,8,0,0,2,2,2,0,2,0,2,2,2,2,2,2,6,3,6,2,15,0,26,0,0,0,0,41
2019flor_qm12,red,frc5842,frc3932,frc3627,30,41,0,9,2,2,2,0,0,5,2,2,3,0,0,0,3,12,3,0,3,15,30,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,9,0,18,0,0,0,0,30
2019flor_qm13,blue,frc7026,frc7193,frc6473,33,17,0,12,2,2,2,0,5,5,2,2,6,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,21,2,0,0,2,33
2019flor_qm13,red,frc7500,frc4471,frc5283,17,33,0,6,2,2,2,2,0,2,2,2,0,0,0,0,6,3,3,0,0,9,0,5,5,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,11,0,0,0,0,17
2019flor_qm14,blue,frc945,frc1065,frc79,27,40,0,9,2,5,5,0,0,5,5,2,12,0,0,0,0,3,3,0,0,6,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,18,0,0,0,0,27
2019flor_qm14,red,frc5276,frc4118,frc5816,40,27,0,15,0,0,0,5,2,0,0,2,3,0,0,0,3,3,0,0,0,6,0,5,5,5,16,2,2,2,0,0,2,2,0,2,2,2,2,2,2,3,6,6,2,15,0,25,0,0,2,0,40
