Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc1744,23.06,15.97,-0.01,3.12,2.97,2.71,1.86,0.22,0.13,2.40,1.35,1.74,9.88,-0.24,0.25,0.00,1.62,2.86,0.51,-0.14,1.78,5.25,13.92,1.98,1.52,1.63,3.04,0.24,0.73,-0.09,0.63,0.57,0.01,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.91,1.01,1.29,1.15,3.12,0.30,18.17,0.84,-0.08,0.61,0.05,23.06,
frc3932,15.93,17.54,0.02,3.30,0.82,1.35,0.50,-0.31,-0.31,1.28,1.94,0.46,2.54,-0.43,-0.77,0.00,1.82,2.74,4.97,0.56,0.94,9.23,15.93,2.15,1.82,0.71,-0.10,0.65,-0.20,0.48,0.39,0.27,0.01,-0.02,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.17,1.90,0.87,0.89,3.30,0.15,11.68,-0.39,-0.04,-0.26,-0.11,15.93,
frc7450,10.49,8.50,0.00,4.95,0.61,1.15,0.63,-0.30,-0.10,1.44,1.13,0.86,2.50,2.86,0.40,0.00,3.45,-0.10,-0.50,-0.17,-0.85,2.98,2.73,1.71,1.51,1.53,0.91,-0.55,1.42,-0.53,0.49,-0.42,0.92,-0.45,0.73,0.67,0.67,0.67,0.67,0.67,0.67,2.11,2.59,0.95,0.62,4.95,-0.19,6.39,-0.03,0.28,-0.07,0.03,10.49,
frc5816,13.57,12.31,-0.01,5.69,0.62,0.45,0.59,3.06,0.84,0.37,0.55,0.17,1.60,-1.03,-0.54,0.00,0.75,0.13,1.01,-0.13,-0.79,2.02,-3.26,1.73,1.71,1.87,5.06,0.45,0.73,0.58,-0.09,0.05,0.21,0.38,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.94,1.98,1.50,0.07,5.69,-0.07,8.68,-0.56,-0.18,0.32,-0.08,13.57,
frc6473,13.91,5.58,-0.00,2.73,1.22,0.82,0.80,0.20,-0.08,0.82,0.94,0.94,1.69,-0.83,-0.08,0.00,-1.63,4.17,0.81,0.03,1.85,3.43,3.10,1.30,1.64,1.54,4.21,0.57,0.24,0.62,-0.36,0.05,0.27,-0.09,0.10,0.67,0.67,0.67,0.67,0.67,0.67,0.86,0.78,0.72,0.70,2.73,0.16,9.33,-0.03,0.72,0.61,0.60,13.91,
frc3653,13.09,16.32,0.01,5.72,1.26,1.53,-0.14,-0.49,1.01,1.78,2.31,1.89,4.38,0.41,-0.62,0.00,1.90,1.07,-0.37,0.33,0.85,2.57,2.75,2.06,1.89,1.30,-0.44,-0.59,-0.29,-0.46,0.10,-0.29,-0.31,0.22,-0.22,0.67,0.67,0.67,0.67,0.67,0.67,2.66,1.59,0.98,0.24,5.72,-0.00,6.51,0.20,-0.10,0.02,-0.19,13.09,
frc1382,20.76,15.62,0.03,5.22,1.69,1.12,1.87,-0.39,2.48,2.12,1.36,1.90,9.43,4.55,0.69,0.00,0.98,1.18,2.11,-0.00,-1.46,4.29,5.00,1.84,1.65,1.06,3.24,0.58,1.00,1.09,1.07,0.00,-0.43,0.15,0.15,0.67,0.67,0.67,0.67,0.67,0.67,2.17,2.22,1.21,1.01,5.22,0.32,16.96,0.31,-0.03,0.31,0.03,20.76,
frc4065,12.19,8.70,0.01,3.20,0.76,1.77,1.69,0.77,-0.32,1.78,1.65,1.29,5.26,-0.96,-0.12,0.00,0.70,0.98,-0.18,0.14,0.44,1.63,-1.80,1.93,1.80,1.37,1.64,0.77,-0.46,0.44,-0.59,0.44,0.06,0.90,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,0.89,1.22,0.58,0.90,3.20,-0.04,8.54,0.31,-0.06,0.30,0.06,12.19,
frc5722,6.20,11.02,-0.01,0.81,1.21,1.81,1.03,1.33,1.52,0.86,0.85,1.60,3.63,1.35,-1.21,0.00,-0.79,0.34,0.38,0.26,1.05,-0.03,-5.32,0.71,1.33,0.62,0.74,-0.54,-0.43,-0.21,-0.24,0.05,0.06,-0.04,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.26,1.98,2.13,0.10,0.81,-0.24,4.34,-0.29,0.10,-0.10,-0.13,6.20,
frc6722,8.99,10.55,0.04,3.04,0.85,1.17,1.67,0.27,-0.56,2.29,0.99,1.58,3.49,2.05,-0.56,0.00,0.69,0.71,-1.24,0.32,1.88,0.14,-1.53,1.88,1.37,1.45,0.40,0.24,-0.53,0.99,-0.20,-0.25,0.08,0.20,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.67,0.77,1.32,0.37,3.04,0.13,4.03,-0.08,0.18,-0.50,0.09,8.99,
frc1523,16.97,19.72,0.01,4.25,2.55,1.83,2.16,-0.38,-0.70,1.13,1.87,1.63,9.05,-1.19,-0.38,0.00,0.34,0.75,2.59,-0.44,-0.33,3.65,4.65,1.57,1.45,1.72,0.34,-0.06,0.50,-0.25,0.22,-0.02,0.80,0.36,0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.43,2.62,1.23,0.12,4.25,0.05,13.04,1.14,-0.18,0.29,-0.17,16.97,
frc7728,14.88,17.29,0.00,5.73,-0.09,-0.12,0.20,-0.05,0.91,0.35,0.94,0.32,-1.73,-0.78,-0.88,0.00,-0.02,0.65,3.35,0.23,4.47,4.05,2.83,1.65,1.58,1.71,2.35,0.37,1.09,0.08,0.85,0.07,0.01,-0.76,0.34,0.67,0.67,0.67,0.67,0.67,0.67,2.36,1.72,2.07,0.29,5.73,0.19,4.67,-0.23,0.04,-0.38,-0.21,14.88,
frc2152,29.10,11.64,-0.01,5.66,1.88,2.00,1.73,1.05,0.91,1.61,1.92,1.90,7.46,2.12,-0.66,0.00,3.15,3.04,2.76,0.28,6.13,8.92,18.03,1.16,1.53,1.99,0.94,0.27,-0.25,1.12,0.03,0.25,-0.24,-0.45,-0.27,0.67,0.67,0.67,0.67,0.67,0.67,1.22,2.18,2.25,1.67,5.66,-0.16,17.32,-0.33,-0.12,-0.26,-0.04,29.10,
frc2383,26.49,19.03,-0.01,2.94,1.49,1.54,1.74,1.76,0.74,2.36,1.99,2.10,9.28,-1.29,-0.27,0.00,3.31,3.97,3.17,0.46,2.57,10.48,19.27,1.69,1.31,2.07,1.23,-0.11,0.55,-0.70,1.16,-0.24,0.63,-0.32,0.97,0.67,0.67,0.67,0.67,0.67,0.67,0.84,1.27,1.39,1.21,2.94,0.14,20.99,-0.33,-0.01,-0.41,0.20,26.49,
frc6850,16.83,19.48,0.02,4.63,1.86,2.23,2.69,-0.48,0.66,1.81,2.13,1.69,9.01,3.68,-0.09,0.00,0.92,0.80,0.89,-0.07,0.79,2.61,2.33,2.20,2.06,0.99,-0.23,0.52,-0.49,-0.27,-0.16,-0.01,-0.22,0.01,-0.30,0.67,0.67,0.67,0.67,0.67,0.67,2.07,0.97,1.56,0.62,4.63,0.25,11.39,0.70,-0.04,0.78,-0.08,16.83,
frc4622,10.24,12.72,-0.01,4.38,0.59,1.80,2.17,0.60,2.13,1.19,1.98,1.19,6.02,-0.46,-0.34,0.00,-1.34,0.27,-0.87,0.13,-0.23,-1.80,-8.95,1.43,1.74,1.92,1.87,-0.03,0.31,-0.51,0.61,0.05,0.04,0.12,0.18,0.67,0.67,0.67,0.67,0.67,0.67,0.42,2.10,1.15,0.29,4.38,-0.03,6.10,-0.03,-0.02,0.03,-0.01,10.24,
frc7231,9.43,11.92,0.00,5.27,0.93,1.26,1.65,0.08,0.40,0.52,0.50,1.29,1.26,-0.20,-0.62,0.00,0.64,0.68,-0.57,0.97,0.67,0.43,-3.47,1.21,1.82,1.48,1.80,-0.14,-0.82,0.15,-0.39,0.85,-0.23,0.81,0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.87,1.39,2.48,0.27,5.27,-0.01,3.49,0.33,-0.12,0.19,0.23,9.43,
frc86,28.69,18.88,0.01,2.18,0.72,1.01,1.60,2.43,1.22,0.86,0.72,0.87,12.74,3.56,3.13,0.00,3.50,2.39,2.44,0.03,-1.64,8.20,16.43,1.97,1.56,1.41,7.21,3.17,0.84,2.50,0.93,2.45,-0.03,2.62,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.32,1.58,0.75,1.14,2.18,-0.16,28.14,0.59,0.17,0.52,-0.14,28.69,
frc179,21.89,15.21,-0.01,5.89,1.15,1.41,1.50,-0.07,0.18,0.57,0.57,0.39,5.78,1.91,2.56,0.00,3.15,2.00,0.33,0.15,-1.19,5.52,10.58,1.23,1.70,1.97,5.89,1.34,0.68,1.54,0.65,2.29,0.28,1.68,0.03,0.67,0.67,0.67,0.67,0.67,0.67,0.94,2.10,2.26,1.43,5.89,0.33,17.19,0.66,-0.13,0.96,0.08,21.89,
frc5557,13.14,10.90,0.00,5.35,0.97,1.56,1.16,0.37,-0.73,0.59,0.80,-0.08,1.01,0.67,-0.00,0.00,0.84,2.16,0.90,0.05,1.58,4.12,8.44,1.47,1.78,1.75,1.07,-0.34,0.12,0.19,0.45,0.23,0.01,0.07,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.62,1.56,2.08,0.38,5.35,-0.06,6.20,0.15,0.24,0.05,0.11,13.14,
frc5145,9.43,20.07,0.00,3.43,1.14,1.17,1.72,-0.06,0.76,1.80,2.34,1.57,5.10,-1.17,-1.17,0.00,0.98,0.58,0.66,0.62,-1.10,1.83,1.36,1.43,1.72,1.15,0.17,-0.56,0.31,-0.09,0.41,-0.33,-0.27,0.25,0.33,0.67,0.67,0.67,0.67,0.67,0.67,0.98,1.31,1.52,-0.25,3.43,-0.04,7.10,-0.50,-0.20,-0.45,-0.19,9.43,
frc5842,13.16,13.03,-0.01,3.84,0.28,0.07,0.93,1.43,0.47,0.87,0.43,0.38,0.89,2.86,3.45,0.00,3.57,1.16,-0.70,-0.41,2.20,3.71,3.52,1.08,1.27,1.38,2.53,0.57,0.55,0.80,0.21,0.32,-0.54,0.35,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.87,2.36,1.90,0.07,3.84,0.10,7.13,0.38,-0.20,0.37,-0.31,13.16,
frc3627,11.33,16.96,-0.00,2.11,0.86,0.78,0.73,0.46,1.14,1.38,0.78,1.06,1.85,-1.58,-0.83,0.00,0.73,2.34,2.85,0.06,1.23,5.58,11.35,1.00,1.10,0.93,0.57,-0.05,0.56,-0.13,-0.12,-0.11,0.14,-0.35,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,0.83,1.45,1.51,0.61,2.11,-0.12,8.00,-0.10,-0.12,-0.47,-0.16,11.33,
frc7026,11.56,10.85,0.00,5.42,1.13,1.00,1.22,-1.02,1.35,2.43,1.37,2.64,5.57,-0.84,-0.25,0.00,1.37,-0.50,1.72,0.67,-2.30,2.67,0.24,0.88,1.78,1.91,0.19,-0.18,-0.31,0.25,0.62,0.06,-0.06,-0.07,0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.95,0.88,2.99,0.32,5.42,0.27,8.43,0.02,-0.04,-0.41,0.25,11.56,
frc7193,9.51,12.27,-0.00,3.51,1.15,1.40,1.08,0.64,1.04,0.95,1.00,0.60,3.19,0.15,-0.71,0.00,0.31,-0.65,1.18,-0.08,1.81,0.89,-2.96,1.30,1.97,1.45,0.12,-0.52,-0.18,-0.11,-0.32,-0.13,-0.03,0.14,0.22,0.67,0.67,0.67,0.67,0.67,0.67,0.61,1.53,0.68,0.69,3.51,-0.18,4.20,0.30,-0.07,-0.00,0.23,9.51,
frc7500,19.96,11.36,0.01,4.08,1.06,0.52,1.55,1.10,1.21,1.33,0.43,1.43,4.52,0.50,0.38,0.00,3.27,0.39,1.63,-0.05,1.77,5.00,3.31,1.65,1.88,1.26,4.58,1.08,0.14,0.29,0.05,0.59,0.40,0.53,0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.33,0.72,1.42,1.07,4.08,-0.03,14.10,0.46,-0.03,0.62,0.24,19.96,
frc4471,9.11,23.08,0.00,2.69,0.75,0.82,1.12,0.65,1.28,0.97,1.22,0.90,3.38,-2.86,-0.66,0.00,0.78,1.68,0.61,0.85,0.70,2.96,-1.99,1.65,1.56,1.38,-0.62,0.44,0.11,0.55,0.02,-0.45,-0.14,-0.45,-0.43,0.67,0.67,0.67,0.67,0.67,0.67,0.52,1.17,1.37,-0.72,2.69,-0.10,5.71,-0.79,-0.06,-0.85,-0.12,9.11,
frc5283,2.75,13.92,0.01,2.14,0.34,0.88,0.22,-0.22,-0.24,0.06,0.16,-0.03,-1.53,1.03,0.38,0.00,1.52,1.57,0.25,-0.42,-2.51,3.03,4.53,1.86,1.49,0.87,1.61,-0.77,0.64,-0.52,1.86,-0.19,0.51,-0.11,1.05,0.67,0.67,0.67,0.67,0.67,0.67,0.68,0.71,1.52,0.02,2.14,-0.06,3.11,0.43,-0.04,0.26,-0.02,2.75,
frc945,4.47,7.53,0.01,2.99,0.89,1.18,1.26,-0.07,1.46,1.00,0.58,1.19,3.32,-0.39,0.22,0.00,0.31,-0.37,-0.20,-0.16,-3.47,-0.18,-4.75,1.64,1.57,0.66,1.80,0.25,-0.08,-0.13,-0.09,-0.04,0.36,-0.10,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.52,1.91,1.92,-0.18,2.99,-0.05,4.94,0.26,0.02,0.54,0.12,4.47,
frc1065,12.09,16.95,-0.11,1.98,0.36,0.44,0.92,1.24,-0.48,1.92,1.89,0.19,3.52,3.42,-0.07,0.00,0.16,1.45,0.10,-0.32,3.01,1.68,-1.63,1.11,1.58,1.68,1.99,0.39,-0.28,0.33,-0.10,1.15,-0.41,1.15,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,0.72,0.40,1.45,0.13,1.98,0.28,7.20,0.73,-0.15,0.73,-0.29,12.09,
frc79,14.67,25.53,0.00,5.88,1.11,1.96,2.03,0.49,0.25,2.06,1.49,1.56,6.75,-1.42,-0.33,0.00,-0.11,0.73,-0.02,0.44,2.05,0.78,-1.38,1.45,1.79,2.05,-0.79,0.15,0.05,0.15,-0.41,-0.02,0.11,0.07,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.69,2.32,1.87,-0.43,5.88,0.07,6.74,-0.37,-0.17,-0.12,-0.22,14.67,
frc5276,12.89,6.32,0.01,4.35,1.11,1.73,1.00,-0.41,-0.77,1.63,1.99,1.87,5.43,-0.69,-0.46,0.00,-0.36,-0.46,0.57,0.19,1.69,-0.14,-3.30,1.05,1.02,2.21,1.55,0.46,-0.00,0.35,0.06,-0.23,0.94,0.29,0.20,0.67,0.67,0.67,0.67,0.67,0.67,0.95,1.63,2.46,0.51,4.35,0.19,6.84,-0.10,0.21,0.10,-0.08,12.89,
frc4118,15.95,11.56,0.02,5.09,0.34,0.58,0.68,2.62,1.09,0.21,-0.21,0.08,1.56,1.36,0.91,0.00,1.16,1.06,1.25,-0.54,-0.04,3.08,1.54,1.66,1.37,1.82,6.25,1.16,0.31,1.15,-0.00,0.48,0.42,0.39,-0.22,0.67,0.67,0.67,0.67,0.67,0.67,1.24,2.04,1.78,0.65,5.09,0.02,10.88,0.12,0.18,0.31,-0.02,15.95,
frc1251,11.15,9.37,0.00,2.54,1.01,0.80,1.27,1.09,0.84,0.80,1.04,1.58,4.08,0.21,-0.29,0.00,0.19,0.40,2.16,0.33,0.71,2.82,1.23,0.57,1.30,1.97,0.99,0.13,0.23,-0.13,0.49,-0.20,0.27,-0.46,0.02,0.67,0.67,0.67,0.67,0.67,0.67,0.99,1.01,0.88,0.67,2.54,0.26,7.90,-0.33,0.47,-0.37,0.30,11.15,
frc801,-4.99,11.16,-0.01,-0.67,0.56,0.40,0.57,0.36,-0.25,0.84,0.58,0.36,-2.38,-1.10,-0.25,0.00,0.37,-0.31,0.40,0.08,-0.42,-0.53,-1.82,0.61,0.53,-0.06,-0.98,-0.48,-0.36,-0.16,-0.33,-0.31,-0.17,0.06,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.80,1.82,1.47,-0.87,-0.67,0.15,-3.90,-0.25,-0.23,-0.03,-0.26,-4.99,
frc3164,12.14,16.79,-0.02,4.55,1.10,0.74,1.56,-0.04,-0.38,1.51,1.83,1.16,4.23,-0.02,0.07,0.00,0.60,0.50,0.47,-0.10,2.44,1.71,-1.10,1.94,1.13,1.80,-0.77,-0.19,-0.10,0.07,0.53,-0.06,-0.06,-0.20,0.08,0.67,0.67,0.67,0.67,0.67,0.67,2.24,0.89,2.30,0.02,4.55,-0.09,5.16,0.12,-0.11,0.45,-0.07,12.14,
frc6527,16.25,11.91,-0.01,5.80,0.51,0.68,0.27,-0.24,-0.13,1.28,0.72,1.42,-0.27,-0.98,-0.59,0.00,0.49,2.34,2.01,-0.22,2.17,5.01,0.33,1.78,1.67,2.13,3.54,0.30,0.05,-0.47,0.35,0.34,0.87,-0.34,0.32,0.67,0.67,0.67,0.67,0.67,0.67,1.91,1.35,1.60,0.50,5.80,-0.05,8.28,0.24,0.46,-0.03,0.51,16.25,
frc744,25.22,11.31,-0.01,3.02,1.88,1.07,1.66,0.46,0.40,0.89,0.97,1.08,8.36,2.61,3.65,0.00,2.85,2.86,3.10,-0.30,1.88,8.92,16.46,1.40,1.62,2.14,3.04,1.14,0.64,0.83,0.47,0.38,0.43,0.30,0.57,0.67,0.67,0.67,0.67,0.67,0.67,0.62,0.74,1.26,1.57,3.02,0.05,20.32,1.36,0.07,1.25,-0.14,25.22,
frc7774,4.21,10.91,-0.00,0.68,0.64,0.91,1.03,1.18,-0.84,1.23,1.54,0.56,0.75,-1.28,-0.63,0.00,1.63,1.58,-1.17,-0.00,0.15,2.02,2.02,0.92,1.30,1.00,0.62,-0.16,0.32,-0.61,-0.11,-0.02,0.07,0.12,0.12,0.67,0.67,0.67,0.67,0.67,0.67,2.35,0.45,1.47,-0.20,0.68,0.05,3.39,-0.17,0.15,-0.32,-0.05,4.21,
frc386,34.59,24.27,0.03,6.14,1.66,1.93,2.09,2.05,1.78,2.43,2.20,1.02,10.95,0.17,0.44,0.00,4.26,2.73,3.11,0.79,2.73,10.18,25.84,2.03,1.62,1.68,4.57,0.69,0.92,0.42,0.85,0.23,0.28,0.94,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,2.32,3.16,0.96,1.68,6.14,0.02,25.70,0.00,-0.05,0.42,0.06,34.59,
frc5753,15.07,11.52,-0.01,1.37,1.07,1.21,1.88,1.83,2.86,1.95,1.68,1.96,7.55,-1.26,-0.99,0.00,0.07,2.23,0.66,-0.41,1.01,2.96,0.13,1.01,1.17,1.62,2.19,-0.03,0.18,-0.15,0.14,-0.30,0.24,-0.38,0.40,0.67,0.67,0.67,0.67,0.67,0.67,0.85,0.25,1.92,0.66,1.37,-0.04,12.71,-0.39,-0.03,-0.40,0.37,15.07,
