MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019flwp_qm1,blue,frc5329,frc2797,frc7408,9,55,0,6,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,1,3,0,0,3,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,6,0,0,0,0,0,0,9
2019flwp_qm1,red,frc1523,frc1065,frc7026,55,9,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,1,3,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,37,0,0,0,0,55
2019flwp_qm10,blue,frc5196,frc7489,frc6685,15,42,0,3,2,2,2,0,0,5,5,2,6,0,0,0,3,3,0,1,0,6,0,5,3,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,3,0,12,0,0,0,0,15
2019flwp_qm10,red,frc1744,frc3410,frc1592,42,15,0,6,5,5,5,0,0,5,2,2,18,0,0,0,0,3,6,0,3,9,0,5,3,5,6,5,0,5,0,0,0,2,0,2,2,2,2,2,2,3,6,3,2,6,0,33,0,0,0,0,42
2019flwp_qm11,blue,frc2425,frc5283,frc4064,30,124,0,12,5,2,5,0,0,5,2,2,9,0,0,0,3,3,3,17,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,18,0,0,0,0,30
2019flwp_qm11,red,frc180,frc7026,frc59,124,30,0,15,5,5,5,0,0,5,5,5,27,0,0,0,12,6,3,0,51,21,30,5,5,5,10,5,0,5,0,2,0,2,0,2,2,2,2,2,2,3,6,6,3,15,0,58,0,0,5,0,124
2019flwp_qm12,blue,frc7575,frc7442,frc7833,24,45,0,6,5,2,5,0,0,5,5,5,15,0,0,0,0,3,0,0,0,3,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,18,0,0,0,0,24
2019flwp_qm12,red,frc5410,frc5329,frc1369,45,24,0,9,2,2,0,5,5,5,5,5,15,0,0,0,6,3,6,0,0,15,30,5,3,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,9,0,36,0,0,0,0,45
2019flwp_qm13,blue,frc7487,frc6823,frc4471,37,53,0,12,5,5,5,5,5,5,2,2,18,0,0,0,3,0,0,0,0,3,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,0,25,0,0,0,0,37
2019flwp_qm13,red,frc3653,frc7717,frc5665,53,37,0,15,5,5,5,5,5,2,2,2,18,0,0,0,3,3,6,0,0,12,0,5,5,5,8,2,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,38,0,0,0,0,53
