MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019ftcmp_qm1,blue,frc5414,frc2714,frc7872,64,66,0,15,5,5,5,5,5,5,5,5,24,0,0,0,12,3,0,1,0,15,30,5,5,5,10,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,49,2,0,2,0,64
2019ftcmp_qm1,red,frc3676,frc7271,frc3035,66,64,0,15,5,5,5,5,5,5,5,5,30,0,0,0,0,3,3,0,3,6,0,5,5,5,12,2,5,5,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,48,0,0,0,0,66
2019ftcmp_qm10,blue,frc4153,frc5052,frc3679,61,76,0,9,5,5,5,5,5,5,5,5,27,0,0,0,6,0,3,0,6,9,0,5,0,5,10,0,2,2,5,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,46,0,0,0,0,61
2019ftcmp_qm10,red,frc6321,frc7121,frc4587,76,61,0,15,5,5,5,5,5,5,5,2,27,0,0,0,12,6,6,2,0,24,30,5,5,5,10,5,2,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,61,0,0,0,0,76
2019ftcmp_qm100,blue,frc7121,frc4206,frc7492,69,71,0,12,5,5,5,5,5,5,5,5,27,0,0,0,6,3,12,0,3,21,30,5,5,5,6,0,0,0,5,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,54,0,0,0,0,69
2019ftcmp_qm100,red,frc7179,frc5411,frc4610,71,69,0,15,2,5,5,5,0,5,5,2,27,0,0,0,3,3,3,1,0,9,0,5,5,5,20,5,5,2,2,5,2,5,0,2,2,2,2,2,2,6,3,6,2,15,0,56,2,0,2,0,71
2019ftcmp_qm101,blue,frc3676,frc4378,frc6315,63,79,0,12,5,5,5,5,5,5,5,5,33,0,0,0,0,3,3,0,0,6,0,5,5,5,12,5,0,5,0,2,0,5,0,2,2,2,2,2,2,3,6,3,0,12,0,51,0,0,0,0,63
2019ftcmp_qm101,red,frc624,frc2582,frc6377,79,63,0,15,5,5,5,5,2,2,5,5,33,0,0,0,0,12,3,0,0,15,30,5,5,5,16,5,0,5,0,2,0,5,0,2,2,2,2,2,2,6,6,3,3,15,0,64,5,0,5,0,79
2019ftcmp_qm102,blue,frc3481,frc4295,frc2881,68,75,0,15,2,5,5,5,5,5,5,5,27,0,0,0,3,6,3,0,0,12,0,5,5,5,14,2,5,0,5,0,0,0,2,2,2,2,2,2,2,6,6,3,0,15,0,53,0,0,0,2,68
2019ftcmp_qm102,red,frc148,frc7621,frc5261,75,68,0,15,2,5,5,5,5,5,5,5,27,0,0,0,12,3,6,0,0,21,30,5,5,5,12,0,5,2,5,0,2,0,0,2,2,2,2,2,2,6,3,6,3,15,0,60,0,0,0,0,75
2019ftcmp_qm103,blue,frc7271,frc5866,frc231,54,67,0,15,5,5,2,5,0,2,5,2,15,0,0,0,3,3,6,0,0,12,0,5,5,5,12,0,2,2,2,0,5,0,2,2,2,2,2,2,2,6,6,3,0,15,0,39,0,0,0,0,54
2019ftcmp_qm103,red,frc5052,frc7521,frc418,67,54,0,15,5,5,5,5,0,5,5,5,30,0,0,0,3,6,3,0,0,12,0,5,5,5,10,5,0,5,0,5,0,2,0,2,2,2,2,2,2,6,6,3,2,15,0,52,0,0,0,0,67
2019ftcmp_qm104,blue,frc6321,frc4063,frc6974,65,65,0,15,5,5,5,5,5,5,5,5,24,0,0,0,12,3,3,0,0,18,30,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,50,0,0,0,0,65
2019ftcmp_qm104,red,frc3240,frc2714,frc1477,65,65,0,15,5,5,5,5,0,5,5,5,27,0,0,0,0,3,12,0,0,15,30,5,5,5,8,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,50,0,5,0,5,65
2019ftcmp_qm105,blue,frc118,frc3310,frc2657,102,70,0,9,2,2,2,5,0,5,5,5,36,30,30,0,12,12,3,0,6,27,30,5,5,5,24,5,0,5,2,5,5,5,5,2,2,2,2,2,2,3,3,3,4,9,1,87,5,2,5,2,102
2019ftcmp_qm105,red,frc7872,frc5892,frc5242,70,102,0,12,2,2,2,0,0,2,2,2,18,30,30,0,3,12,3,2,10,18,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,3,2,12,0,48,5,0,5,0,70
2019ftcmp_qm106,blue,frc3005,frc4587,frc6901,75,54,0,12,2,2,5,0,0,5,5,5,30,30,0,30,12,0,3,0,0,15,30,5,5,5,18,2,5,0,5,2,5,0,5,2,2,2,2,2,2,3,6,3,4,12,0,63,2,5,0,5,75
2019ftcmp_qm106,red,frc6144,frc1817,frc7708,54,75,0,15,2,2,5,2,5,0,2,0,6,0,0,0,12,12,3,0,0,27,30,5,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,39,0,0,0,0,54
2019ftcmp_qm107,blue,frc1255,frc5427,frc5417,42,71,0,6,2,2,5,5,5,5,5,5,18,0,0,0,0,6,0,1,0,6,0,3,5,5,12,2,0,2,2,0,0,0,2,2,2,2,2,2,2,3,3,3,0,6,0,36,0,0,0,0,42
2019ftcmp_qm107,red,frc7494,frc6800,frc4610,71,42,0,15,5,5,2,5,5,5,5,5,27,0,0,0,3,3,6,0,3,12,0,5,5,5,14,2,0,5,5,0,0,0,2,2,2,2,2,2,2,3,6,6,2,15,0,53,0,0,0,0,71
2019ftcmp_qm108,blue,frc7312,frc231,frc4378,67,48,0,15,5,5,5,5,5,5,5,5,30,0,0,0,6,3,3,0,0,12,0,5,5,5,10,5,0,5,0,0,0,2,0,2,2,2,2,2,2,6,3,6,2,15,0,52,0,0,0,0,67
2019ftcmp_qm108,red,frc3735,frc5572,frc2881,48,67,0,15,2,5,2,5,2,0,5,5,12,0,0,0,6,3,0,0,0,9,0,5,5,5,12,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,33,0,2,0,2,48
2019ftcmp_qm109,blue,frc5414,frc3240,frc3676,113,70,0,12,5,5,5,5,5,5,5,5,36,0,0,0,12,0,3,1,34,15,30,5,5,5,16,2,5,2,5,0,5,0,5,2,2,2,2,2,2,3,6,3,3,12,0,67,0,0,0,0,113
2019ftcmp_qm109,red,frc6315,frc5431,frc7121,70,113,0,12,5,5,5,5,5,5,5,5,30,0,0,0,3,12,0,8,3,15,30,5,5,5,10,0,2,0,0,0,5,0,5,2,2,2,2,2,2,3,3,6,1,12,1,55,0,0,0,0,70
