Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5414,30.35,22.06,0.00,4.18,1.43,2.02,1.00,2.81,2.22,1.89,2.15,1.92,11.45,-0.53,-1.61,1.68,2.57,2.24,2.11,0.11,2.25,6.92,12.38,1.68,1.70,1.66,5.54,0.89,1.38,0.96,0.61,0.28,0.83,-0.06,0.43,0.67,0.67,0.67,0.67,0.67,0.67,1.09,1.70,1.38,1.17,4.18,-0.02,23.92,-0.29,0.41,-0.35,0.19,30.35,
frc2714,22.50,23.72,0.00,5.75,2.25,1.54,1.91,2.36,0.44,1.54,1.21,1.05,9.69,0.32,1.68,-0.34,0.52,1.54,0.73,-0.15,-0.34,2.79,4.78,1.78,1.77,1.73,4.62,-0.15,-0.15,-0.56,-0.62,0.32,-0.05,0.29,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,1.19,2.22,1.79,0.23,5.75,-0.05,17.10,1.65,2.04,1.40,1.80,22.50,
frc7872,11.66,27.34,0.00,5.36,1.13,0.58,0.56,0.69,1.28,1.03,0.86,1.49,1.95,-1.33,0.76,-2.03,2.33,2.60,-1.37,0.71,-0.92,3.57,5.28,1.70,1.66,1.72,1.71,0.33,0.07,0.28,-0.20,-0.10,-0.20,-0.08,0.17,0.67,0.67,0.67,0.67,0.67,0.67,2.74,1.05,1.34,-0.33,5.36,0.02,7.23,0.07,-0.34,0.12,-0.50,11.66,
frc3676,24.95,18.10,0.00,3.68,1.50,1.90,1.52,0.93,2.00,1.46,1.60,1.54,9.24,-1.43,-0.75,0.57,1.06,0.58,1.37,-0.09,4.25,3.01,4.89,1.68,1.73,1.69,4.78,0.75,0.65,1.27,1.04,0.02,0.63,0.26,0.48,0.67,0.67,0.67,0.67,0.67,0.67,1.17,1.33,1.07,0.81,3.68,-0.10,17.03,-0.01,0.23,-0.11,0.13,24.95,
frc7271,16.04,28.98,0.00,4.30,1.75,1.85,1.08,2.07,0.55,1.49,2.18,1.33,6.99,-2.52,-1.45,-1.56,0.88,2.01,2.10,1.02,-1.21,4.99,7.04,1.70,1.65,1.42,0.98,-0.23,0.57,0.21,0.62,-0.57,0.28,-0.29,0.05,0.67,0.67,0.67,0.67,0.67,0.67,0.74,1.92,2.35,-0.14,4.30,0.13,12.95,-0.20,-0.29,-0.17,-0.44,16.04,
frc3035,24.71,29.13,0.00,4.80,1.95,1.55,1.75,1.84,0.99,1.35,1.04,1.64,9.46,0.66,0.62,0.14,0.12,2.50,3.03,-0.04,0.89,5.65,6.18,1.68,1.61,1.58,3.92,1.44,-0.11,1.77,0.73,0.23,-0.20,0.23,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.89,1.88,1.35,0.54,4.80,0.15,19.03,0.67,-0.04,0.42,-0.23,24.71,
frc4153,22.86,23.01,0.00,4.75,0.70,0.64,1.00,0.10,2.15,0.24,0.45,1.06,5.50,2.34,1.27,-1.40,1.06,2.44,0.56,0.38,1.62,4.06,4.38,1.69,1.25,1.75,6.94,1.03,0.26,1.74,0.82,0.76,0.09,0.65,0.22,0.67,0.67,0.67,0.67,0.67,0.67,0.87,1.45,2.69,0.42,4.75,0.13,16.49,0.34,-0.07,0.37,-0.11,22.86,
frc5052,21.96,19.19,0.00,4.80,1.73,1.90,1.62,1.98,1.44,2.09,1.81,1.65,10.25,-2.57,0.46,-2.61,1.93,0.53,-0.24,-0.18,1.94,2.22,-1.96,1.73,1.29,1.66,2.75,1.43,1.34,1.60,1.18,0.24,0.25,-0.12,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.62,2.22,1.29,0.56,4.80,-0.08,15.22,-0.47,-0.58,-0.09,-1.11,21.96,
frc3679,20.39,22.66,0.00,4.33,1.60,1.40,1.74,1.32,0.82,1.54,1.65,2.00,9.08,-3.14,-1.99,-1.27,2.12,0.18,1.67,0.17,1.11,3.98,-0.04,1.48,1.24,1.69,1.90,0.34,0.80,0.31,0.89,-0.08,0.03,-0.06,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,2.58,1.27,1.20,-0.00,4.33,-0.05,14.95,-0.16,0.42,-0.44,0.50,20.39,
frc6321,27.82,27.16,0.00,3.35,1.83,1.73,1.94,2.53,2.70,1.96,1.59,1.59,10.27,-1.59,0.07,-1.40,1.76,3.21,2.12,1.17,3.20,7.10,11.80,1.68,1.65,1.77,3.90,1.80,0.00,1.50,-0.16,-0.04,-0.26,-0.31,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,0.37,1.12,1.59,0.78,3.35,-0.07,21.27,0.02,-0.30,0.27,0.10,27.82,
