MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019gaalb_qm1,blue,frc6829,frc5848,frc7499,14,44,0,3,2,0,5,5,0,5,0,2,9,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,0,0,3,0,11,0,0,0,0,14
2019gaalb_qm1,red,frc832,frc5632,frc6325,44,14,0,9,5,5,5,0,5,2,5,2,15,0,0,0,12,3,3,0,0,18,30,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,9,0,35,0,0,0,0,44
2019gaalb_qm10,blue,frc6325,frc4240,frc6177,18,45,0,9,0,2,2,0,0,5,2,0,3,0,0,0,0,3,3,1,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,9,0,0,0,0,18
2019gaalb_qm10,red,frc6750,frc3329,frc6919,45,18,0,12,2,2,2,0,2,5,5,2,6,0,0,0,3,3,12,0,3,18,30,5,5,5,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,30,0,0,0,0,45
2019gaalb_qm11,blue,frc5848,frc7315,frc6925,18,42,0,3,0,5,5,0,0,5,5,0,12,0,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,6,0,3,0,15,0,0,0,0,18
2019gaalb_qm11,red,frc4941,frc5074,frc5840,42,18,0,6,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,0,0,6,0,5,0,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,36,0,0,0,0,42
2019gaalb_qm12,blue,frc6471,frc5632,frc6750,45,50,0,15,0,2,2,2,0,5,5,0,6,0,0,0,12,3,3,0,0,18,30,5,5,5,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,30,0,0,0,0,45
2019gaalb_qm12,red,frc832,frc1261,frc3635,50,45,0,12,5,5,5,5,5,5,5,5,24,0,0,0,0,3,3,0,0,6,0,5,5,5,8,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,38,0,0,0,0,50
2019gaalb_qm13,blue,frc6919,frc4193,frc7470,32,27,0,9,2,2,2,0,0,0,0,0,0,0,0,0,12,3,3,0,3,18,30,5,5,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,20,0,0,0,0,32
2019gaalb_qm13,red,frc1002,frc7076,frc5828,27,32,0,12,2,2,5,0,0,5,2,2,6,0,0,0,3,3,3,1,0,9,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,12,0,15,0,0,0,0,27
