MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019gacmp_qm1,blue,frc4468,frc4112,frc4941,49,73,0,12,5,5,5,5,0,5,5,2,21,0,0,0,3,3,0,0,0,6,0,5,5,5,10,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,1,37,0,5,0,2,49
2019gacmp_qm1,red,frc7514,frc3635,frc4026,73,49,0,12,5,5,5,5,5,5,5,5,24,0,0,0,6,3,12,0,10,21,30,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,51,0,0,0,0,73
2019gacmp_qm10,blue,frc5332,frc5651,frc6341,67,54,0,9,5,5,5,5,5,5,5,5,30,0,0,0,3,0,3,0,10,6,0,5,5,5,12,2,2,5,5,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,48,0,0,0,0,67
2019gacmp_qm10,red,frc7470,frc4112,frc7427,54,67,0,9,2,2,5,5,0,2,2,2,18,0,0,0,0,3,12,0,0,15,30,5,5,5,12,5,0,5,0,0,0,5,0,2,2,2,2,2,2,3,3,3,1,9,1,45,5,0,2,0,54
2019gacmp_qm11,blue,frc1414,frc832,frc1102,81,57,0,9,2,2,5,0,0,2,2,2,27,30,0,30,12,6,3,0,0,21,30,5,5,5,24,5,5,5,5,2,5,2,5,2,2,2,2,2,2,3,3,3,4,9,0,72,2,5,2,5,81
2019gacmp_qm11,red,frc3581,frc1648,frc7315,57,81,0,9,5,5,5,5,5,5,5,5,27,0,0,0,3,3,3,0,0,9,0,5,5,5,12,2,5,2,0,0,2,0,0,2,2,2,2,2,2,3,3,3,0,9,0,48,0,0,0,0,57
2019gacmp_qm12,blue,frc1746,frc1261,frc4701,63,68,0,12,5,5,5,5,5,5,5,2,30,0,0,0,0,6,3,0,0,9,0,5,5,5,12,5,0,5,0,2,0,5,0,2,2,2,2,2,2,3,3,6,0,12,0,51,0,0,0,0,63
2019gacmp_qm12,red,frc4459,frc6705,frc2974,68,63,0,15,5,5,5,0,5,0,0,2,30,30,30,0,6,3,0,0,0,9,0,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,6,3,3,15,0,53,5,0,5,0,68
2019gacmp_qm13,blue,frc6829,frc6340,frc6919,58,48,0,12,5,5,5,0,5,5,5,5,21,0,0,0,3,3,12,0,3,18,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,43,0,0,0,0,58
2019gacmp_qm13,red,frc4188,frc3998,frc7883,48,58,0,15,5,5,5,5,0,5,5,5,21,0,0,0,3,0,3,1,0,6,0,5,5,5,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,33,0,0,0,0,48
