Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4468,12.68,16.01,0.00,4.94,1.49,1.71,0.98,0.67,0.48,0.94,1.69,1.23,4.00,-0.31,-0.77,-2.37,1.63,1.02,-0.33,0.62,0.03,2.41,-1.53,1.71,1.71,1.69,1.29,0.45,0.20,0.22,0.45,0.03,0.05,-0.44,-0.40,0.67,0.67,0.67,0.67,0.67,0.67,2.11,1.02,2.04,0.11,4.94,0.18,7.71,-0.31,0.05,-0.34,-0.17,12.68,
frc4112,22.26,27.35,0.00,2.97,1.35,1.50,1.54,2.21,1.09,1.56,1.96,1.47,9.12,-2.59,-0.98,-1.38,1.35,0.87,2.70,-0.37,1.14,4.95,8.99,1.77,1.73,1.67,4.09,0.75,0.47,0.84,1.62,-0.36,0.04,0.14,0.60,0.67,0.67,0.67,0.67,0.67,0.67,1.09,1.29,0.60,0.29,2.97,0.12,18.15,0.25,0.38,-0.18,0.30,22.26,
frc4941,25.20,19.99,0.00,3.72,2.33,2.25,1.78,1.99,1.25,2.25,1.90,1.98,11.48,-0.66,0.31,-0.37,0.61,-0.17,2.38,-0.10,2.40,2.77,1.78,1.74,1.72,1.78,4.83,0.81,1.00,0.37,1.23,-0.04,0.23,-0.02,0.63,0.67,0.67,0.67,0.67,0.67,0.67,0.71,1.27,1.55,0.37,3.72,0.14,19.08,-0.05,0.61,0.14,0.12,25.20,
frc7514,19.17,16.29,0.00,4.76,2.29,1.67,1.71,0.81,1.04,1.42,1.49,0.89,6.64,3.10,1.79,0.89,1.25,1.43,2.36,-0.26,0.83,5.07,7.74,1.68,1.68,1.81,1.88,0.01,0.25,0.09,0.62,0.15,-0.05,0.29,-0.30,0.67,0.67,0.67,0.67,0.67,0.67,2.22,1.38,0.98,0.91,4.76,-0.03,13.58,0.40,0.06,0.26,-0.06,19.17,
frc3635,30.35,16.06,0.00,3.81,1.41,1.72,1.18,2.68,1.73,2.50,2.21,2.40,12.02,-2.94,-1.70,-0.83,1.54,1.94,1.91,0.29,5.01,4.91,2.90,1.75,1.75,1.33,4.60,1.56,1.29,0.58,1.21,-0.56,0.65,-0.62,0.78,0.67,0.67,0.67,0.67,0.67,0.67,1.62,1.54,1.03,1.05,3.81,-0.01,21.53,-0.50,0.60,-0.48,0.40,30.35,
frc4026,19.69,18.59,0.00,2.99,1.35,1.57,1.31,1.52,1.14,0.96,0.95,0.93,5.12,1.85,2.09,0.15,3.55,2.60,2.70,0.23,-0.63,8.65,18.29,1.74,1.26,1.64,3.56,-0.21,0.29,0.24,0.98,0.43,-0.01,0.14,-0.60,0.67,0.67,0.67,0.67,0.67,0.67,1.17,1.04,1.13,1.30,2.99,-0.04,17.33,0.43,-0.29,0.31,-0.25,19.69,
frc5332,17.84,26.73,0.00,3.00,1.80,2.00,1.71,1.07,0.57,1.17,1.56,1.81,7.42,0.76,-0.13,-1.24,1.96,1.10,-0.19,-0.21,1.41,2.89,5.79,1.55,1.77,1.59,3.12,0.94,-0.20,1.46,0.62,0.37,-0.61,0.74,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.59,1.00,1.25,0.33,3.00,0.12,13.44,0.17,-0.34,0.10,-0.30,17.84,
frc5651,20.11,23.40,0.00,3.86,0.98,1.33,1.35,1.30,1.55,1.34,1.19,0.70,7.22,0.01,2.10,0.51,1.99,-0.19,0.06,0.90,2.11,1.90,-1.77,1.75,1.79,1.87,5.03,1.28,1.18,1.87,0.95,0.14,-0.01,0.24,-0.31,0.67,0.67,0.67,0.67,0.67,0.67,1.49,0.97,1.05,-0.10,3.86,0.03,14.15,0.23,0.36,0.22,0.29,20.11,
frc6341,14.64,15.87,0.00,2.69,0.82,0.80,0.73,0.45,1.43,1.44,1.65,1.36,6.43,6.13,-0.71,4.33,1.37,1.83,0.04,-0.03,1.77,3.22,-0.84,1.32,1.33,0.87,0.53,-0.95,1.19,-0.10,1.55,-0.62,0.62,-0.62,0.58,0.67,0.67,0.67,0.67,0.67,0.67,0.63,0.91,1.13,0.60,2.69,0.13,10.18,-0.27,0.50,-0.22,0.83,14.64,
frc7470,15.35,12.88,0.00,3.29,0.94,0.63,1.44,1.87,0.62,0.61,0.83,1.10,3.99,-0.52,0.07,-0.48,1.02,1.36,1.06,0.30,2.04,2.97,1.57,1.62,1.55,1.29,3.07,0.86,0.79,0.53,0.06,-0.24,-0.13,0.24,0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.10,1.47,1.53,0.06,3.29,0.04,10.03,0.46,-0.36,0.21,-0.14,15.35,
frc7427,18.32,25.31,0.00,3.73,1.18,1.36,1.43,0.84,0.73,0.60,0.98,0.48,5.66,0.41,-2.22,2.85,1.92,1.46,2.55,0.04,-0.74,5.99,8.94,1.73,1.77,1.26,3.66,1.00,1.13,-0.09,1.14,-0.49,0.64,0.12,0.89,0.67,0.67,0.67,0.67,0.67,0.67,1.20,1.45,0.92,0.22,3.73,0.04,15.32,-0.18,0.89,-0.17,0.80,18.32,
frc1414,17.08,16.90,0.00,2.36,0.50,1.87,1.89,0.52,-0.18,0.69,1.01,0.70,5.19,1.80,1.01,1.56,-0.20,4.21,0.93,0.71,1.00,4.94,11.24,1.31,1.60,1.12,3.58,1.12,0.12,1.86,-0.21,0.89,0.51,0.23,0.42,0.67,0.67,0.67,0.67,0.67,0.67,0.81,1.02,0.94,0.69,2.36,-0.07,13.71,0.11,0.02,0.56,0.18,17.08,
frc832,20.45,19.77,0.00,3.43,0.73,1.00,1.33,0.41,0.80,0.65,1.29,0.85,5.82,4.69,-1.52,3.76,3.53,2.67,1.51,-0.02,-1.15,7.70,12.54,1.75,1.68,1.55,4.65,1.42,1.11,1.08,1.05,0.07,0.56,0.30,0.75,0.67,0.67,0.67,0.67,0.67,0.67,1.31,1.27,1.00,1.06,3.43,-0.08,18.17,-0.23,0.31,0.39,0.54,20.45,
frc1102,36.16,22.65,0.00,3.54,-0.02,0.87,1.33,0.41,0.46,1.23,0.96,1.02,14.26,9.94,4.01,3.56,3.11,0.99,2.37,-0.04,1.34,6.53,13.25,1.74,1.81,1.82,10.50,1.80,2.51,2.11,2.78,1.32,1.57,2.31,2.09,0.67,0.67,0.67,0.67,0.67,0.67,0.88,0.92,1.47,1.58,3.54,0.09,31.29,1.50,2.02,1.09,1.40,36.16,
frc3581,19.23,22.69,0.00,2.90,0.50,1.17,1.00,1.93,1.59,1.52,1.43,1.67,4.25,1.37,1.22,-2.43,3.58,0.72,-0.05,0.11,0.64,4.24,4.22,1.61,1.78,1.73,7.20,0.41,1.65,-0.06,1.00,0.10,0.78,0.61,0.44,0.67,0.67,0.67,0.67,0.67,0.67,1.05,1.02,0.73,0.43,2.90,-0.04,15.69,0.20,-0.81,0.17,-0.62,19.23,
