MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019gacol_qm1,blue,frc6340,frc4026,frc3635,64,39,0,9,5,5,5,5,5,5,5,5,27,0,0,0,3,12,3,0,0,18,30,5,5,5,10,5,0,2,2,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,55,0,0,0,0,64
2019gacol_qm1,red,frc6023,frc6925,frc7315,39,64,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,6,0,5,0,5,6,0,2,0,2,0,2,0,0,2,2,2,2,2,2,6,6,3,0,9,0,30,0,0,0,0,39
2019gacol_qm10,blue,frc5332,frc1795,frc6715,25,44,0,6,2,5,2,0,0,5,5,5,12,0,0,0,0,0,3,0,0,3,0,5,3,5,4,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,19,0,0,0,0,25
2019gacol_qm10,red,frc3635,frc5219,frc4193,44,25,0,6,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,0,0,6,0,5,0,5,8,0,0,2,0,0,0,2,0,2,2,2,2,2,2,3,3,3,2,6,0,38,0,0,0,0,44
2019gacol_qm11,blue,frc1414,frc6925,frc2974,51,31,0,6,2,5,5,0,5,5,2,2,18,0,0,0,12,0,3,1,0,15,30,5,0,5,12,0,5,0,5,0,2,0,2,2,2,2,2,2,2,3,0,3,3,6,0,45,0,2,0,0,51
2019gacol_qm11,red,frc1648,frc7499,frc4188,31,51,0,15,2,2,2,0,0,2,2,2,3,0,0,0,0,3,3,0,3,6,0,5,5,5,4,5,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,13,0,0,0,0,31
2019gacol_qm12,blue,frc5332,frc5632,frc4516,46,54,0,12,2,5,5,2,5,5,5,5,18,0,0,0,0,3,3,1,0,6,0,5,5,5,10,2,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,34,0,0,0,0,46
2019gacol_qm12,red,frc4026,frc4195,frc4730,54,46,0,6,0,2,2,5,5,5,5,5,15,0,0,0,12,3,3,0,3,18,30,5,3,5,12,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,3,6,0,45,0,0,0,0,54
2019gacol_qm13,blue,frc3344,frc4910,frc7427,51,61,0,15,5,5,5,0,0,5,2,2,12,0,0,0,3,12,3,0,0,18,30,5,5,5,6,2,0,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,36,0,0,0,0,51
2019gacol_qm13,red,frc2974,frc7315,frc4188,61,51,0,9,5,5,5,0,5,5,5,5,33,0,0,0,3,0,0,0,0,3,0,5,5,5,16,0,5,2,5,0,5,0,5,2,2,2,2,2,2,3,3,3,2,9,0,52,0,2,0,2,61
2019gacol_qm14,blue,frc6715,frc5828,frc4195,12,68,0,9,0,0,0,0,0,2,2,2,0,0,0,0,0,0,3,0,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,6,0,9,1,3,0,0,0,0,12
2019gacol_qm14,red,frc3091,frc1414,frc6340,68,12,0,6,5,5,5,0,5,5,5,5,27,0,0,0,3,12,3,0,10,15,30,0,5,5,10,0,5,0,5,0,2,0,2,2,2,2,2,2,2,3,3,3,3,6,0,52,0,0,0,0,68
2019gacol_qm15,blue,frc5840,frc6023,frc3635,50,28,0,12,5,5,5,5,2,5,5,5,24,0,0,0,3,0,3,0,0,6,0,5,5,5,8,0,2,0,5,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,38,0,0,0,0,50
2019gacol_qm15,red,frc1648,frc4516,frc4193,28,50,0,9,5,5,2,0,5,2,2,2,9,0,0,0,0,3,3,0,0,6,0,5,5,5,4,0,0,0,0,0,0,2,0,2,2,2,2,2,2,3,3,3,0,9,0,19,0,0,0,0,28
2019gacol_qm16,blue,frc5900,frc5632,frc1795,33,34,0,15,2,2,2,5,2,5,5,2,9,0,0,0,0,3,0,0,0,3,0,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,18,0,0,0,0,33
2019gacol_qm16,red,frc6925,frc6139,frc5074,34,33,0,9,2,5,2,5,5,2,2,5,12,0,0,0,3,3,3,0,0,9,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,9,0,25,0,0,0,0,34
2019gacol_qm17,blue,frc5482,frc4730,frc6910,21,54,0,9,5,5,5,0,0,2,2,5,12,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,12,0,0,0,0,21
2019gacol_qm17,red,frc4941,frc7470,frc7883,54,21,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,39,0,0,0,0,54
2019gacol_qm18,blue,frc5632,frc1648,frc5219,31,53,0,12,2,2,2,0,2,5,2,2,3,0,0,0,3,3,3,1,3,9,0,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,16,0,0,0,0,31
2019gacol_qm18,red,frc7499,frc5828,frc1102,53,31,0,9,5,5,5,5,5,5,5,5,24,0,0,0,6,0,3,1,3,9,0,5,0,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,0,3,2,9,0,41,0,0,0,0,53
2019gacol_qm19,blue,frc5074,frc4941,frc4910,64,57,0,9,2,2,2,5,5,5,5,2,24,0,0,0,3,0,12,1,0,15,30,5,5,5,16,0,5,0,5,0,2,0,5,2,2,2,2,2,2,3,3,3,3,9,0,55,0,2,0,5,64
2019gacol_qm19,red,frc3635,frc4516,frc3344,57,64,0,15,5,5,5,5,0,5,5,5,27,30,0,0,3,0,3,0,3,6,0,5,5,5,6,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,39,0,0,0,0,57
2019gacol_qm2,blue,frc4941,frc5332,frc5840,52,54,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,0,0,9,0,5,5,5,10,2,0,2,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,43,0,0,0,0,52
2019gacol_qm2,red,frc5074,frc6715,frc2974,54,52,0,9,2,5,2,0,0,5,2,2,24,30,30,0,0,3,6,0,0,9,0,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,3,3,9,0,45,5,0,5,0,54
2019gacol_qm20,blue,frc6910,frc7470,frc4195,41,68,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,3,0,0,0,6,0,5,5,5,2,0,0,0,0,2,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,26,0,0,0,0,41
2019gacol_qm20,red,frc4188,frc6023,frc1414,68,41,0,12,5,5,5,5,0,2,2,5,27,0,0,0,0,3,12,0,0,15,30,5,5,5,14,5,2,5,2,5,0,5,0,2,2,2,2,2,2,3,6,3,3,12,0,56,0,0,0,0,68
2019gacol_qm21,blue,frc5332,frc4026,frc6925,72,53,0,12,0,0,0,5,5,5,5,5,18,0,0,0,3,12,3,0,12,18,30,5,5,5,12,2,2,5,2,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,48,0,0,0,0,72
2019gacol_qm21,red,frc1102,frc5840,frc3091,53,72,0,6,5,5,5,5,5,5,5,5,30,0,0,0,3,3,3,4,0,9,0,5,5,3,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,47,0,0,0,0,53
2019gacol_qm22,blue,frc4730,frc1795,frc7315,41,36,0,12,5,5,5,5,0,5,5,5,21,0,0,0,3,3,0,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,29,0,0,0,0,41
