MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019gadal_qm1,blue,frc5293,frc6023,frc7060,32,12,0,12,2,2,5,2,0,5,5,5,12,0,0,0,0,3,0,0,3,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,17,0,0,0,0,32
2019gadal_qm1,red,frc1795,frc1002,frc6177,12,32,0,6,2,2,0,0,0,0,2,2,0,0,0,0,3,3,0,1,0,6,0,3,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,0,0,6,0,6,0,0,0,0,12
2019gadal_qm10,blue,frc7427,frc4195,frc4468,22,32,0,6,0,0,5,0,0,5,0,5,9,0,0,0,0,0,3,0,0,3,0,5,0,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,3,0,6,0,16,0,0,0,0,22
2019gadal_qm10,red,frc4026,frc7104,frc5219,32,22,0,9,0,0,0,2,2,2,2,2,0,0,0,0,12,3,0,0,0,15,30,5,5,0,8,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,9,0,23,0,0,0,0,32
2019gadal_qm11,blue,frc4910,frc6139,frc3091,40,38,0,6,2,2,2,0,0,2,5,5,12,0,0,0,12,3,3,0,0,18,30,5,3,3,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,6,0,34,0,0,0,0,40
2019gadal_qm11,red,frc3344,frc3815,frc3329,38,40,0,9,5,2,5,5,0,5,5,2,15,0,0,0,3,3,6,0,0,12,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,29,0,0,0,0,38
2019gadal_qm12,blue,frc6705,frc5900,frc6712,36,28,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,9,0,27,0,0,0,0,36
2019gadal_qm12,red,frc7451,frc6887,frc5608,28,36,0,12,0,2,2,2,0,2,5,0,3,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,16,0,0,0,0,28
2019gadal_qm13,blue,frc5332,frc7883,frc1311,35,34,0,15,5,0,5,0,0,5,0,5,12,0,0,0,3,0,3,0,0,6,0,5,5,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,20,0,0,0,0,35
2019gadal_qm13,red,frc4459,frc4080,frc3581,34,35,0,12,0,2,0,5,2,2,2,0,3,0,0,0,3,3,3,0,0,9,0,5,5,5,10,0,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,22,0,0,0,0,34
2019gadal_qm14,blue,frc3329,frc1795,frc2974,64,15,0,9,2,2,2,0,2,5,5,2,24,30,0,30,6,3,3,0,3,12,0,5,5,5,16,2,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,3,3,9,0,52,0,5,0,5,64
2019gadal_qm14,red,frc6023,frc5219,frc4516,15,64,0,6,2,2,5,0,0,5,2,5,9,0,0,0,0,0,0,1,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,3,0,6,0,9,0,0,0,0,15
2019gadal_qm15,blue,frc7104,frc1771,frc1002,49,24,0,15,2,2,2,0,0,5,2,5,12,0,0,0,3,12,3,1,0,18,30,5,5,5,4,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,34,0,0,0,0,49
2019gadal_qm15,red,frc3091,frc6341,frc5132,24,49,0,6,2,2,2,0,0,2,2,5,3,0,0,0,3,3,3,0,3,6,0,0,5,5,6,0,0,2,0,0,0,2,0,2,2,2,2,2,2,3,3,3,0,6,0,15,0,0,2,0,24
2019gadal_qm16,blue,frc7883,frc6712,frc7060,18,53,0,3,5,5,5,0,0,5,2,2,12,0,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,0,0,3,0,15,0,0,0,0,18
2019gadal_qm16,red,frc4459,frc4910,frc6944,53,18,0,15,2,2,2,2,0,0,5,5,12,0,0,0,3,12,3,0,0,18,30,5,5,5,8,5,2,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,38,0,0,0,0,53
2019gadal_qm17,blue,frc5608,frc6705,frc5293,36,43,0,3,5,2,2,0,0,5,5,5,12,0,0,0,3,3,3,0,10,9,0,3,3,5,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,6,3,0,3,0,23,0,0,0,0,36
2019gadal_qm17,red,frc3344,frc4749,frc4468,43,36,0,12,5,2,5,2,5,2,5,5,15,0,0,0,0,3,3,0,0,6,0,5,5,5,10,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,1,31,0,0,0,0,43
2019gadal_qm18,blue,frc6177,frc5900,frc7451,19,24,0,9,0,0,2,0,0,2,0,0,0,0,0,0,0,3,3,0,0,6,0,0,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,6,3,0,9,0,10,0,0,0,0,19
2019gadal_qm18,red,frc4080,frc7427,frc6715,24,19,0,9,0,2,2,0,2,2,2,0,0,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,15,0,0,0,0,24
2019gadal_qm19,blue,frc6887,frc4195,frc4026,46,23,0,9,0,0,0,5,2,2,2,2,3,0,0,0,3,3,12,0,0,18,30,5,3,5,16,2,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,3,9,0,37,0,0,0,0,46
2019gadal_qm19,red,frc5332,frc6139,frc3815,23,46,0,6,2,2,2,5,2,2,2,2,3,0,0,0,3,3,0,0,0,6,0,5,3,5,8,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,3,3,0,6,0,17,0,0,0,0,23
2019gadal_qm2,blue,frc5900,frc4468,frc4459,30,0,0,12,5,5,0,0,0,0,2,5,9,0,0,0,0,3,0,0,0,3,0,5,5,5,6,2,0,0,0,2,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,18,2,0,0,0,30
2019gadal_qm2,red,frc3091,frc4195,frc5219,0,30,0,0,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0
2019gadal_qm20,blue,frc3581,frc7104,frc6712,44,43,0,12,5,5,5,5,5,2,2,2,15,0,0,0,3,3,3,0,0,9,0,5,5,5,8,2,0,0,0,2,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,32,0,0,0,0,44
2019gadal_qm20,red,frc6023,frc1002,frc6705,43,44,0,3,5,2,2,5,5,5,5,5,21,0,0,0,3,3,3,0,0,9,0,5,3,3,10,0,5,0,2,0,2,0,0,2,2,2,2,2,2,3,6,6,0,3,0,40,0,0,0,0,43
2019gadal_qm21,blue,frc5608,frc6177,frc4749,29,20,0,12,2,2,0,2,2,2,2,2,0,0,0,0,3,0,0,0,0,3,0,5,5,5,14,2,0,2,0,2,2,0,0,2,2,2,2,2,2,3,3,6,2,12,0,17,0,0,0,0,29
2019gadal_qm21,red,frc6715,frc3091,frc6944,20,29,0,3,2,2,2,2,2,2,2,2,0,0,0,0,3,3,3,0,0,9,0,3,3,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,17,0,0,0,0,20
2019gadal_qm22,blue,frc3815,frc7883,frc4026,49,35,0,12,0,2,5,2,5,5,0,0,9,0,0,0,3,3,12,0,0,18,30,5,5,5,10,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,37,0,0,0,0,49
2019gadal_qm22,red,frc3344,frc5900,frc5132,35,49,0,12,2,5,5,0,2,2,5,2,9,0,0,0,3,0,3,0,0,6,0,5,5,5,8,0,0,2,0,0,0,2,0,2,2,2,2,2,2,3,6,3,0,12,0,23,0,0,2,0,35
2019gadal_qm23,blue,frc5219,frc1795,frc7427,6,52,0,0,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,0,3,3,0,0,0,6,0,0,0,0,6
2019gadal_qm23,red,frc4080,frc4910,frc1771,52,6,0,15,2,2,2,0,0,5,5,5,15,0,0,0,3,12,3,0,0,18,30,5,5,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,37,0,0,0,0,52
2019gadal_qm24,blue,frc4468,frc6887,frc3329,43,45,0,12,5,2,2,0,0,5,5,5,12,0,0,0,3,3,6,0,3,12,0,5,5,5,4,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,6,3,0,12,0,28,0,0,0,0,43
2019gadal_qm24,red,frc2974,frc1311,frc7060,45,43,0,9,2,2,2,0,0,5,2,2,18,0,0,0,0,3,3,1,0,6,0,5,3,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,6,2,9,0,36,0,5,0,2,45
2019gadal_qm25,blue,frc6341,frc7451,frc5293,38,34,0,9,0,5,5,5,0,5,5,0,15,0,0,0,3,3,3,0,3,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,26,0,0,0,0,38
2019gadal_qm25,red,frc4516,frc5332,frc4195,34,38,0,6,2,5,5,5,5,5,2,2,15,0,0,0,3,3,3,1,0,9,0,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,28,0,0,0,0,34
2019gadal_qm26,blue,frc4459,frc6705,frc6715,48,34,0,15,0,5,5,0,0,5,2,0,9,0,0,0,3,3,3,0,9,9,0,5,5,5,6,2,0,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,24,0,0,0,0,48
2019gadal_qm26,red,frc7427,frc6139,frc7883,34,48,0,9,2,2,2,0,0,5,5,2,9,0,0,0,0,3,3,3,0,6,0,5,3,5,10,0,5,0,2,0,2,0,2,2,2,2,2,2,2,3,3,6,0,9,0,25,0,2,0,0,34
2019gadal_qm27,blue,frc6177,frc6944,frc1771,30,51,0,15,2,2,2,0,0,5,5,2,6,0,0,0,3,3,3,0,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,15,0,0,0,0,30
2019gadal_qm27,red,frc3581,frc4910,frc4468,51,30,0,12,2,2,5,5,5,2,5,2,12,0,0,0,3,12,0,0,0,15,30,5,5,5,12,0,2,2,0,0,2,2,0,2,2,2,2,2,2,3,6,3,3,12,0,39,0,0,0,0,51
2019gadal_qm28,blue,frc5900,frc1311,frc1002,51,37,0,15,5,5,5,0,0,5,5,5,18,0,0,0,12,3,3,0,0,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,36,0,0,0,0,51
2019gadal_qm28,red,frc4749,frc3815,frc1795,37,51,0,15,2,2,2,2,2,2,5,2,3,0,0,0,3,3,3,0,0,9,0,5,5,5,10,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,22,0,0,0,0,37
2019gadal_qm29,blue,frc4195,frc5132,frc4459,39,28,0,9,0,2,0,5,2,0,0,0,3,0,0,0,3,3,3,0,0,9,0,3,5,5,18,2,2,0,2,2,0,0,2,2,2,2,2,2,2,6,3,6,2,9,0,30,2,0,0,0,39
2019gadal_qm29,red,frc7451,frc3329,frc4516,28,39,0,9,0,0,0,2,5,0,0,0,3,0,0,0,3,6,3,0,0,12,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,19,0,0,0,0,28
2019gadal_qm3,blue,frc1311,frc3344,frc3581,23,16,0,15,2,2,2,2,0,2,2,2,0,0,0,0,3,0,3,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,8,0,0,0,0,23
