Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5293,12.86,15.87,0.00,1.08,1.10,2.36,1.85,0.63,0.47,2.74,2.46,1.60,7.08,0.12,0.05,0.07,2.48,0.74,0.31,-0.12,1.03,3.31,1.83,1.17,1.18,1.81,0.37,-0.24,0.07,-0.27,0.18,0.25,-0.14,0.26,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,0.93,0.88,0.96,0.30,1.08,-0.04,10.75,0.14,-0.11,0.12,-0.07,12.86,
frc6023,13.09,11.63,0.00,5.30,0.94,-0.32,0.49,0.67,0.98,1.02,0.31,0.89,2.17,-0.06,0.09,-0.15,1.02,0.18,1.41,0.14,1.27,2.67,3.30,1.94,1.63,1.60,1.68,-0.07,0.15,-0.32,0.47,0.03,-0.12,0.17,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.71,1.86,1.76,0.59,5.30,-0.03,6.52,-0.02,0.19,-0.10,0.42,13.09,
frc7060,5.75,13.40,0.00,2.76,0.32,0.52,1.02,-0.53,0.15,0.76,0.30,0.61,0.53,-0.42,-0.45,0.03,-0.77,0.62,0.72,-0.04,0.49,0.57,-1.58,0.93,1.26,1.43,1.40,0.21,0.09,0.02,0.18,-0.26,0.50,-0.28,0.32,0.67,0.67,0.67,0.67,0.67,0.67,0.72,0.82,2.30,-0.08,2.76,-0.03,2.51,-0.17,0.69,-0.18,0.07,5.75,
frc1795,9.48,18.43,0.00,3.86,0.93,1.00,0.73,0.60,0.97,-0.05,0.91,0.12,0.58,2.15,-0.29,2.45,1.16,0.25,0.89,0.16,0.35,2.35,1.11,1.44,1.49,1.27,2.34,-0.10,0.52,-0.14,0.27,-0.25,0.30,-0.31,0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.86,1.11,1.36,0.13,3.86,-0.04,5.26,-0.17,0.39,-0.19,0.33,9.48,
frc1002,14.65,15.50,0.00,3.12,0.99,1.14,0.97,0.37,0.83,1.49,1.40,1.54,5.13,-0.26,-0.11,-0.15,1.83,1.44,0.92,0.13,0.88,3.98,3.49,1.15,1.40,1.25,1.54,-0.26,0.86,0.05,0.67,-0.10,0.40,0.09,0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.41,2.04,1.70,0.20,3.12,0.05,10.65,-0.06,0.04,-0.10,0.12,14.65,
frc6177,3.05,17.00,0.00,2.09,0.88,0.66,0.51,-0.16,-0.49,0.79,0.67,0.80,-0.22,-0.48,-0.07,-0.41,-0.54,-0.25,0.06,-0.05,1.19,-0.70,-3.96,0.28,1.27,0.95,0.69,-0.02,-0.47,0.18,-0.40,0.29,-0.07,-0.16,0.04,0.67,0.67,0.67,0.67,0.67,0.67,0.43,1.44,0.90,-0.52,2.09,0.05,-0.23,0.27,-0.10,-0.01,-0.09,3.05,
frc7427,10.99,10.21,0.00,2.48,0.57,0.95,1.14,-0.55,-0.58,0.98,0.89,0.96,2.01,-0.08,0.07,-0.15,1.20,-0.57,0.89,0.22,1.15,1.60,2.13,1.91,0.98,1.31,3.75,0.66,0.32,0.99,0.12,0.42,-0.02,0.67,0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.14,-0.07,0.75,0.54,2.48,0.07,7.36,0.46,0.59,0.48,0.45,10.99,
frc4195,10.08,15.53,0.00,1.67,0.94,1.07,1.25,0.69,0.72,1.42,0.26,0.86,4.17,-0.64,-0.53,-0.11,-0.23,0.55,2.17,0.20,0.46,2.59,0.98,0.68,1.10,1.28,1.18,0.37,-0.28,-0.20,-0.39,0.34,-0.19,0.20,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.63,0.74,1.97,0.11,1.67,0.13,7.95,0.14,-0.02,0.27,-0.06,10.08,
frc4468,13.39,12.28,0.00,3.56,1.92,1.47,1.38,0.84,1.18,1.65,1.93,2.43,7.19,-0.73,-0.33,-0.41,-0.91,0.71,1.70,0.22,-0.02,1.53,0.09,1.80,1.69,1.59,1.13,-0.10,0.51,-0.41,-0.13,-0.07,-0.02,-0.20,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.07,1.47,0.45,0.41,3.56,0.07,9.85,0.04,-0.25,-0.24,-0.20,13.39,
frc4026,23.75,8.90,0.00,3.82,0.40,0.03,-0.07,1.01,1.55,-0.25,-0.35,0.06,1.61,0.42,0.37,0.05,4.35,4.20,3.97,0.22,-0.12,12.56,29.37,2.28,1.72,1.48,5.88,0.70,0.98,0.91,0.64,-0.03,-0.11,0.40,0.07,0.67,0.67,0.67,0.67,0.67,0.67,1.59,1.19,1.30,2.14,3.82,-0.03,20.05,0.08,-0.05,0.05,-0.03,23.75,
