MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019gafor_qm1,blue,frc5109,frc7514,frc5651,40,46,0,9,5,5,2,5,5,5,0,0,15,0,0,0,0,3,3,0,0,6,0,0,5,5,10,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,31,0,0,0,0,40
2019gafor_qm1,red,frc4112,frc3815,frc1261,46,40,0,6,5,5,5,5,5,2,5,2,18,0,0,0,3,3,6,0,0,12,0,3,5,5,10,2,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,40,0,0,0,0,46
2019gafor_qm10,blue,frc5293,frc7449,frc5651,54,48,0,12,2,5,5,5,5,5,5,2,18,0,0,0,3,6,3,0,0,12,0,5,5,5,12,2,2,2,2,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,42,0,0,0,0,54
2019gafor_qm10,red,frc5482,frc2415,frc1771,48,54,0,15,2,2,5,5,5,2,2,5,12,0,0,0,3,0,12,0,0,15,30,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,33,0,0,0,0,48
2019gafor_qm11,blue,frc6925,frc4749,frc4112,34,50,0,15,5,0,0,5,2,0,0,5,9,0,0,0,3,3,0,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,19,0,0,0,0,34
2019gafor_qm11,red,frc4509,frc4468,frc6829,50,34,0,12,5,5,5,0,5,2,5,2,21,0,0,0,3,3,3,0,0,9,0,5,5,5,8,0,0,0,0,5,0,5,0,2,2,2,2,2,2,6,3,3,2,12,0,38,0,0,2,0,50
2019gafor_qm12,blue,frc7676,frc5482,frc6944,34,49,0,15,2,2,2,2,2,2,2,2,0,0,0,0,3,3,3,0,0,9,0,5,5,5,10,2,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,19,0,0,0,0,34
2019gafor_qm12,red,frc1311,frc6341,frc7514,49,34,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,3,6,0,0,12,0,5,5,5,4,0,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,34,0,0,0,0,49
2019gafor_qm13,blue,frc1683,frc6325,frc1261,53,23,0,15,2,5,5,5,5,5,5,5,21,0,0,0,3,0,6,0,0,9,0,5,5,5,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,38,0,0,0,0,53
2019gafor_qm13,red,frc6905,frc5132,frc4080,23,53,0,9,0,0,2,2,0,2,2,0,0,0,0,0,0,3,3,0,0,6,0,3,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,14,0,0,0,0,23
