Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5109,25.46,12.62,0.00,3.52,1.93,1.84,1.96,2.31,1.20,2.13,2.21,1.66,11.86,0.14,0.00,0.14,2.18,3.45,2.85,-0.01,-0.59,8.48,20.68,1.15,1.76,1.74,2.18,0.93,0.32,0.34,0.01,0.09,0.26,0.23,0.28,0.67,0.67,0.67,0.67,0.67,0.67,1.20,1.37,1.21,1.72,3.52,0.05,22.52,0.11,-0.04,0.10,-0.04,25.46,
frc7514,21.83,19.87,0.00,5.02,1.57,1.68,1.65,1.08,2.08,2.18,1.86,0.98,6.77,-0.07,0.00,-0.07,0.71,3.89,1.32,0.22,0.80,5.92,6.67,1.35,1.77,1.59,3.31,0.31,0.39,0.02,0.04,0.42,-0.07,0.14,0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.49,1.46,2.24,0.84,5.02,0.04,16.01,-0.09,-0.14,-0.14,-0.11,21.83,
frc5651,18.05,19.29,0.00,3.53,0.91,1.48,0.68,2.29,2.18,1.59,1.11,0.32,5.43,-0.43,0.00,-0.43,0.12,0.90,0.55,0.02,0.97,1.58,-2.12,1.39,1.89,1.76,6.54,0.51,1.35,0.85,1.11,-0.08,-0.12,-0.21,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,0.90,1.72,0.76,0.13,3.53,-0.03,13.55,-0.05,-0.19,-0.08,0.07,18.05,
frc4112,17.17,11.06,0.00,2.47,2.16,1.88,1.54,1.12,0.09,1.38,1.46,1.33,10.50,2.16,0.00,2.16,-0.47,0.69,0.83,-0.12,0.14,1.05,-0.54,0.56,1.73,1.64,3.01,-0.01,1.22,0.06,1.15,0.15,0.56,0.36,0.75,0.67,0.67,0.67,0.67,0.67,0.67,0.05,1.66,1.12,0.57,2.47,-0.03,14.56,0.08,0.91,0.36,0.70,17.17,
frc3815,11.16,19.92,0.00,3.57,0.88,1.54,1.65,1.23,1.96,1.18,0.89,0.93,3.52,-0.76,0.00,-0.76,1.53,-0.02,0.77,0.12,-0.11,2.28,-3.90,1.72,1.66,1.71,1.91,0.21,0.43,-0.35,-0.04,-0.09,-0.23,-0.18,0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.83,1.76,0.26,-0.21,3.57,-0.03,7.71,0.08,-0.07,0.04,-0.03,11.16,
frc1261,21.55,16.30,0.00,4.61,1.30,1.66,1.48,1.91,2.10,0.68,1.00,1.07,5.04,-0.72,0.00,-0.72,1.80,1.59,2.18,-0.16,2.11,5.57,3.35,1.59,1.91,1.76,4.22,0.37,0.74,0.95,0.89,0.44,-0.19,0.21,-0.28,0.67,0.67,0.67,0.67,0.67,0.67,1.25,1.80,1.67,0.88,4.61,0.05,14.83,0.14,-0.30,-0.09,-0.20,21.55,
frc5293,13.55,12.77,0.00,3.06,1.69,1.97,1.67,0.24,1.58,2.11,1.21,1.54,6.23,-0.04,0.00,-0.04,0.81,2.30,0.65,-0.14,-0.77,3.76,0.82,1.67,1.67,1.82,1.28,0.40,0.05,0.25,0.29,-0.17,0.01,-0.18,0.10,0.67,0.67,0.67,0.67,0.67,0.67,0.89,1.36,1.09,0.26,3.06,0.07,11.27,-0.10,-0.09,-0.06,-0.13,13.55,
frc7449,21.09,9.97,0.00,5.27,1.76,1.59,2.13,2.37,1.70,1.95,2.05,1.18,9.10,-0.52,0.00,-0.52,0.97,1.51,1.16,0.26,0.54,3.64,3.32,1.66,1.84,1.64,2.55,0.17,0.47,0.33,0.25,0.10,0.02,0.18,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.64,1.68,1.86,0.92,5.27,-0.03,15.28,-0.05,0.22,-0.10,0.28,21.09,
frc5482,16.64,13.55,0.00,5.32,1.00,1.20,1.08,1.93,1.04,0.08,0.60,1.12,2.32,-0.43,0.00,-0.43,1.75,0.54,2.58,-0.11,-0.30,4.87,1.35,1.99,1.65,1.81,4.44,1.58,0.30,0.55,0.44,-0.29,-0.08,0.03,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,2.13,1.37,1.20,0.38,5.32,-0.03,11.62,-0.07,0.02,-0.04,-0.23,16.64,
frc2415,12.92,14.04,0.00,4.93,1.75,1.02,1.39,0.44,1.43,1.46,1.34,1.22,4.31,-0.54,0.00,-0.54,1.16,-0.09,0.47,-0.01,1.43,1.53,-2.18,1.82,1.70,1.64,0.71,-0.12,-0.03,0.05,-0.87,0.02,0.09,0.16,-0.00,0.67,0.67,0.67,0.67,0.67,0.67,1.90,2.11,1.23,0.10,4.93,0.06,6.56,0.26,-0.28,0.11,-0.18,12.92,
