Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc1102,26.07,5.14,0.00,5.53,1.67,1.23,1.31,-0.25,0.44,1.00,1.06,0.99,8.10,2.38,0.00,2.38,2.30,2.92,1.19,0.21,1.01,6.14,8.25,2.11,1.05,1.78,5.29,1.46,0.82,1.41,1.09,1.46,0.73,0.59,0.74,0.67,0.67,0.67,0.67,0.67,0.67,2.68,1.26,1.79,1.03,5.53,-0.02,19.53,0.23,0.88,0.14,0.83,26.07,
frc5651,12.29,13.15,0.00,3.78,1.25,0.91,0.87,1.63,1.87,0.79,0.14,1.02,3.40,-0.86,0.00,-0.67,-0.01,0.64,1.34,0.05,-0.91,2.03,0.52,1.80,2.10,1.72,3.99,1.38,0.15,1.24,0.15,0.31,-0.25,-0.03,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,0.51,1.94,0.57,0.41,3.78,-0.01,9.42,-0.12,-0.27,0.24,-0.37,12.29,
frc3494,15.96,10.11,0.00,4.48,0.44,1.05,1.09,1.59,0.38,1.19,1.39,0.87,5.08,-1.20,0.00,-0.45,1.77,1.89,0.95,0.21,-0.57,4.67,3.70,1.38,2.45,1.84,2.30,0.71,0.56,0.08,1.08,0.24,-0.27,0.07,-0.32,0.67,0.67,0.67,0.67,0.67,0.67,1.18,1.93,1.28,0.61,4.48,-0.00,12.05,-0.03,-0.37,0.12,0.11,15.96,
frc4795,17.09,13.85,0.00,3.67,1.61,0.65,1.59,0.17,0.22,1.33,1.66,1.10,4.80,-1.40,0.00,-0.40,0.89,4.40,2.84,0.01,-0.14,8.21,17.41,0.89,1.57,1.94,0.54,-0.34,0.60,-0.30,0.84,-0.13,0.29,0.08,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.43,0.99,2.24,0.83,3.67,-0.00,13.55,-0.14,0.17,-0.13,0.25,17.09,
frc7676,7.79,16.27,0.00,3.87,1.05,1.18,0.89,0.20,0.22,0.07,0.69,0.52,0.47,-0.16,0.00,-0.15,2.50,-0.14,-0.06,0.42,-0.03,2.32,1.20,1.27,1.48,1.76,1.17,0.17,-0.35,0.55,-0.31,0.07,-0.10,0.01,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,0.64,1.24,1.61,0.28,3.87,-0.02,3.95,-0.11,0.37,-0.18,0.38,7.79,
frc6887,4.51,16.50,0.00,1.28,0.54,-0.18,0.70,0.13,-0.06,1.34,1.02,1.32,1.54,-0.15,0.00,-0.31,0.29,-0.64,0.65,0.57,-0.11,0.41,-3.78,1.62,0.89,1.29,1.39,-0.12,0.27,-0.13,-0.04,-0.25,0.29,-0.20,0.09,0.67,0.67,0.67,0.67,0.67,0.67,0.95,0.23,1.19,-0.13,1.28,0.08,3.34,-0.24,0.64,-0.18,0.59,4.51,
frc5734,6.00,11.79,0.00,3.38,0.47,0.94,0.90,0.01,0.51,0.44,0.82,0.18,1.57,2.58,0.00,2.45,0.52,-1.10,-0.13,0.09,1.99,-0.94,-3.69,1.02,0.96,2.16,-0.01,-0.83,0.55,-0.39,0.75,-0.25,0.23,-0.21,0.32,0.67,0.67,0.67,0.67,0.67,0.67,1.28,0.98,1.19,0.29,3.38,-0.01,0.63,-0.20,0.10,-0.19,0.07,6.00,
frc6340,18.74,15.77,0.00,2.17,1.66,1.90,2.53,1.19,2.02,2.61,2.49,1.19,10.17,-1.29,0.00,-0.71,1.42,0.44,1.41,-0.05,0.29,3.41,4.48,0.95,2.24,1.76,2.70,1.14,0.04,1.02,-0.02,0.04,-0.32,0.13,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.60,1.10,0.98,0.58,2.17,-0.02,16.28,0.07,-0.34,0.06,-0.17,18.74,
frc5109,19.67,16.32,0.00,2.66,2.25,2.15,1.83,0.64,2.25,2.12,2.02,0.97,10.18,-0.22,0.00,0.07,1.94,1.17,1.80,0.14,-0.44,4.97,9.63,1.52,1.01,1.96,2.30,0.65,0.09,0.63,0.19,-0.14,-0.08,0.20,0.03,0.67,0.67,0.67,0.67,0.67,0.67,0.47,1.29,1.29,0.72,2.66,-0.01,17.45,-0.01,-0.03,0.02,-0.06,19.67,
frc2655,18.99,6.79,0.00,4.11,-0.18,0.56,0.85,0.04,0.14,2.15,1.17,0.99,4.33,-1.00,0.00,-0.85,3.17,2.06,0.50,0.02,0.85,5.77,6.32,1.91,2.03,0.39,3.93,2.40,0.56,1.82,1.31,0.39,-0.15,0.62,0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.46,1.85,1.31,0.87,4.11,-0.02,14.03,0.34,-0.33,0.28,-0.37,18.99,
