MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019gal_qm1,blue,frc6444,frc4414,frc299,63,80,0,15,5,5,5,0,5,5,2,5,24,0,0,0,3,12,3,3,0,18,30,5,5,5,6,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,48,0,0,0,0,63
2019gal_qm1,red,frc3480,frc5414,frc4587,80,63,0,12,5,2,5,5,5,0,5,5,21,0,0,0,0,12,6,0,9,18,30,5,5,5,20,5,2,2,0,0,2,2,2,2,2,2,2,2,2,3,3,6,3,12,0,59,2,0,2,0,80
2019gal_qm10,blue,frc3998,frc5900,frc5472,64,82,0,15,2,5,5,2,5,5,5,5,27,0,0,0,3,6,3,1,0,12,0,5,5,5,10,0,5,0,5,0,0,0,5,2,2,2,2,2,2,6,6,3,0,15,0,49,0,0,0,0,64
2019gal_qm10,red,frc2974,frc1986,frc6418,82,64,0,12,2,2,2,0,0,2,2,5,30,0,0,0,0,12,3,0,3,15,30,5,5,5,22,2,5,5,5,5,5,5,5,2,2,2,2,2,2,3,3,6,3,12,0,67,5,2,5,0,82
2019gal_qm100,blue,frc4500,frc6768,frc4488,68,47,0,15,5,0,0,0,5,5,5,5,18,0,0,0,6,6,12,0,3,24,30,5,5,5,8,2,0,5,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,50,0,0,0,0,68
2019gal_qm100,red,frc2974,frc702,frc3250,47,68,0,12,2,2,5,2,2,2,2,2,3,0,0,0,3,3,12,1,0,18,30,5,5,5,14,2,2,2,2,0,0,0,0,2,2,2,2,2,2,3,6,3,1,12,0,35,0,0,0,0,47
2019gal_qm101,blue,frc1982,frc7663,frc1414,74,68,0,15,5,5,5,0,5,5,5,5,27,0,0,0,0,3,12,1,3,15,30,5,5,5,14,5,0,5,2,2,0,0,2,2,2,2,2,2,2,6,6,3,3,15,0,56,0,0,0,2,74
2019gal_qm101,red,frc5511,frc7246,frc6444,68,74,0,15,5,5,5,5,5,5,5,5,24,0,0,0,12,3,3,1,3,18,30,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,50,0,0,0,0,68
2019gal_qm102,blue,frc5801,frc5933,frc498,70,66,0,15,5,5,5,2,0,5,5,5,24,0,0,0,6,12,3,1,0,21,30,5,5,5,10,5,2,5,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,55,0,0,0,0,70
2019gal_qm102,red,frc4414,frc4469,frc5900,66,70,0,15,5,5,5,2,0,5,5,5,18,30,0,0,3,12,3,0,3,18,30,5,5,5,12,2,2,2,2,0,2,0,0,2,2,2,2,2,2,3,6,6,2,15,0,48,0,0,0,0,66
2019gal_qm103,blue,frc2468,frc5431,frc7742,59,84,0,12,2,5,5,0,0,2,2,2,9,0,0,0,3,12,3,1,0,18,30,5,5,5,20,2,2,2,2,2,5,2,0,2,2,2,2,2,2,3,6,3,1,12,0,47,2,0,2,2,59
2019gal_qm103,red,frc5414,frc7421,frc4026,84,59,0,15,5,5,5,5,5,5,5,5,36,0,0,0,3,3,12,0,3,18,30,5,5,5,12,5,5,5,5,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,66,0,0,0,0,84
2019gal_qm104,blue,frc7465,frc3128,frc971,103,68,0,15,5,5,5,0,5,5,5,5,39,30,0,30,3,6,12,0,0,21,30,5,5,5,28,2,5,2,5,2,5,2,5,2,2,2,2,2,2,3,6,6,4,15,0,88,2,5,0,5,103
2019gal_qm104,red,frc6800,frc6036,frc5472,68,103,0,9,5,5,2,5,5,5,5,5,33,0,0,0,0,3,3,0,0,6,0,5,5,5,20,5,5,0,2,2,2,0,2,2,2,2,2,2,2,3,3,3,0,9,0,59,0,5,0,5,68
2019gal_qm105,blue,frc702,frc6177,frc7620,48,89,0,15,2,2,5,5,0,2,5,5,12,0,0,0,3,3,3,0,0,9,0,5,5,5,12,0,2,0,2,2,0,0,2,2,2,2,2,2,2,3,6,6,0,15,0,33,2,0,0,0,48
2019gal_qm105,red,frc179,frc3998,frc2928,89,48,0,15,5,5,5,5,5,5,5,5,48,30,0,30,3,3,0,0,0,6,0,5,5,5,20,5,5,5,5,0,5,0,5,2,2,2,2,2,2,6,6,3,3,15,0,74,0,5,0,5,89
2019gal_qm106,blue,frc1102,frc1982,frc6386,64,68,0,9,5,5,5,5,5,5,5,2,24,0,0,0,12,0,3,1,0,15,30,5,5,5,16,2,0,2,5,0,2,0,2,2,2,2,2,2,2,3,3,3,1,9,0,55,0,0,0,2,64
2019gal_qm106,red,frc1986,frc701,frc6825,68,64,0,12,5,5,5,5,0,5,5,5,24,0,0,0,12,6,3,0,3,21,30,5,5,5,8,0,2,2,5,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,53,0,0,0,0,68
2019gal_qm107,blue,frc7446,frc4500,frc7246,41,66,0,15,5,5,5,2,0,5,5,5,18,0,0,0,3,0,3,1,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,26,0,0,0,0,41
2019gal_qm107,red,frc4738,frc2478,frc1255,66,41,0,15,5,5,5,0,5,5,2,5,18,0,0,0,3,12,3,0,3,18,30,5,5,5,12,0,2,2,0,2,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,48,0,0,2,0,66
2019gal_qm108,blue,frc2152,frc7424,frc4488,87,65,0,15,5,5,5,5,2,5,5,5,24,0,0,0,6,6,12,0,6,24,30,5,5,5,18,2,5,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,66,0,0,0,0,87
2019gal_qm108,red,frc7409,frc2551,frc4587,65,87,0,12,5,5,5,5,2,5,5,5,27,0,0,0,3,3,12,2,0,18,30,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,53,0,0,0,0,65
2019gal_qm109,blue,frc597,frc3480,frc3646,80,72,0,12,2,5,2,0,0,5,0,5,30,0,0,0,3,3,12,0,0,18,30,5,5,5,20,5,5,5,2,2,5,0,5,2,2,2,2,2,2,6,3,3,3,12,0,68,0,5,0,5,80
2019gal_qm109,red,frc2059,frc4089,frc2443,72,80,0,12,5,5,5,5,5,5,5,5,30,0,0,0,12,3,3,0,0,18,30,5,5,5,12,5,0,5,0,2,0,2,0,2,2,2,2,2,2,3,6,3,1,12,0,60,0,0,0,0,72
2019gal_qm11,blue,frc3250,frc5801,frc2468,75,73,0,12,2,5,5,5,5,0,5,5,36,30,0,30,0,6,3,0,0,9,0,5,5,5,18,2,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,3,3,12,0,63,0,5,0,5,75
2019gal_qm11,red,frc6479,frc1982,frc5985,73,75,0,15,2,2,2,5,5,5,2,2,9,0,0,0,12,3,6,0,0,21,30,5,5,5,28,2,2,2,2,2,0,2,0,2,2,2,2,2,2,3,6,6,1,15,0,58,2,0,2,0,73
2019gal_qm110,blue,frc6418,frc3250,frc5511,63,65,0,12,5,5,5,5,5,2,2,2,18,0,0,0,3,6,12,0,0,21,30,5,5,5,12,5,0,2,2,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,51,0,0,0,0,63
2019gal_qm110,red,frc1538,frc4565,frc1156,65,63,0,12,5,5,5,5,5,5,5,5,33,0,0,0,3,3,0,0,0,6,0,5,5,5,14,5,5,2,5,0,2,0,0,2,2,2,2,2,2,3,6,3,2,12,0,53,0,0,0,0,65
2019gal_qm111,blue,frc6479,frc114,frc2974,94,50,0,9,2,2,5,2,5,2,2,2,39,30,30,0,12,3,3,0,0,18,30,5,5,5,28,5,5,5,5,5,5,5,5,2,2,2,2,2,2,3,3,3,4,9,0,85,5,2,5,5,94
2019gal_qm111,red,frc7072,frc7773,frc399,50,94,0,15,5,5,0,0,0,5,5,5,21,0,0,0,3,0,3,0,0,6,0,5,5,5,8,5,0,5,0,0,0,2,0,2,2,2,2,2,2,6,6,3,0,15,0,35,0,0,2,0,50
2019gal_qm112,blue,frc6768,frc299,frc1102,74,54,0,9,2,2,5,5,0,0,5,2,27,30,0,30,6,3,12,5,3,21,30,3,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,6,3,4,9,0,62,0,5,0,5,74
2019gal_qm112,red,frc4468,frc5985,frc1255,54,74,0,9,2,2,2,0,5,2,2,2,3,0,0,0,12,3,0,1,15,15,30,3,5,5,12,2,2,2,0,0,0,2,0,2,2,2,2,2,2,6,6,3,1,9,0,30,0,0,2,0,54
2019gal_qm12,blue,frc4469,frc1156,frc5511,47,71,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,0,0,1,0,3,0,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,35,0,0,0,0,47
2019gal_qm12,red,frc6036,frc179,frc2443,71,47,0,12,2,2,2,2,5,5,5,5,24,30,0,0,6,12,0,0,3,18,30,5,5,5,14,0,0,0,2,0,5,0,5,2,2,2,2,2,2,3,6,3,4,12,0,56,0,5,0,5,71
2019gal_qm13,blue,frc2152,frc5431,frc702,94,46,0,15,5,5,5,5,5,5,5,5,39,0,0,0,12,3,3,0,0,18,30,5,5,5,22,5,5,5,2,0,5,0,5,2,2,2,2,2,2,6,6,3,3,15,0,79,0,0,0,2,94
2019gal_qm13,red,frc7246,frc597,frc7465,46,94,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,0,3,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,34,0,0,0,0,46
2019gal_qm14,blue,frc7773,frc971,frc7620,96,75,0,15,2,5,5,5,0,5,5,5,33,0,0,0,3,12,3,0,6,18,30,5,5,5,24,2,5,2,2,5,5,5,5,2,2,2,2,2,2,6,6,3,3,15,0,75,2,2,0,2,96
2019gal_qm14,red,frc4488,frc498,frc6386,75,96,0,15,5,5,5,2,5,5,2,2,21,0,0,0,12,3,12,2,0,27,30,5,5,5,12,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,60,0,0,0,0,75
2019gal_qm15,blue,frc1414,frc1102,frc1255,83,87,0,9,2,2,5,5,5,5,5,5,33,0,0,0,12,6,3,1,0,21,30,5,5,5,20,5,5,5,5,2,2,2,5,2,2,2,2,2,2,3,3,3,1,9,0,74,0,0,0,0,83
2019gal_qm15,red,frc3646,frc5900,frc3128,87,83,0,15,5,5,5,5,5,5,5,5,33,0,0,0,12,6,6,0,3,24,30,5,5,5,12,0,5,0,5,0,2,0,5,2,2,2,2,2,2,3,6,6,3,15,0,69,0,0,0,0,87
2019gal_qm16,blue,frc4414,frc399,frc4565,87,68,0,15,5,5,5,5,5,5,5,2,39,0,0,0,12,3,0,3,0,15,30,5,5,5,18,0,0,0,2,5,5,5,5,2,2,2,2,2,2,6,3,6,3,15,0,72,5,0,5,0,87
2019gal_qm16,red,frc4089,frc2468,frc6768,68,87,0,12,5,5,5,0,0,2,5,2,15,0,0,0,6,12,6,0,9,24,30,5,5,5,8,2,0,2,0,0,0,5,0,2,2,2,2,2,2,6,3,3,1,12,0,47,0,0,2,0,68
2019gal_qm17,blue,frc5933,frc7409,frc4500,65,73,0,15,5,5,5,2,5,2,5,2,21,0,0,0,12,0,3,0,0,15,30,5,5,5,14,2,0,2,2,5,0,5,0,2,2,2,2,2,2,6,3,6,1,15,0,50,0,0,0,0,65
2019gal_qm17,red,frc6418,frc7446,frc6479,73,65,0,15,5,5,5,5,5,5,2,5,21,0,0,0,3,6,12,0,0,21,30,5,5,5,16,0,2,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,58,0,0,0,0,73
